Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589668020977, 371558, 4384, -48, 6448
1589668020989, 371569, 4432, 80, 6464
1589668021001, 371580, 4352, 256, 6480
1589668021001, 371591, 4416, 352, 6416
1589668021017, 371602, 4544, 304, 6256
1589668021032, 371613, 4512, 320, 6080
1589668021032, 371624, 4560, 416, 5904
1589668021057, 371635, 4576, 112, 5776
1589668021065, 371646, 4656, -48, 5872
1589668021077, 371657, 4704, -112, 6000
1589668021089, 371668, 4560, -32, 5888
1589668021093, 371679, 4544, 80, 5856
1589668021109, 371690, 4384, 240, 5808
1589668021109, 371701, 4416, 352, 6096
1589668021125, 371712, 4336, 464, 6000
1589668021140, 371723, 4352, 304, 6208
1589668021156, 371734, 4336, 336, 6176
1589668021164, 371745, 4208, 208, 6080
1589668021177, 371756, 4208, 304, 6160
1589668021189, 371767, 4256, 400, 5920
1589668021200, 371778, 4224, 416, 5968
1589668021212, 371789, 4160, 512, 5936
1589668021221, 371800, 4192, 672, 5904
1589668021232, 371811, 4208, 736, 5840
1589668021244, 371822, 4160, 352, 5824
1589668021252, 371833, 4256, -80, 6000
1589668021264, 371844, 4176, -224, 6080
1589668021276, 371855, 4144, -176, 5984
1589668021288, 371866, 4128, 64, 5440
1589668021297, 371877, 4080, 336, 5344
1589668021308, 371888, 4000, 480, 5328
1589668021320, 371899, 4016, 32, 5904
1589668021332, 371910, 3904, -32, 6272
1589668021344, 371921, 3552, -16, 6528
1589668021352, 371932, 3328, -544, 7168
1589668021365, 371943, 3344, -1856, 7712
1589668021376, 371954, 3344, -2912, 7712
1589668021389, 371965, 3392, -3136, 7520
1589668021396, 371976, 3216, -2640, 7152
1589668021401, 371987, 3040, -2800, 7120
1589668021417, 371998, 2864, -3136, 7376
1589668021432, 372009, 2576, -3744, 8304
1589668021432, 372020, 2608, -4384, 8832
1589668021448, 372031, 2464, -4640, 8640
1589668021465, 372042, 2368, -4800, 8288
1589668021473, 372053, 2128, -5072, 7936
1589668021489, 372064, 1824, -5088, 7600
1589668021497, 372075, 1776, -4928, 6944
1589668021505, 372086, 1728, -5136, 6480
1589668021513, 372097, 1520, -6288, 6352
1589668021528, 372108, 1520, -7696, 6784
1589668021528, 372119, 1360, -9104, 6624
1589668021544, 372130, 1360, -10432, 6144
1589668021565, 372141, 624, -9728, 6368
1589668021573, 372152, -96, -7632, 7072
1589668021585, 372163, -416, -7024, 7472
1589668021597, 372174, -656, -8032, 8192
