Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589668096982, 447557, 1904, -1088, 7808
1589668096990, 447568, 1888, -1088, 7792
1589668096998, 447579, 1920, -1248, 7904
1589668097010, 447590, 1856, -1216, 7728
1589668097026, 447601, 1920, -1056, 7568
1589668097026, 447612, 1936, -912, 7408
1589668097042, 447623, 1952, -976, 7600
1589668097058, 447634, 1920, -1072, 7440
1589668097066, 447645, 2080, -1056, 7392
1589668097078, 447656, 1984, -1008, 7392
1589668097086, 447667, 1984, -1040, 7792
1589668097086, 447678, 1984, -944, 7680
1589668097102, 447689, 2112, -912, 7616
1589668097117, 447700, 2096, -1152, 8192
1589668097133, 447711, 2464, -1536, 8464
1589668097133, 447722, 2608, -1648, 8912
1589668097154, 447733, 2704, -1888, 9360
1589668097166, 447744, 3200, -2336, 10176
1589668097174, 447755, 3312, -2784, 11952
1589668097186, 447766, 3344, -2928, 14432
1589668097198, 447777, 3136, -3376, 17360
1589668097206, 447788, 3152, -4096, 21328
1589668097222, 447799, 2272, -4240, 24192
1589668097230, 447810, 1584, -4016, 27536
1589668097246, 447821, 1408, -3712, 28960
1589668097250, 447832, 144, -3072, 28560
1589668097262, 447843, -768, -2288, 26336
1589668097274, 447854, -1728, -2080, 23792
1589668097286, 447865, -2960, -1760, 20480
1589668097298, 447876, -3376, -1664, 16592
1589668097306, 447887, -5888, -1408, 12752
1589668097318, 447898, -7776, -240, 6816
1589668097322, 447909, -8512, 704, 1456
1589668097338, 447920, -8704, 1232, -2896
1589668097338, 447931, -8384, 1968, -7360
1589668097367, 447942, -7760, 2880, -11040
1589668097375, 447953, -6768, 3408, -15248
1589668097387, 447964, -6656, 4144, -18288
1589668097395, 447975, -6800, 4384, -23280
1589668097407, 447986, -6256, 7392, -31424
1589668097407, 447997, -6768, 10944, -32560
1589668097423, 448008, -8432, 15360, -32624
1589668097438, 448019, -8896, 20448, -32624
1589668097438, 448030, -17088, 23088, -32624
1589668097462, 448041, -23184, 21792, -32624
1589668097474, 448052, -24720, 16912, -30208
1589668097482, 448063, -32480, 9952, -23312
1589668097494, 448074, -32624, -800, -14032
1589668097502, 448085, -32624, -8448, -1856
1589668097518, 448096, -32624, -15776, 20416
1589668097518, 448107, -32624, -31792, 32272
1589668097534, 448118, -32624, -29184, 32624
1589668097550, 448129, -32624, 9360, 32640
1589668097562, 448140, -32624, 23424, 32640
1589668097570, 448151, -27792, 22752, 32640
1589668097582, 448162, -17376, 9376, 32640
1589668097594, 448173, -17584, -704, 32640
1589668097602, 448184, -16384, -7088, 32640
1589668097602, 448195, -16480, -10432, 30352
1589668097618, 448206, -24672, -10992, 21408
1589668097634, 448217, -30592, -9584, 7952
1589668097650, 448228, -32512, -6704, -3952
1589668097658, 448239, -32096, -3280, -21952
1589668097670, 448250, -30816, -2464, -32272
1589668097682, 448261, -17456, -912, -32608
1589668097694, 448272, -14416, 8656, -32624
1589668097702, 448283, -15200, 24016, -32624
1589668097710, 448294, -17312, 32048, -32624
1589668097726, 448305, -20208, 32624, -32624
1589668097726, 448316, -27328, 32640, -32624
1589668097742, 448327, -32032, 23024, -32624
1589668097758, 448338, -32336, -576, -27856
1589668097770, 448349, -32624, -15296, -14576
1589668097782, 448360, -32624, -20672, 17328
1589668097790, 448371, -32624, -19120, 31696
1589668097806, 448382, -32624, -12256, 32592
1589668097809, 448393, -32624, 3248, 32640
1589668097825, 448404, -30064, 21216, 32640
1589668097825, 448415, -14448, 15104, 32640
1589668097840, 448426, -11552, -2976, 32640
1589668097856, 448437, -10640, -11952, 32640
1589668097868, 448448, -16832, -14976, 24128
1589668097880, 448459, -24480, -12656, 9904
1589668097892, 448470, -28128, -11760, -5856
