Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589667847357, 197934, 7968, -336, -1136
1589667847369, 197945, 7968, -560, -976
1589667847377, 197956, 8048, -768, -688
1589667847389, 197967, 8048, -576, -912
1589667847397, 197978, 8000, -400, -1104
1589667847412, 197989, 7872, -80, -1120
1589667847428, 198000, 7920, -112, -1056
1589667847428, 198011, 7968, -240, -1104
1589667847444, 198022, 7840, -336, -992
1589667847444, 198033, 7936, -336, -736
1589667847469, 198044, 7904, -192, -1040
1589667847477, 198055, 7888, -96, -944
1589667847489, 198066, 7936, -304, -944
1589667847497, 198077, 7904, -464, -992
1589667847513, 198088, 7968, -480, -1040
1589667847521, 198099, 8048, -496, -1264
1589667847521, 198110, 8064, -480, -1312
1589667847537, 198121, 8096, -416, -1152
1589667847552, 198132, 8176, -336, -1296
1589667847568, 198143, 8112, -256, -1552
1589667847576, 198154, 8032, -208, -1680
1589667847588, 198165, 8080, -128, -1680
1589667847600, 198176, 7872, -64, -1680
1589667847605, 198187, 7808, -144, -1808
1589667847620, 198198, 7760, -240, -1792
1589667847620, 198209, 7728, -272, -2000
1589667847640, 198220, 7584, -240, -2112
1589667847653, 198231, 7536, -320, -2144
1589667847664, 198242, 7456, -352, -2224
1589667847676, 198253, 7392, -464, -2416
1589667847684, 198264, 7472, -592, -2528
1589667847701, 198275, 7504, -480, -2736
1589667847701, 198286, 7440, -416, -2784
1589667847716, 198297, 7392, -544, -2688
1589667847732, 198308, 7376, -848, -2752
1589667847732, 198319, 7376, -1040, -2864
1589667847757, 198330, 7360, -1024, -3040
1589667847761, 198341, 7424, -1056, -3216
1589667847773, 198352, 7216, -1296, -3504
1589667847789, 198363, 7088, -1424, -3616
1589667847793, 198374, 6800, -1360, -3936
1589667847793, 198385, 6544, -1616, -4224
1589667847809, 198396, 6528, -1904, -4496
1589667847825, 198407, 6000, -1760, -4576
1589667847840, 198418, 5680, -1824, -4656
1589667847840, 198429, 5616, -1664, -5072
1589667847865, 198440, 4944, -1504, -5200
1589667847873, 198451, 4736, -1440, -4992
1589667847885, 198462, 4528, -1408, -5248
1589667847897, 198473, 4384, -1584, -5200
1589667847909, 198484, 4368, -1872, -5168
1589667847909, 198495, 4128, -2208, -4944
1589667847925, 198506, 4032, -2704, -4640
1589667847925, 198517, 4016, -2848, -4640
1589667847940, 198528, 3600, -2880, -4784
1589667847965, 198539, 3472, -2800, -4800
1589667847977, 198550, 3232, -2992, -4848
1589667847981, 198561, 3200, -3584, -4864
1589667847993, 198572, 3120, -4272, -4816
1589667848005, 198583, 3344, -4112, -5200
1589667848009, 198594, 3072, -3760, -4144
1589667848025, 198605, 3200, -3920, -2112
1589667848025, 198616, 3456, -3744, -560
1589667848050, 198627, 3568, -2672, -1232
