Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677099750, 195736, -496, -32, 8080
1589677099761, 195747, -448, -16, 8032
1589677099772, 195758, -416, -32, 8064
1589677099783, 195769, -480, -96, 8048
1589677099794, 195780, -464, -64, 8064
1589677099806, 195791, -432, -128, 8064
1589677099816, 195802, -480, -128, 8128
1589677099827, 195813, -496, -64, 8048
1589677099838, 195824, -496, -64, 8048
1589677099849, 195835, -512, -96, 7808
1589677099860, 195846, -496, -96, 8016
1589677099871, 195857, -448, -96, 8128
1589677099882, 195868, -400, -192, 8144
1589677099893, 195879, -368, -144, 8240
1589677099904, 195890, -336, -176, 8176
1589677099915, 195901, -352, -160, 8208
1589677099926, 195912, -384, -144, 8112
1589677099937, 195923, -400, -128, 8032
1589677099948, 195934, -416, -48, 8032
1589677099959, 195945, -384, -32, 7984
1589677099970, 195956, -368, -32, 8016
1589677099981, 195967, -400, -48, 8032
1589677099992, 195978, -416, -96, 8128
1589677100003, 195989, -432, -48, 8080
1589677100014, 196000, -400, -80, 8096
1589677100025, 196011, -400, -80, 8048
1589677100036, 196022, -480, -80, 8000
1589677100047, 196033, -432, 16, 8064
1589677100058, 196044, -464, -64, 8096
1589677100069, 196055, -464, -96, 8032
1589677100080, 196066, -464, -112, 8112
1589677100091, 196077, -400, -96, 8144
1589677100102, 196088, -416, -64, 8096
1589677100113, 196099, -448, -96, 8128
1589677100124, 196110, -464, -48, 8160
1589677100135, 196121, -480, -80, 8128
1589677100146, 196132, -416, -96, 8000
1589677100157, 196143, -416, -64, 8096
1589677100168, 196154, -432, -128, 8080
1589677100179, 196165, -400, -128, 8016
1589677100190, 196176, -448, -96, 8096
1589677100201, 196187, -400, -96, 8144
1589677100212, 196198, -432, -128, 8160
1589677100223, 196209, -384, -64, 8048
1589677100234, 196220, -416, -144, 8064
1589677100245, 196231, -432, -128, 8080
1589677100256, 196242, -400, -64, 8080
1589677100266, 196253, -496, -80, 8032
1589677100277, 196264, -496, -64, 8000
1589677100289, 196275, -480, -48, 8000
1589677100299, 196286, -528, -48, 7984
1589677100310, 196297, -400, -48, 8096
1589677100322, 196308, -448, -80, 8160
1589677100333, 196319, -288, -160, 8080
1589677100343, 196330, -368, -192, 8192
1589677100355, 196341, -400, -160, 8208
1589677100365, 196352, -352, -112, 8000
1589677100375, 196363, -448, -96, 8080
1589677100386, 196374, -512, -32, 8016
1589677100397, 196385, -560, -16, 7968
1589677100408, 196396, -496, 0, 8048
1589677100419, 196407, -480, -96, 8080
1589677100430, 196418, -432, -128, 8032
1589677100441, 196429, -368, -112, 8128
1589677100453, 196440, -416, -112, 8144
1589677100463, 196451, -432, -96, 8112
1589677100474, 196462, -400, -128, 8080
1589677100485, 196473, -320, -112, 7984
1589677100496, 196484, -384, -96, 8000
1589677100507, 196495, -432, -96, 8016
1589677100518, 196506, -496, -16, 8192
1589677100529, 196517, -576, -48, 8080
1589677100540, 196528, -496, -80, 8048
1589677100551, 196539, -432, -128, 8048
1589677100563, 196550, -288, -80, 8064
1589677100573, 196561, -352, -144, 8112
1589677100584, 196572, -416, -176, 8096
1589677100595, 196583, -464, -224, 8144
1589677100606, 196594, -400, -176, 8032
1589677100617, 196605, -432, -80, 8000
1589677100628, 196616, -432, -64, 8272
1589677100639, 196627, -416, -48, 8064
1589677100650, 196638, -448, -16, 8032
1589677100661, 196649, -416, -80, 8080
1589677100672, 196660, -432, -64, 8064
1589677100683, 196671, -352, -96, 8032
1589677100694, 196682, -352, -112, 8080
1589677100705, 196693, -320, -96, 8080
1589677100716, 196704, -352, -96, 8064
1589677100727, 196715, -400, -80, 8080
1589677100738, 196726, -384, -96, 8128
1589677100749, 196737, -416, -80, 8096
1589677100760, 196748, -480, -80, 8080
1589677100771, 196759, -448, -112, 8080
1589677100782, 196770, -464, -128, 8048
1589677100794, 196781, -432, -96, 8080
1589677100804, 196792, -384, -80, 8112
1589677100815, 196803, -416, -128, 8144
1589677100826, 196814, -432, -96, 8144
1589677100837, 196825, -496, -144, 8160
1589677100848, 196836, -432, -128, 8128
1589677100859, 196847, -512, -208, 8032
1589677100870, 196858, -432, -128, 8080
1589677100881, 196869, -448, -128, 8144
1589677100892, 196880, -448, -112, 8176
1589677100903, 196891, -368, -96, 8096
1589677100914, 196902, -336, -128, 8080
1589677100925, 196913, -384, -112, 8064
1589677100936, 196924, -416, -160, 8080
1589677100947, 196935, -416, -176, 8048
1589677100958, 196946, -400, -160, 8080
1589677100969, 196957, -416, -144, 7984
1589677100980, 196968, -512, -160, 8080
1589677100991, 196979, -304, -144, 8112
1589677101002, 196990, -288, -160, 8176
1589677101013, 197001, -416, -208, 8240
1589677101024, 197012, -384, -224, 8208
1589677101035, 197023, -288, -176, 8192
1589677101046, 197034, -416, -128, 7984
1589677101057, 197045, -464, -32, 8032
1589677101068, 197056, -432, 16, 8016
1589677101079, 197067, -496, 16, 8160
1589677101090, 197078, -480, -80, 8048
1589677101101, 197089, -368, -192, 8080
1589677101112, 197100, -480, -240, 8096
1589677101123, 197111, -496, -256, 8176
1589677101134, 197122, -240, -160, 8176
1589677101145, 197133, -304, -176, 8192
1589677101156, 197144, -320, -80, 8064
1589677101167, 197155, -480, 0, 7984
