Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677028241, 124104, -4064, -4384, 6208
1589677028252, 124115, -3952, -4608, 6384
1589677028263, 124126, -3904, -4752, 6736
1589677028274, 124137, -3440, -4976, 7056
1589677028285, 124148, -3120, -4976, 7616
1589677028296, 124159, -3056, -4880, 8528
1589677028307, 124170, -3008, -4960, 9024
1589677028318, 124181, -2688, -5488, 9296
1589677028329, 124192, -2016, -6352, 9072
1589677028340, 124203, -1872, -7472, 8512
1589677028350, 124214, -496, -8080, 8352
1589677028361, 124225, 64, -8752, 8624
1589677028373, 124236, 224, -9984, 9424
1589677028384, 124247, 2368, -11600, 11408
1589677028395, 124258, 3488, -13216, 14336
1589677028406, 124269, 4720, -14416, 18496
1589677028417, 124280, 5008, -13360, 20432
1589677028428, 124291, 6400, -11744, 20304
1589677028439, 124302, 7312, -10624, 19936
1589677028450, 124313, 7584, -10432, 21856
1589677028461, 124324, 10352, -10656, 24800
1589677028472, 124335, 12864, -10304, 26896
1589677028483, 124346, 17072, -8960, 26144
1589677028494, 124357, 21424, -7552, 25440
1589677028505, 124368, 27712, -4800, 24864
1589677028516, 124379, 32272, 1360, 21888
1589677028527, 124390, 32464, 8288, 17536
1589677028538, 124401, 32640, 15040, 14912
1589677028549, 124412, 32640, 19344, 12976
1589677028560, 124423, 32640, 19600, 9824
1589677028571, 124434, 32640, 18288, 7312
1589677028581, 124445, 32640, 17088, 5760
1589677028592, 124456, 32640, 14704, 5632
1589677028603, 124467, 32640, 11824, 4704
1589677028614, 124478, 32640, 9376, 2832
1589677028625, 124489, 32640, 8512, 1392
1589677028636, 124500, 32640, 7344, 352
1589677028647, 124511, 32640, 6912, -608
1589677028658, 124522, 32640, 7264, -1760
1589677028669, 124533, 32528, 8192, -3360
1589677028680, 124544, 29200, 9056, -3952
1589677028691, 124555, 25568, 10128, -3088
1589677028703, 124566, 22912, 11184, -1136
1589677028713, 124577, 22464, 12544, 48
1589677028724, 124588, 19568, 13120, 384
1589677028735, 124599, 18496, 13424, -176
1589677028747, 124610, 18288, 13760, -960
1589677028757, 124621, 16752, 13568, -1136
1589677028768, 124632, 15744, 12496, -1184
1589677028779, 124643, 15104, 10512, -704
1589677028790, 124654, 15440, 8256, 160
1589677028801, 124665, 15456, 5920, 800
1589677028812, 124676, 14944, 4128, 1424
1589677028823, 124687, 14784, 2752, 1808
1589677028834, 124698, 13392, 2288, 2128
1589677028845, 124709, 12720, 2256, 2256
1589677028856, 124720, 12192, 3168, 2384
1589677028867, 124731, 11536, 3776, 2560
1589677028878, 124742, 10880, 4032, 2512
1589677028889, 124753, 10896, 4096, 2912
1589677028900, 124764, 11024, 3152, 3504
1589677028911, 124775, 10960, 2352, 3936
1589677028922, 124786, 10928, 1776, 4192
1589677028933, 124797, 10432, 1744, 4464
1589677028944, 124808, 9712, 2208, 4464
1589677028955, 124819, 8848, 2864, 4080
1589677028966, 124830, 8160, 3408, 3760
1589677028976, 124841, 7984, 3728, 3664
1589677028987, 124852, 7232, 3600, 3952
1589677028998, 124863, 7216, 3280, 4224
1589677029009, 124874, 7120, 2784, 4320
1589677029020, 124885, 7280, 2368, 4320
1589677029031, 124896, 7264, 2240, 4384
1589677029042, 124907, 7024, 2192, 4544
1589677029053, 124918, 6640, 2400, 4784
1589677029064, 124929, 6368, 2832, 4960
1589677029075, 124940, 6080, 3264, 5024
1589677029086, 124951, 5968, 3760, 5296
1589677029097, 124962, 5600, 4096, 5440
1589677029108, 124973, 5616, 4400, 5264
1589677029119, 124984, 5504, 4192, 4848
1589677029130, 124995, 6592, 3440, 4720
1589677029141, 125006, 7120, 2240, 5120
