Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589676964911, 60667, -64, -1776, 7808
1589676964922, 60678, 0, -1808, 7808
1589676964934, 60689, -64, -1792, 7824
1589676964944, 60700, -64, -1792, 7840
1589676964955, 60711, -64, -1856, 7712
1589676964967, 60722, -96, -1792, 7776
1589676964977, 60733, -64, -1824, 7744
1589676964988, 60744, -48, -1792, 7792
1589676964999, 60755, -80, -1840, 7760
1589676965010, 60766, -48, -1792, 7744
1589676965022, 60777, -64, -1696, 7600
1589676965032, 60788, -48, -1776, 7776
1589676965043, 60799, -16, -1888, 7648
1589676965055, 60810, -16, -1936, 7616
1589676965065, 60821, 48, -1984, 7552
1589676965076, 60832, 48, -2000, 7520
1589676965087, 60843, 80, -2080, 7536
1589676965098, 60854, 112, -2192, 7456
1589676965109, 60865, 144, -2272, 7680
1589676965120, 60876, 144, -2352, 7696
1589676965131, 60887, 144, -2400, 7408
1589676965142, 60898, 144, -2544, 7280
1589676965153, 60909, 128, -2672, 7040
1589676965164, 60920, 96, -2800, 6688
1589676965175, 60931, 64, -3136, 6736
1589676965186, 60942, 144, -3600, 6624
1589676965197, 60953, 160, -4096, 6624
1589676965208, 60964, 128, -4960, 6512
1589676965219, 60975, 96, -5552, 6432
1589676965230, 60986, 160, -6288, 6480
1589676965241, 60997, 624, -7456, 6752
1589676965252, 61008, 1328, -8592, 7168
1589676965263, 61019, 1824, -9952, 7792
1589676965275, 61030, 2320, -11344, 8336
1589676965286, 61041, 3216, -12512, 8288
1589676965297, 61052, 4752, -13424, 7888
1589676965308, 61063, 6368, -14656, 6928
1589676965318, 61074, 6720, -16464, 5776
1589676965330, 61085, 11856, -18080, 5568
1589676965341, 61096, 15936, -19920, 6272
1589676965352, 61107, 20624, -21168, 8528
1589676965363, 61118, 24032, -18976, 10672
1589676965374, 61129, 28000, -14032, 11040
1589676965385, 61140, 31744, -6336, 8640
1589676965395, 61151, 32624, 320, 6016
1589676965406, 61162, 32640, 6336, 3440
1589676965418, 61173, 32640, 11840, 1312
1589676965428, 61184, 32640, 18080, 576
1589676965439, 61195, 32640, 21808, -1392
1589676965451, 61206, 32640, 24448, -3232
1589676965461, 61217, 28480, 24048, -3920
1589676965472, 61228, 24032, 21120, -3328
1589676965483, 61239, 22352, 17648, -1616
1589676965494, 61250, 22096, 13616, 208
1589676965505, 61261, 20784, 12128, 672
1589676965516, 61272, 19120, 13008, 816
1589676965527, 61283, 17280, 14560, 224
1589676965538, 61294, 16752, 15232, -848
1589676965549, 61305, 12512, 15616, -2224
1589676965560, 61316, 10128, 16048, -2928
1589676965571, 61327, 9424, 16016, -3152
1589676965582, 61338, 5760, 15264, -2640
1589676965593, 61349, 5008, 13808, -1920
1589676965604, 61360, 4480, 11984, -752
1589676965615, 61371, 4272, 10720, -48
1589676965626, 61382, 4000, 9664, 768
1589676965637, 61393, 3664, 8736, 1648
1589676965648, 61404, 3328, 8192, 2272
1589676965659, 61415, 3040, 7792, 2592
1589676965670, 61426, 3008, 7200, 2800
1589676965681, 61437, 3056, 6416, 3248
1589676965692, 61448, 2944, 5808, 3712
1589676965703, 61459, 3168, 5488, 4416
1589676965714, 61470, 3232, 5072, 5216
1589676965725, 61481, 3760, 4736, 5920
1589676965736, 61492, 4176, 4528, 6560
1589676965747, 61503, 4688, 4336, 6912
1589676965758, 61514, 4800, 4400, 6848
1589676965769, 61525, 4272, 5024, 6560
1589676965780, 61536, 3696, 5408, 6256
1589676965791, 61547, 3616, 5728, 5888
1589676965802, 61558, 3808, 5536, 5504
1589676965813, 61569, 3952, 5344, 5280
1589676965823, 61580, 3984, 5248, 5472
