Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677077437, 173384, -3856, 1152, 7184
1589677077448, 173395, -3808, 1200, 7232
1589677077459, 173406, -3808, 1184, 7184
1589677077470, 173417, -3792, 1136, 7104
1589677077481, 173428, -3792, 1072, 7072
1589677077491, 173439, -3808, 992, 7008
1589677077502, 173450, -3760, 928, 7056
1589677077513, 173461, -3888, 944, 7136
1589677077525, 173472, -3712, 1040, 7120
1589677077536, 173483, -3824, 1088, 7040
1589677077547, 173494, -3840, 1184, 7056
1589677077558, 173505, -3936, 1264, 7040
1589677077569, 173516, -3968, 1312, 7056
1589677077580, 173527, -3936, 1296, 7104
1589677077591, 173538, -3968, 1280, 7216
1589677077602, 173549, -3920, 1264, 7152
1589677077613, 173560, -3808, 1104, 7136
1589677077624, 173571, -3808, 1152, 6992
1589677077635, 173582, -3856, 1184, 7072
1589677077646, 173593, -3936, 1216, 7040
1589677077656, 173604, -3984, 1440, 7216
1589677077667, 173615, -4128, 1680, 7280
1589677077678, 173626, -4176, 2128, 7296
1589677077689, 173637, -4176, 2512, 7248
1589677077700, 173648, -4240, 3184, 7120
1589677077711, 173659, -4720, 3600, 6864
1589677077722, 173670, -5136, 4112, 6544
1589677077733, 173681, -5520, 4912, 6144
1589677077744, 173692, -5696, 5424, 5584
1589677077755, 173703, -5600, 5632, 5264
1589677077766, 173714, -5424, 5872, 4688
1589677077777, 173725, -5408, 6080, 4496
1589677077788, 173736, -4768, 6080, 4416
1589677077799, 173747, -4384, 5776, 4208
1589677077810, 173758, -3712, 5152, 3968
1589677077821, 173769, -3456, 4624, 3904
1589677077832, 173780, -2992, 3952, 3904
1589677077843, 173791, -2704, 3312, 3808
1589677077854, 173802, -2528, 2560, 3888
1589677077865, 173813, -2112, 1952, 4000
1589677077876, 173824, -1968, 1536, 4160
1589677077887, 173835, -1760, 1632, 4336
1589677077898, 173846, -1696, 1840, 4112
1589677077909, 173857, -1584, 1872, 4128
1589677077920, 173868, -1264, 1504, 4320
1589677077931, 173879, -1168, 880, 4912
1589677077942, 173890, -752, 128, 5536
1589677077953, 173901, -400, -576, 5920
1589677077964, 173912, -400, -1072, 6128
1589677077975, 173923, -144, -1184, 6016
1589677077986, 173934, -112, -864, 6080
1589677077997, 173945, -144, -192, 6400
1589677078008, 173956, -160, 192, 6832
1589677078019, 173967, -48, 336, 7392
1589677078029, 173978, 16, 352, 7952
1589677078040, 173989, 64, 112, 8272
1589677078051, 174000, 240, -144, 8368
1589677078062, 174011, 304, -368, 8144
1589677078074, 174022, 256, -720, 7712
1589677078084, 174033, 384, -1056, 7056
1589677078095, 174044, 480, -1136, 6512
1589677078107, 174055, 672, -672, 6256
1589677078117, 174066, 672, 48, 6544
1589677078128, 174077, 720, 544, 7360
1589677078140, 174088, 592, 944, 8432
1589677078150, 174099, 560, 928, 9248
1589677078161, 174110, 720, 320, 9360
1589677078172, 174121, 736, -224, 8864
1589677078183, 174132, 896, -592, 8192
1589677078194, 174143, 1008, -256, 7904
1589677078206, 174154, 1232, 496, 8112
1589677078216, 174165, 784, 1904, 8912
1589677078227, 174176, 592, 3408, 10192
1589677078238, 174187, 176, 3872, 11040
1589677078249, 174198, 288, 3504, 11088
1589677078260, 174209, 672, 1984, 9968
1589677078271, 174220, 720, 640, 9056
1589677078282, 174231, 1456, -160, 8288
