Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677166076, 262176, -5264, 992, 6112
1589677166087, 262187, -5232, 1008, 6000
1589677166098, 262198, -5104, 1040, 6176
1589677166109, 262209, -5136, 1024, 6240
1589677166120, 262220, -5120, 976, 6304
1589677166131, 262231, -5072, 960, 6368
1589677166142, 262242, -5104, 880, 6352
1589677166153, 262253, -5136, 816, 6448
1589677166164, 262264, -5088, 896, 6432
1589677166175, 262275, -5104, 864, 6432
1589677166186, 262286, -5088, 864, 6400
1589677166197, 262297, -5168, 832, 6208
1589677166208, 262308, -5168, 944, 6144
1589677166219, 262319, -5168, 944, 6144
1589677166230, 262330, -5232, 1024, 6208
1589677166241, 262341, -5216, 1008, 6032
1589677166252, 262352, -5248, 976, 6096
1589677166263, 262363, -5136, 880, 6112
1589677166274, 262374, -5104, 896, 6224
1589677166285, 262385, -5168, 912, 6240
1589677166296, 262396, -5120, 960, 6128
1589677166307, 262407, -5120, 960, 6176
1589677166318, 262418, -5120, 912, 6048
1589677166329, 262429, -5200, 944, 6160
1589677166340, 262440, -5040, 928, 6128
1589677166351, 262451, -4944, 944, 6080
1589677166362, 262462, -4832, 944, 6016
1589677166373, 262473, -4672, 1120, 6208
1589677166384, 262484, -4544, 1408, 6416
1589677166395, 262495, -4256, 1888, 6272
1589677166406, 262506, -3904, 2352, 6096
1589677166417, 262517, -3744, 3024, 6048
1589677166428, 262528, -3456, 4048, 6080
1589677166439, 262539, -3392, 6160, 5888
1589677166450, 262550, -3360, 7760, 5568
1589677166461, 262561, -3280, 9152, 5200
1589677166472, 262572, -3424, 10944, 5216
1589677166483, 262583, -3792, 12320, 5264
1589677166494, 262594, -4304, 13520, 5456
1589677166505, 262605, -4608, 14784, 5328
1589677166516, 262616, -4640, 15504, 5024
1589677166527, 262627, -4448, 16064, 4880
1589677166538, 262638, -4064, 16432, 4768
1589677166549, 262649, -4000, 16128, 5216
1589677166560, 262660, -3216, 15152, 5504
1589677166571, 262671, -1968, 13104, 5728
1589677166582, 262682, 64, 9968, 5696
1589677166593, 262693, 2000, 7088, 6128
1589677166604, 262704, 4304, 4144, 7248
1589677166615, 262715, 7168, 1120, 9584
1589677166626, 262726, 7760, -3712, 11936
1589677166637, 262737, 11136, -7664, 14576
1589677166648, 262748, 11472, -10944, 16320
1589677166659, 262759, 11328, -12784, 16688
1589677166670, 262770, 9792, -13328, 14720
1589677166681, 262781, 8720, -13968, 11808
1589677166692, 262792, 8096, -14688, 8896
1589677166703, 262803, 7728, -14912, 8192
1589677166714, 262814, 7232, -14944, 8688
1589677166725, 262825, 6720, -14768, 10128
1589677166736, 262836, 6576, -14496, 10832
1589677166747, 262847, 6240, -14064, 10896
1589677166758, 262858, 6080, -13568, 9888
1589677166769, 262869, 6112, -13344, 8144
1589677166780, 262880, 6832, -13328, 6864
1589677166791, 262891, 7712, -13552, 5952
1589677166802, 262902, 9264, -13728, 5392
1589677166813, 262913, 10960, -14032, 5216
1589677166824, 262924, 12240, -13536, 5568
1589677166835, 262935, 13216, -12080, 6160
1589677166846, 262946, 13440, -9296, 6352
1589677166857, 262957, 14144, -6560, 6320
1589677166868, 262968, 14256, -3408, 6320
1589677166879, 262979, 14256, 368, 6432
1589677166889, 262990, 14832, 3680, 7616
1589677166901, 263001, 14640, 7456, 9104
1589677166912, 263012, 13920, 11104, 11216
1589677166923, 263023, 12560, 13600, 12576
1589677166934, 263034, 11120, 16240, 13632
1589677166945, 263045, 9296, 19040, 14992
1589677166956, 263056, 8800, 22576, 16592
1589677166967, 263067, 2144, 23568, 17472
1589677166978, 263078, -128, 22400, 17552
1589677166989, 263089, -336, 18144, 15712
1589677167000, 263100, 1184, 14160, 13264
1589677167011, 263111, 2496, 10592, 10912
1589677167021, 263122, 3392, 7264, 8432
1589677167032, 263133, 3712, 6528, 7856
1589677167042, 263144, 4144, 7408, 8096
1589677167053, 263155, 4240, 9248, 8464
1589677167065, 263166, 4128, 10832, 8624
1589677167075, 263177, 2832, 12960, 8384
1589677167086, 263188, 1840, 14800, 8016
1589677167097, 263199, 1776, 15648, 6672
1589677167108, 263210, 2160, 15120, 5456
1589677167119, 263221, 2832, 14256, 4272
1589677167130, 263232, 3536, 13520, 3488
1589677167141, 263243, 4096, 13376, 3664
1589677167152, 263254, 4208, 13584, 4048
1589677167163, 263265, 4240, 14288, 4928
1589677167174, 263276, 4256, 15664, 5328
1589677167185, 263287, 4096, 16576, 5840
1589677167196, 263298, 4592, 17024, 5968
1589677167207, 263309, 5904, 16704, 5792
1589677167218, 263320, 7920, 15520, 5328
1589677167230, 263331, 11392, 13184, 4688
1589677167241, 263342, 15648, 8128, 4208
1589677167251, 263353, 16688, 1984, 5104
1589677167263, 263364, 20880, -3152, 8288
1589677167274, 263375, 20944, -6928, 11328
1589677167285, 263386, 20912, -9488, 13088
1589677167296, 263397, 18480, -10400, 12720
1589677167307, 263408, 16960, -11312, 11664
1589677167318, 263419, 15648, -11936, 11072
1589677167329, 263430, 15248, -11776, 11456
1589677167339, 263441, 11728, -10576, 11872
1589677167351, 263452, 10112, -8800, 11952
1589677167361, 263463, 9856, -7104, 10944
1589677167372, 263474, 7136, -5984, 10000
1589677167383, 263485, 5968, -5168, 8816
1589677167394, 263496, 5072, -4384, 7568
1589677167405, 263507, 4160, -3968, 7072
1589677167416, 263518, 3536, -3600, 6704
1589677167427, 263529, 2976, -3168, 6496
1589677167438, 263540, 2896, -2432, 6176
1589677167449, 263551, 2016, -1840, 6128
1589677167460, 263562, 1744, -1488, 5952
1589677167471, 263573, 1536, -1344, 6112
1589677167482, 263584, 1504, -1408, 6208
1589677167493, 263595, 1472, -1344, 6624
1589677167504, 263606, 1376, -1120, 7184
1589677167515, 263617, 1376, -672, 7616
1589677167526, 263628, 1184, -368, 7744
1589677167537, 263639, 1136, -32, 7680
1589677167548, 263650, 960, 160, 7328
1589677167559, 263661, 912, 272, 7168
1589677167570, 263672, 944, 192, 6992
1589677167581, 263683, 1008, 144, 6768
1589677167592, 263694, 1072, -32, 6736
1589677167603, 263705, 1152, -128, 6784
1589677167614, 263716, 1200, -144, 6912
1589677167625, 263727, 1216, -80, 7120
1589677167636, 263738, 1248, 320, 7392
1589677167647, 263749, 1088, 528, 7472
1589677167658, 263760, 960, 624, 7536
1589677167669, 263771, 976, 656, 7408
1589677167680, 263782, 1232, 288, 7136
1589677167691, 263793, 1344, -16, 7264
1589677167702, 263804, 1408, -80, 7648
