Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677196154, 292305, -5280, -928, 6256
1589677196165, 292316, -5248, -976, 6144
1589677196176, 292327, -5344, -832, 6144
1589677196187, 292338, -5424, -736, 6176
1589677196198, 292349, -5488, -624, 6160
1589677196209, 292360, -5600, -512, 6112
1589677196220, 292371, -5536, -528, 6144
1589677196231, 292382, -5472, -624, 6112
1589677196242, 292393, -5424, -640, 6016
1589677196253, 292404, -5376, -688, 6064
1589677196264, 292415, -5424, -720, 6064
1589677196275, 292426, -5488, -688, 6176
1589677196286, 292437, -5328, -640, 6080
1589677196297, 292448, -5520, -608, 6048
1589677196308, 292459, -5472, -656, 6032
1589677196319, 292470, -5360, -688, 6080
1589677196330, 292481, -5456, -768, 6032
1589677196341, 292492, -5344, -816, 5968
1589677196352, 292503, -5360, -864, 5840
1589677196363, 292514, -5360, -832, 5920
1589677196374, 292525, -5344, -864, 5920
1589677196385, 292536, -5216, -928, 5888
1589677196396, 292547, -5152, -1152, 5808
1589677196407, 292558, -5056, -1264, 5808
1589677196418, 292569, -5120, -1280, 5824
1589677196429, 292580, -5120, -1344, 5744
1589677196440, 292591, -5296, -1344, 5856
1589677196451, 292602, -5440, -1344, 5888
1589677196462, 292613, -5520, -1392, 5904
1589677196473, 292624, -5488, -1536, 5824
1589677196484, 292635, -5616, -1616, 5760
1589677196495, 292646, -5600, -1984, 5776
1589677196506, 292657, -5536, -2368, 5664
1589677196517, 292668, -5424, -2832, 5760
1589677196528, 292679, -5296, -3280, 5856
1589677196539, 292690, -5120, -3936, 6096
1589677196550, 292701, -5024, -4224, 6256
1589677196561, 292712, -4704, -4624, 6192
1589677196572, 292723, -4352, -4864, 6192
1589677196583, 292734, -4288, -5328, 6384
1589677196594, 292745, -3520, -5728, 6592
1589677196605, 292756, -3056, -5824, 7024
1589677196616, 292767, -2640, -5760, 7584
1589677196627, 292778, -2560, -5536, 7712
1589677196638, 292789, -2368, -5152, 7696
1589677196649, 292800, -2224, -4672, 7232
1589677196660, 292811, -2208, -4176, 6880
1589677196671, 292822, -2144, -3760, 6384
1589677196682, 292833, -2224, -3360, 6000
1589677196692, 292844, -2176, -3040, 5488
1589677196703, 292855, -2048, -2816, 4816
1589677196714, 292866, -2080, -2656, 4464
1589677196725, 292877, -2224, -1696, 4224
1589677196736, 292888, -2192, -832, 3952
1589677196747, 292899, -2448, -288, 3520
1589677196758, 292910, -2288, 160, 3120
1589677196769, 292921, -2272, 592, 2816
1589677196780, 292932, -1920, 1056, 2672
1589677196791, 292943, -1824, 1904, 2800
1589677196802, 292954, -1952, 3216, 3568
1589677196813, 292965, -2032, 4288, 4112
1589677196824, 292976, -2112, 5040, 4448
1589677196835, 292987, -2320, 5840, 4464
1589677196846, 292998, -2368, 6704, 4304
1589677196857, 293009, -2800, 7024, 4224
1589677196868, 293020, -2704, 7152, 4288
1589677196879, 293031, -2880, 7360, 4672
1589677196890, 293042, -2896, 7712, 5120
1589677196901, 293053, -2896, 8064, 5584
1589677196912, 293064, -2992, 8432, 6176
1589677196923, 293075, -2976, 8832, 6320
1589677196934, 293086, -3104, 9344, 6656
1589677196945, 293097, -3328, 9744, 6880
1589677196956, 293108, -3376, 10112, 6992
1589677196967, 293119, -3504, 10144, 6880
1589677196978, 293130, -3456, 9824, 6672
1589677196989, 293141, -3136, 9120, 6544
1589677197000, 293152, -3024, 8512, 6816
1589677197011, 293163, -2176, 8240, 7440
1589677197022, 293174, -1872, 8192, 8000
1589677197033, 293185, -1792, 8288, 8224
1589677197044, 293196, -1408, 8304, 8560
1589677197055, 293207, -1392, 8288, 8560
1589677197066, 293218, -1312, 8096, 8080
1589677197077, 293229, -1136, 7824, 7872
1589677197088, 293240, -1104, 7472, 7568
1589677197098, 293251, -912, 6992, 7536
1589677197109, 293262, -848, 6240, 7632
1589677197120, 293273, -64, 5488, 7840
1589677197131, 293284, 304, 4752, 8064
1589677197142, 293295, 720, 4064, 8144
1589677197153, 293306, 832, 3488, 8064
1589677197164, 293317, 960, 3024, 8080
1589677197175, 293328, 992, 2576, 7904
1589677197186, 293339, 960, 2192, 7568
1589677197197, 293350, 1072, 1824, 7264
1589677197209, 293361, 1152, 1456, 6992
1589677197219, 293372, 1408, 928, 7120
1589677197230, 293383, 1424, 560, 6960
1589677197241, 293394, 1376, 256, 7072
1589677197252, 293405, 1440, 0, 7328
1589677197263, 293416, 1472, -560, 7456
1589677197274, 293427, 1856, -1264, 7456
1589677197285, 293438, 1968, -1952, 7440
1589677197297, 293449, 2048, -2688, 7472
1589677197307, 293460, 2160, -3040, 7456
1589677197318, 293471, 2096, -3168, 7312
1589677197330, 293482, 1792, -3088, 7136
1589677197340, 293493, 1424, -2768, 7104
1589677197351, 293504, 1216, -2464, 7264
1589677197362, 293515, 1232, -2272, 7568
1589677197373, 293526, 1216, -2448, 8160
1589677197384, 293537, 1648, -2848, 8960
1589677197395, 293548, 1920, -3136, 9728
1589677197406, 293559, 2256, -3456, 10224
1589677197417, 293570, 2496, -3520, 10224
1589677197429, 293581, 2592, -3536, 10128
1589677197439, 293592, 2800, -3456, 10544
1589677197450, 293603, 2880, -3072, 10896
1589677197461, 293614, 2944, -2640, 11392
1589677197472, 293625, 2976, -1968, 12016
1589677197483, 293636, 3088, -1216, 12368
1589677197494, 293647, 2912, -464, 12592
1589677197505, 293658, 2704, 144, 12544
1589677197516, 293669, 2544, 768, 12544
1589677197527, 293680, 2528, 1360, 12272
1589677197538, 293691, 2336, 1664, 11952
1589677197549, 293702, 2320, 1872, 11536
1589677197560, 293713, 2624, 1904, 10928
1589677197571, 293724, 2736, 1968, 10288
1589677197582, 293735, 2800, 2160, 10016
1589677197593, 293746, 2864, 2464, 10096
1589677197604, 293757, 2944, 2944, 10096
1589677197615, 293768, 2848, 3424, 10080
1589677197626, 293779, 2736, 4112, 9952
1589677197637, 293790, 2736, 4864, 9536
1589677197648, 293801, 2544, 5360, 9040
1589677197659, 293812, 2464, 5568, 8480
1589677197669, 293823, 2416, 5728, 8080
1589677197680, 293834, 2240, 5952, 7728
1589677197691, 293845, 2000, 6208, 7536
1589677197702, 293856, 1712, 6448, 7392
1589677197713, 293867, 1632, 6752, 7168
1589677197724, 293878, 1280, 6864, 6944
1589677197735, 293889, 1312, 6656, 6832
1589677197746, 293900, 1328, 6208, 6672
1589677197757, 293911, 1408, 5744, 6496
1589677197768, 293922, 1344, 5200, 6416
1589677197779, 293933, 1344, 4704, 6368
1589677197790, 293944, 1328, 4144, 6432
1589677197801, 293955, 1296, 3728, 6544
1589677197812, 293966, 1328, 3376, 6848
1589677197823, 293977, 1296, 3200, 7168
1589677197834, 293988, 1216, 2992, 7472
1589677197845, 293999, 1232, 2992, 7824
1589677197856, 294010, 1216, 3104, 8000
1589677197867, 294021, 1248, 3104, 7872
1589677197878, 294032, 1184, 3088, 7616
1589677197889, 294043, 1312, 2832, 7440
1589677197900, 294054, 1216, 2240, 7376
