Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677259526, 355786, -960, 48, 8080
1589677259537, 355797, -880, -16, 8032
1589677259548, 355808, -848, 32, 8048
1589677259559, 355819, -912, 48, 8048
1589677259570, 355830, -848, 32, 8144
1589677259581, 355841, -864, 16, 8144
1589677259592, 355852, -896, 16, 8112
1589677259603, 355863, -944, -32, 8080
1589677259614, 355874, -848, 32, 8032
1589677259625, 355885, -864, -16, 8016
1589677259636, 355896, -880, -64, 8112
1589677259647, 355907, -944, -16, 7984
1589677259658, 355918, -928, 16, 7952
1589677259669, 355929, -944, 112, 8144
1589677259680, 355940, -912, 128, 8016
1589677259691, 355951, -880, 32, 8032
1589677259702, 355962, -912, 16, 8032
1589677259713, 355973, -896, 64, 8048
1589677259724, 355984, -880, 96, 8048
1589677259735, 355995, -848, 16, 8048
1589677259746, 356006, -768, 32, 7968
1589677259757, 356017, -912, -80, 8016
1589677259768, 356028, -928, -96, 8048
1589677259779, 356039, -992, -112, 8016
1589677259790, 356050, -976, -16, 7968
1589677259801, 356061, -1056, 64, 7904
1589677259812, 356072, -1072, 176, 7728
1589677259823, 356083, -1104, 80, 7728
1589677259834, 356094, -1184, 128, 7728
1589677259845, 356105, -1280, 0, 7696
1589677259856, 356116, -1248, -96, 7616
1589677259867, 356127, -1328, -144, 7296
1589677259878, 356138, -1504, -16, 7120
1589677259889, 356149, -1744, 128, 7040
1589677259900, 356160, -1728, 144, 6928
1589677259911, 356171, -2896, 368, 7088
1589677259922, 356182, -4176, 608, 7344
1589677259933, 356193, -4624, 432, 7216
1589677259944, 356204, -9744, 432, 7216
1589677259955, 356215, -12704, 864, 7120
1589677259966, 356226, -15984, 1088, 6576
1589677259977, 356237, -19744, 944, 6720
1589677259988, 356248, -22672, 512, 7616
1589677259999, 356259, -24384, 240, 10128
1589677260010, 356270, -24688, 400, 12000
1589677260021, 356281, -24736, 640, 13008
1589677260032, 356292, -23440, 976, 12336
1589677260043, 356303, -22736, 1824, 10576
1589677260054, 356314, -12672, 2912, 8832
1589677260065, 356325, -6096, 8080, 6368
1589677260076, 356336, 4000, 15344, 4416
1589677260087, 356347, 18480, 14640, 112
1589677260098, 356358, 31232, 5856, -2816
1589677260109, 356369, 32560, -6432, -4016
1589677260120, 356380, 32608, -800, 7856
1589677260131, 356391, 32640, 9584, 28384
1589677260142, 356402, 23392, 12288, 32384
1589677260153, 356413, 21936, -4272, 32640
1589677260164, 356424, 15616, -16000, 32640
1589677260175, 356435, 19888, -9792, 18976
1589677260186, 356446, 11392, 2912, -9072
1589677260197, 356457, 3760, 5488, -19296
1589677260208, 356468, -400, 7600, -22784
1589677260219, 356479, -912, 10256, -18512
1589677260230, 356490, -1488, 11504, -12016
1589677260240, 356501, -800, 9504, -3920
1589677260251, 356512, 320, 5984, 3808
1589677260262, 356523, 480, 16, 8032
1589677260273, 356534, 464, -3632, 10816
1589677260284, 356545, 2016, -2784, 11088
1589677260295, 356556, 1632, 544, 9968
1589677260306, 356567, -368, 2048, 8832
1589677260317, 356578, -1104, 2928, 7840
1589677260328, 356589, -1344, 3504, 6496
1589677260339, 356600, -1456, 3392, 6144
1589677260350, 356611, -1312, 3248, 6048
1589677260361, 356622, -944, 2912, 6672
1589677260372, 356633, -784, 2448, 7584
1589677260383, 356644, -176, 1792, 8368
1589677260394, 356655, 96, 1568, 9200
1589677260404, 356666, 96, 1952, 9680
1589677260416, 356677, 16, 2512, 9648
1589677260427, 356688, -320, 2896, 8864
1589677260438, 356699, -752, 3072, 7680
1589677260449, 356710, -896, 2880, 7216
1589677260460, 356721, -896, 2448, 6864
1589677260471, 356732, -784, 2048, 6928
1589677260482, 356743, -704, 1648, 7328
1589677260492, 356754, 0, 1552, 7808
1589677260503, 356765, 192, 1712, 8336
1589677260514, 356776, 208, 1808, 8368
1589677260526, 356787, -320, 1776, 8288
1589677260537, 356798, -544, 2064, 8000
1589677260548, 356809, -800, 2368, 7424
1589677260559, 356820, -944, 2592, 6848
1589677260570, 356831, -896, 2528, 6624
1589677260581, 356842, -464, 2288, 6960
1589677260592, 356853, -400, 1360, 7440
1589677260603, 356864, 320, 448, 7824
