Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589677000425, 96241, -1456, 192, 7920
1589677000436, 96252, -1568, 272, 7872
1589677000447, 96263, -1520, 352, 7968
1589677000458, 96274, -1504, 240, 8048
1589677000469, 96285, -1408, 256, 8048
1589677000480, 96296, -1376, 96, 8192
1589677000491, 96307, -1392, 16, 8112
1589677000502, 96318, -1392, -64, 8080
1589677000513, 96329, -1440, -16, 7952
1589677000524, 96340, -1408, 128, 7920
1589677000535, 96351, -1456, 144, 7952
1589677000546, 96362, -1504, 224, 7968
1589677000557, 96373, -1504, 208, 7984
1589677000568, 96384, -1376, 176, 7984
1589677000579, 96395, -1376, 176, 8000
1589677000590, 96406, -1280, 48, 7840
1589677000601, 96417, -1328, 128, 7776
1589677000612, 96428, -1344, 128, 7568
1589677000623, 96439, -1344, 144, 7552
1589677000634, 96450, -1280, 160, 7408
1589677000645, 96461, -1120, 224, 7392
1589677000656, 96472, -912, 240, 7248
1589677000667, 96483, -480, 192, 6768
1589677000678, 96494, -160, 240, 6000
1589677000689, 96505, -48, 352, 5408
1589677000699, 96516, 80, 320, 5248
1589677000711, 96527, 240, 352, 5424
1589677000722, 96538, 1056, 192, 5504
1589677000733, 96549, 1520, 176, 5344
1589677000744, 96560, 1728, 448, 4880
1589677000755, 96571, 2128, 672, 4432
1589677000766, 96582, 2336, 992, 3952
1589677000777, 96593, 2432, 1248, 3200
1589677000787, 96604, 2720, 1264, 2608
1589677000799, 96615, 3040, 1264, 2032
1589677000810, 96626, 3360, 1296, 1680
1589677000820, 96637, 3424, 1552, 1536
1589677000831, 96648, 4144, 1840, 1664
1589677000843, 96659, 4656, 2048, 1840
1589677000853, 96670, 5104, 2352, 2384
1589677000865, 96681, 5728, 2832, 3056
1589677000876, 96692, 6576, 3136, 3712
1589677000886, 96703, 7424, 3536, 4928
1589677000897, 96714, 7648, 4144, 5632
1589677000909, 96725, 8432, 4448, 6304
1589677000919, 96736, 9072, 4624, 6864
1589677000930, 96747, 10096, 4832, 8032
1589677000941, 96758, 10528, 5024, 9200
1589677000953, 96769, 10704, 4896, 10288
1589677000964, 96780, 10960, 4592, 11472
1589677000975, 96791, 11056, 3824, 12064
1589677000986, 96802, 10848, 3536, 12096
1589677000997, 96813, 10416, 3360, 11840
1589677001008, 96824, 10192, 3440, 10768
1589677001018, 96835, 8768, 3760, 9744
1589677001029, 96846, 8304, 4064, 8640
1589677001041, 96857, 8112, 4224, 7136
1589677001051, 96868, 8032, 4064, 6288
1589677001062, 96879, 8336, 4112, 6080
1589677001073, 96890, 8384, 3776, 5888
1589677001084, 96901, 8384, 2848, 5456
1589677001095, 96912, 8752, 2464, 6048
1589677001106, 96923, 8336, 1728, 6320
1589677001117, 96934, 7952, 1392, 6592
1589677001128, 96945, 7952, 1296, 6928
1589677001139, 96956, 7648, 1360, 6880
1589677001150, 96967, 7200, 1856, 6736
1589677001162, 96978, 7136, 2672, 6736
1589677001172, 96989, 6064, 3088, 7088
1589677001183, 97000, 5824, 2848, 7504
1589677001194, 97011, 5664, 1952, 7824
1589677001205, 97022, 5264, 896, 8192
1589677001216, 97033, 5136, -80, 9008
1589677001226, 97044, 5008, -592, 10960
1589677001237, 97055, 4944, -48, 12864
1589677001248, 97066, 3456, 1264, 14880
1589677001259, 97077, 2864, 2176, 17072
1589677001270, 97088, 2816, 2192, 20832
1589677001281, 97099, 4240, 1248, 25616
1589677001292, 97110, 7552, -384, 31680
1589677001304, 97121, 11504, -3248, 32624
1589677001314, 97132, 12304, -3920, 32640
1589677001326, 97143, 22752, -1952, 32640
1589677001336, 97154, 28912, 672, 32640
1589677001347, 97165, 30384, 3584, 32640
1589677001359, 97176, 32640, 6096, 32640
1589677001369, 97187, 32640, 7664, 31136
1589677001381, 97198, 32640, 8320, 27312
1589677001392, 97209, 32640, 8560, 22864
1589677001402, 97220, 32640, 9568, 17360
1589677001413, 97231, 32640, 10048, 12912
1589677001425, 97242, 32640, 10112, 9424
1589677001435, 97253, 32640, 9792, 7456
1589677001446, 97264, 32640, 8736, 5568
1589677001457, 97275, 31280, 6608, 4560
1589677001468, 97286, 30352, 4608, 3904
1589677001479, 97297, 23856, 3152, 2976
1589677001490, 97308, 21072, 2464, 1856
1589677001501, 97319, 20384, 2368, 944
1589677001512, 97330, 15440, 2704, 560
1589677001523, 97341, 12912, 2928, 336
1589677001534, 97352, 10096, 2432, 352
1589677001545, 97363, 8448, 1840, 176
1589677001556, 97374, 7008, 1200, -176
1589677001567, 97385, 5616, 736, -720
1589677001578, 97396, 5312, 496, -1392
1589677001589, 97407, 3024, 560, -1888
1589677001600, 97418, 2016, 480, -2208
1589677001611, 97429, 640, 704, -2576
1589677001622, 97440, -464, 1040, -2800
1589677001633, 97451, -1440, 1504, -2736
1589677001644, 97462, -2240, 1840, -2848
1589677001655, 97473, -2432, 1872, -2800
1589677001666, 97484, -3536, 1888, -2784
1589677001677, 97495, -3872, 1664, -2576
1589677001688, 97506, -3984, 1120, -2112
1589677001699, 97517, -4224, 800, -1680
1589677001710, 97528, -4768, 688, -1552
1589677001721, 97539, -5296, 816, -1504
1589677001732, 97550, -5536, 1136, -1712
1589677001743, 97561, -6336, 1248, -1808
1589677001754, 97572, -6640, 1264, -1936
1589677001765, 97583, -6640, 1024, -1776
1589677001776, 97594, -6608, 640, -1376
1589677001787, 97605, -6416, 96, -800
1589677001798, 97616, -6528, -176, -192
1589677001809, 97627, -6752, -128, -208
1589677001820, 97638, -6976, -64, -464
1589677001831, 97649, -7136, 160, -880
1589677001842, 97660, -7216, 496, -1088
1589677001853, 97671, -7360, 608, -1056
1589677001864, 97682, -7376, 784, -912
1589677001875, 97693, -7424, 928, -736
1589677001886, 97704, -7408, 1120, -512
1589677001897, 97715, -7408, 1280, -496
1589677001908, 97726, -7312, 1264, -512
1589677001919, 97737, -7200, 1104, -512
1589677001930, 97748, -6704, 592, -400
1589677001941, 97759, -6320, 192, -304
1589677001951, 97770, -6176, 64, 0
1589677001963, 97781, -6528, 160, 128
1589677001974, 97792, -6896, 624, 176
1589677001985, 97803, -7376, 1504, 48
1589677001996, 97814, -7648, 1840, 176
