Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589671563336, 180842, 1792, -5856, 6640
1589671563347, 180853, 1808, -6384, 6800
1589671563358, 180864, 2288, -6832, 7216
1589671563369, 180875, 2656, -7312, 7520
1589671563381, 180886, 2672, -7680, 7776
1589671563392, 180897, 2864, -7872, 7760
1589671563403, 180908, 2784, -7856, 7488
1589671563414, 180919, 2784, -7792, 6912
1589671563425, 180930, 2192, -7648, 6464
1589671563436, 180941, 2064, -7632, 6000
1589671563447, 180952, 2048, -7648, 5568
1589671563458, 180963, 2112, -7584, 5328
1589671563469, 180974, 2064, -7600, 5040
1589671563480, 180985, 2080, -7456, 4688
1589671563491, 180996, 1696, -7376, 4400
1589671563502, 181007, 1664, -7264, 4160
1589671563513, 181018, 1616, -7312, 3776
1589671563523, 181029, 1632, -7648, 3760
1589671563534, 181040, 1968, -8144, 3936
1589671563545, 181051, 2144, -8304, 4000
1589671563557, 181062, 2528, -8416, 4176
1589671563567, 181073, 2656, -8608, 4656
1589671563578, 181084, 2592, -8736, 4784
1589671563589, 181095, 2944, -8688, 4752
1589671563600, 181106, 2896, -8544, 4720
1589671563611, 181117, 2896, -8432, 4784
1589671563622, 181128, 2944, -8176, 4784
1589671563633, 181139, 3088, -8048, 4736
1589671563644, 181150, 3072, -7904, 4672
1589671563656, 181161, 3776, -7936, 4560
1589671563667, 181172, 4000, -7872, 4464
1589671563678, 181183, 4032, -7312, 4064
1589671563689, 181194, 3856, -6640, 3728
1589671563700, 181205, 3712, -6144, 3344
1589671563711, 181216, 3792, -6192, 3328
1589671563721, 181227, 4480, -6192, 3264
1589671563732, 181238, 4928, -6224, 3312
1589671563743, 181249, 4992, -6208, 3088
1589671563754, 181260, 5056, -5920, 2928
1589671563765, 181271, 5056, -5520, 2560
1589671563776, 181282, 5120, -5200, 2240
1589671563787, 181293, 5120, -5056, 1824
1589671563798, 181304, 5376, -4704, 1168
1589671563809, 181315, 5376, -4400, 816
1589671563820, 181326, 5136, -4272, 688
1589671563831, 181337, 5152, -4688, 528
1589671563843, 181348, 5376, -4432, 80
1589671563853, 181359, 5216, -4128, -160
1589671563864, 181370, 5072, -4112, 96
1589671563875, 181381, 4688, -4432, 592
1589671563886, 181392, 4656, -4064, 832
1589671563897, 181403, 4464, -3328, 928
1589671563908, 181414, 4160, -2672, 1088
1589671563920, 181425, 3632, -2176, 1280
1589671563930, 181436, 2864, -1408, 1552
1589671563941, 181447, 2576, -512, 1792
1589671563952, 181458, 2352, 208, 2144
1589671563963, 181469, 2352, 1392, 3296
1589671563974, 181480, 2352, 2336, 4224
1589671563986, 181491, 2528, 3360, 4880
1589671563997, 181502, 2720, 4688, 5216
1589671564008, 181513, 3568, 5536, 5456
1589671564019, 181524, 3792, 6256, 5744
1589671564030, 181535, 3744, 7008, 5856
1589671564041, 181546, 3536, 7984, 5824
1589671564052, 181557, 3088, 8912, 6080
1589671564063, 181568, 2880, 10272, 7280
1589671564074, 181579, 1904, 11184, 8192
1589671564085, 181590, 1408, 12240, 8576
1589671564095, 181601, 1248, 13584, 8560
1589671564106, 181612, 848, 14144, 8176
1589671564117, 181623, 800, 14288, 7568
1589671564128, 181634, 784, 14224, 6672
1589671564139, 181645, 1808, 13888, 6032
1589671564150, 181656, 2400, 13408, 5632
1589671564161, 181667, 2576, 12976, 5440
1589671564172, 181678, 3744, 12336, 5760
1589671564183, 181689, 4064, 11792, 6288
1589671564194, 181700, 4096, 11680, 6416
1589671564205, 181711, 5552, 11584, 6368
1589671564216, 181722, 6192, 11296, 6160
1589671564227, 181733, 6304, 10864, 5552
1589671564238, 181744, 7184, 10272, 5056
1589671564249, 181755, 7456, 9344, 4704
1589671564260, 181766, 7168, 8608, 4128
1589671564271, 181777, 7600, 8640, 4512
1589671564283, 181788, 7440, 8464, 3968
