Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589671476865, 94371, 1616, -3504, 6672
1589671476876, 94382, 1728, -3664, 6608
1589671476887, 94393, 1744, -3792, 6560
1589671476899, 94404, 1792, -3776, 6688
1589671476909, 94415, 1776, -3840, 6720
1589671476921, 94426, 1872, -3840, 6752
1589671476932, 94437, 1744, -3792, 6736
1589671476942, 94448, 1744, -3792, 6672
1589671476954, 94459, 1712, -3808, 6608
1589671476965, 94470, 1648, -3840, 6560
1589671476976, 94481, 1680, -3888, 6512
1589671476987, 94492, 1712, -4000, 6592
1589671476998, 94503, 1744, -4128, 6576
1589671477009, 94514, 1824, -4096, 6544
1589671477020, 94525, 1648, -4112, 6544
1589671477031, 94536, 1552, -4112, 6480
1589671477042, 94547, 1536, -4080, 6448
1589671477053, 94558, 1552, -4080, 6272
1589671477064, 94569, 1376, -4160, 6256
1589671477075, 94580, 1456, -4320, 6304
1589671477086, 94591, 1568, -4512, 6288
1589671477097, 94602, 1472, -4656, 6144
1589671477108, 94613, 1456, -4672, 6016
1589671477119, 94624, 1360, -4640, 5904
1589671477130, 94635, 1440, -4592, 5824
1589671477141, 94646, 1360, -4528, 5840
1589671477152, 94657, 1088, -4416, 5808
1589671477163, 94668, 1216, -4304, 5792
1589671477174, 94679, 1248, -4352, 5792
1589671477184, 94690, 1120, -4416, 5904
1589671477195, 94701, 1216, -4688, 6080
1589671477206, 94712, 1328, -5104, 6304
1589671477217, 94723, 1408, -5904, 6080
1589671477228, 94734, 1776, -6336, 5920
1589671477239, 94745, 1984, -6512, 5760
1589671477250, 94756, 2160, -6640, 5792
1589671477261, 94767, 1440, -6544, 5920
1589671477272, 94778, 1360, -6480, 6320
1589671477283, 94789, 1568, -6688, 6640
1589671477295, 94800, 1648, -7040, 7056
1589671477305, 94811, 1568, -7488, 7408
1589671477317, 94822, 1888, -8000, 7840
1589671477328, 94833, 2288, -8512, 8320
1589671477339, 94844, 2496, -9328, 9088
1589671477350, 94855, 2560, -9472, 9504
1589671477361, 94866, 2224, -8912, 9808
1589671477372, 94877, 1648, -7584, 9856
1589671477383, 94888, 1024, -6912, 10016
1589671477394, 94899, 768, -5824, 10016
1589671477405, 94910, 720, -4640, 9952
1589671477416, 94921, 1088, -4272, 9904
1589671477427, 94932, 1120, -4160, 9904
1589671477438, 94943, 1200, -4128, 10144
1589671477449, 94954, 992, -3904, 9936
1589671477460, 94965, 608, -3328, 9648
1589671477471, 94976, -48, -2320, 9104
1589671477482, 94987, -368, -1264, 8144
1589671477493, 94998, -592, -784, 7552
