Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589671594027, 211532, 1600, -2704, 7200
1589671594037, 211543, 1568, -2720, 7216
1589671594048, 211554, 1568, -2768, 7184
1589671594059, 211565, 1472, -2736, 7088
1589671594070, 211576, 1536, -2736, 7120
1589671594081, 211587, 1616, -2784, 7184
1589671594092, 211598, 1664, -2784, 7136
1589671594103, 211609, 1520, -2768, 7152
1589671594114, 211620, 1616, -2800, 7232
1589671594125, 211631, 1584, -2784, 7168
1589671594136, 211642, 1488, -2768, 7216
1589671594147, 211653, 1424, -2816, 7216
1589671594158, 211664, 1408, -2784, 7280
1589671594169, 211675, 1440, -2736, 7280
1589671594180, 211686, 1424, -2816, 7280
1589671594191, 211697, 1504, -2832, 7168
1589671594202, 211708, 1488, -2880, 7104
1589671594213, 211719, 1456, -2848, 7136
1589671594224, 211730, 1424, -2800, 7040
1589671594235, 211741, 1552, -2784, 7104
1589671594246, 211752, 1568, -2848, 7120
1589671594257, 211763, 1536, -2816, 7072
1589671594269, 211774, 1648, -2864, 7136
1589671594279, 211785, 1584, -2816, 7184
1589671594291, 211796, 1600, -2848, 7168
1589671594302, 211807, 1664, -2800, 7136
1589671594313, 211818, 1648, -2880, 7104
1589671594324, 211829, 1600, -2864, 6928
1589671594335, 211840, 1552, -2608, 6768
1589671594346, 211851, 1600, -2624, 6848
1589671594357, 211862, 1600, -2688, 6960
1589671594368, 211873, 1632, -2704, 7200
1589671594379, 211884, 1616, -2800, 7184
1589671594390, 211895, 1632, -2672, 7200
1589671594400, 211906, 1488, -2528, 6944
1589671594411, 211917, 1584, -2320, 6656
1589671594422, 211928, 1536, -2016, 6160
1589671594433, 211939, 1664, -1824, 6032
1589671594444, 211950, 1792, -1696, 5952
1589671594455, 211961, 1952, -1904, 6192
1589671594466, 211972, 1984, -2080, 6480
1589671594477, 211983, 2032, -2016, 6704
1589671594488, 211994, 1984, -1888, 6736
1589671594499, 212005, 1936, -1632, 6832
1589671594510, 212016, 1888, -1296, 6800
1589671594521, 212027, 1712, -1040, 6800
1589671594532, 212038, 1616, -832, 6880
1589671594543, 212049, 1328, -960, 7408
1589671594554, 212060, 1440, -1712, 8448
1589671594565, 212071, 1904, -2800, 9824
1589671594576, 212082, 2464, -4176, 11520
1589671594587, 212093, 2656, -5232, 12480
1589671594599, 212104, 2672, -5952, 12896
1589671594609, 212115, 2064, -7120, 12960
1589671594621, 212126, 1504, -8240, 12960
1589671594632, 212137, 1248, -9504, 12864
1589671594643, 212148, 1600, -11472, 12448
1589671594654, 212159, 2112, -12624, 12144
1589671594665, 212170, 2272, -13648, 11840
1589671594676, 212181, 2192, -14128, 11040
