Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589671536255, 153760, -240, -2576, 7168
1589671536266, 153771, -288, -2592, 7152
1589671536277, 153782, -240, -2592, 7104
1589671536287, 153793, -272, -2608, 7184
1589671536298, 153804, -176, -2672, 7200
1589671536309, 153815, -176, -2720, 7136
1589671536320, 153826, -144, -2720, 7184
1589671536332, 153837, -176, -2720, 7104
1589671536342, 153848, -192, -2752, 7152
1589671536353, 153859, -80, -2720, 7056
1589671536365, 153870, -224, -2656, 7072
1589671536376, 153881, -208, -2592, 7024
1589671536386, 153892, -272, -2736, 7200
1589671536397, 153903, -288, -2848, 7296
1589671536408, 153914, -64, -2992, 7568
1589671536419, 153925, -48, -3088, 7504
1589671536430, 153936, 0, -3120, 7424
1589671536441, 153947, 80, -3232, 7344
1589671536452, 153958, 16, -3232, 7296
1589671536463, 153969, 96, -3280, 7360
1589671536475, 153980, 80, -3232, 7296
1589671536486, 153991, 80, -3360, 7408
1589671536497, 154002, 64, -3456, 7424
1589671536508, 154013, 112, -3488, 7456
1589671536519, 154024, 208, -3504, 7488
1589671536530, 154035, 160, -3472, 7456
1589671536541, 154046, 128, -3552, 7344
1589671536552, 154057, 192, -3568, 7200
1589671536563, 154068, 208, -3584, 6928
1589671536574, 154079, 208, -3408, 6624
1589671536585, 154090, 192, -3392, 6432
1589671536595, 154101, 128, -3456, 6320
1589671536607, 154112, 160, -3504, 6032
1589671536617, 154123, 64, -3504, 5888
1589671536628, 154134, 48, -3504, 5648
1589671536639, 154145, -32, -3440, 5440
1589671536650, 154156, -96, -3376, 5296
1589671536661, 154167, -160, -3376, 5088
1589671536672, 154178, 16, -3296, 5040
1589671536683, 154189, -448, -3264, 4912
1589671536695, 154200, -576, -3264, 4720
1589671536706, 154211, -704, -3104, 4496
1589671536716, 154222, -832, -2928, 4336
1589671536727, 154233, -1056, -2800, 4352
1589671536739, 154244, -1056, -2768, 4064
1589671536750, 154255, -1440, -2688, 3904
1589671536761, 154266, -1632, -2688, 3504
1589671536772, 154277, -1616, -2752, 3392
1589671536783, 154288, -1936, -2816, 3216
1589671536794, 154299, -2064, -2896, 3024
1589671536805, 154310, -2000, -3104, 3152
1589671536816, 154321, -2112, -3296, 3248
1589671536827, 154332, -2112, -3408, 3520
1589671536838, 154343, -1984, -3584, 3680
1589671536849, 154354, -2464, -3744, 3968
1589671536860, 154365, -2768, -3792, 4272
