Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432416152, 49892, -4848, 5760, 736
1589432416183, 49922, -4928, 5808, 832
1589432416212, 49952, -4928, 5936, 832
1589432416242, 49982, -4848, 6144, 976
1589432416273, 50012, -4784, 6224, 848
1589432416302, 50042, -4848, 6240, 720
1589432416332, 50072, -4800, 6208, 544
1589432416362, 50102, -4768, 5984, 384
1589432416392, 50132, -4752, 5888, 464
1589432416423, 50162, -4688, 5904, 656
1589432416452, 50192, -4704, 5936, 704
1589432416483, 50222, -4800, 5952, 656
1589432416513, 50252, -4800, 5904, 752
1589432416542, 50282, -4848, 5952, 736
1589432416572, 50312, -4800, 6016, 752
1589432416602, 50342, -4832, 6064, 784
1589432416632, 50372, -4896, 6064, 672
1589432416661, 50402, -4800, 6064, 640
1589432416692, 50432, -4784, 6032, 672
1589432416723, 50462, -4848, 6032, 592
1589432416751, 50492, -4832, 6000, 704
1589432416782, 50522, -4912, 6016, 640
1589432416815, 50552, -4832, 5936, 752
1589432416842, 50582, -4752, 5824, 800
1589432416873, 50612, -4848, 5744, 560
1589432416901, 50642, -4928, 5808, 512
1589432416933, 50672, -4752, 5984, 528
1589432416962, 50702, -4800, 6144, 320
1589432416992, 50732, -4800, 6224, -256
1589432417024, 50762, -4400, 6352, -832
1589432417052, 50792, -4112, 6816, -1728
1589432417083, 50822, -4064, 6832, -2944
1589432417115, 50852, -3520, 6864, -3664
1589432417142, 50882, -2336, 7120, -3712
1589432417173, 50912, -1232, 8768, -3968
1589432417202, 50942, -784, 10336, -4272
1589432417234, 50972, -368, 10880, -4192
1589432417262, 51002, 528, 11776, -3568
1589432417291, 51032, 1648, 13152, -3232
1589432417323, 51062, 2304, 13904, -3728
1589432417353, 51092, 3680, 15968, -3072
1589432417383, 51122, 5120, 17216, 144
1589432417413, 51152, 6688, 15520, 3296
1589432417443, 51182, 8128, 13088, 6592
1589432417471, 51212, 8576, 13808, 10528
1589432417502, 51242, 7488, 10960, 10192
1589432417534, 51272, 5680, 7312, 7568
1589432417562, 51302, 4960, 7632, 7216
1589432417592, 51332, 3392, 8016, 8032
1589432417623, 51362, 3296, 6880, 8400
1589432417652, 51392, 3376, 5216, 9664
1589432417684, 51422, 3264, 3568, 12192
1589432417712, 51452, 2912, -864, 14640
1589432417742, 51482, 1056, -2752, 15152
1589432417772, 51512, -1024, 144, 14064
1589432417804, 51542, -2512, 1152, 10976
1589432417833, 51572, -2640, 1584, 8080
1589432417863, 51602, -4336, 2144, 6080
1589432417892, 51632, -5280, 2640, 5664
1589432417923, 51662, -5424, 2784, 6032
1589432417952, 51692, -5088, 2672, 5760
1589432417983, 51722, -5024, 3760, 5520
1589432418012, 51752, -5152, 4304, 5792
1589432418042, 51782, -4208, 4048, 6400
1589432418075, 51812, -3872, 3824, 6544
1589432418102, 51842, -3968, 3792, 6192
1589432418132, 51872, -4096, 3936, 5840
1589432418162, 51902, -4096, 3904, 5968
1589432418191, 51932, -4096, 4048, 5760
1589432418221, 51962, -4288, 4064, 5680
1589432418253, 51992, -4192, 3536, 6048
1589432418284, 52022, -3776, 3456, 6320
1589432418313, 52052, -3856, 3712, 6000
1589432418343, 52082, -4096, 3696, 5632
1589432418371, 52112, -4000, 3568, 5824
1589432418403, 52142, -3760, 3568, 6240
1589432418433, 52172, -3728, 3408, 6080
1589432418464, 52202, -3760, 3504, 6016
1589432418492, 52232, -3840, 3424, 5888
1589432418523, 52262, -3936, 3520, 5872
1589432418551, 52292, -3968, 3536, 5920
1589432418584, 52322, -3872, 3552, 5920
1589432418612, 52352, -3920, 3504, 5888
1589432418643, 52382, -3904, 3376, 5936
1589432418673, 52412, -3776, 3408, 6032
1589432418701, 52442, -3904, 3456, 6064
1589432418734, 52472, -3840, 3584, 6256
