Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432545571, 179312, -5184, -5744, 1600
1589432545600, 179342, -5072, -5952, 1600
1589432545630, 179372, -5040, -6096, 1664
1589432545661, 179402, -4944, -6192, 1664
1589432545691, 179432, -5072, -6224, 1664
1589432545721, 179462, -5024, -6320, 1568
1589432545751, 179492, -4944, -6352, 1584
1589432545782, 179522, -4896, -6432, 1776
1589432545811, 179552, -4624, -6656, 1856
1589432545841, 179582, -4704, -6480, 2016
1589432545871, 179612, -4896, -6224, 2032
1589432545902, 179642, -4992, -5504, 1680
1589432545932, 179672, -5232, -5536, 1456
1589432545961, 179702, -4944, -6336, 1792
1589432545991, 179732, -3824, -7696, 1504
1589432546021, 179762, -2832, -8128, 912
1589432546049, 179792, -2048, -8304, 944
1589432546080, 179822, -576, -10304, -560
1589432546109, 179852, 1984, -13856, -464
1589432546140, 179882, 5776, -18368, 352
1589432546171, 179912, 8656, -20560, 1984
1589432546201, 179942, 8240, -19296, 1056
1589432546231, 179972, 8160, -15328, 800
1589432546260, 180002, 8880, -9984, 2688
1589432546290, 180032, 8736, -5792, 2304
1589432546319, 180062, 9024, -4592, 1888
1589432546350, 180092, 11680, -64, 1776
1589432546382, 180122, 14752, 4688, 1824
1589432546411, 180152, 15840, 8768, 112
1589432546441, 180182, 17008, 10304, -3376
1589432546472, 180212, 13312, 18432, -7760
1589432546501, 180242, 4288, 17760, -8448
1589432546532, 180272, 2592, 9424, -2240
1589432546561, 180302, 5728, 10512, -2096
1589432546591, 180332, 5632, 11744, -7312
1589432546620, 180362, 5552, 10336, -6880
1589432546651, 180392, 9504, 13936, -3552
1589432546681, 180422, 6704, 20272, -5072
1589432546711, 180452, 3296, 19584, -5664
1589432546740, 180482, 3776, 16448, -4256
1589432546771, 180512, 4064, 15600, -1408
1589432546801, 180542, 2336, 15392, -2112
1589432546831, 180572, 288, 15264, -3920
1589432546859, 180602, -16, 14736, -3728
1589432546891, 180632, 896, 13296, -1744
1589432546920, 180662, 1776, 12016, 208
1589432546951, 180692, 1840, 10736, 880
1589432546980, 180722, 1328, 10240, 1184
1589432547010, 180752, 1232, 9632, 1488
1589432547041, 180782, 1472, 8416, 1840
1589432547073, 180812, 1536, 7744, 2144
1589432547101, 180842, 1280, 7152, 2080
1589432547132, 180872, 704, 6688, 1664
1589432547160, 180902, 352, 6272, 1008
1589432547190, 180932, 0, 6320, 1072
1589432547220, 180962, -240, 6336, 1616
1589432547249, 180992, -288, 6512, 1824
