Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432461213, 94952, -5744, 4128, 3584
1589432461243, 94982, -5792, 4112, 3440
1589432461272, 95012, -5920, 4080, 3344
1589432461303, 95042, -5920, 4112, 3408
1589432461331, 95072, -5984, 4144, 3392
1589432461363, 95102, -5984, 4096, 3440
1589432461392, 95132, -5920, 4096, 3408
1589432461421, 95162, -5984, 4048, 3392
1589432461451, 95192, -5840, 3904, 3680
1589432461481, 95222, -5824, 3984, 3616
1589432461512, 95252, -5840, 3968, 3600
1589432461543, 95282, -5824, 3968, 3712
1589432461572, 95312, -5712, 3760, 3664
1589432461602, 95342, -5712, 3824, 3792
1589432461631, 95372, -5776, 3696, 3760
1589432461662, 95402, -5536, 3312, 4016
1589432461692, 95432, -5264, 2832, 4336
1589432461723, 95462, -5104, 2256, 4832
1589432461752, 95492, -4784, 1472, 5504
1589432461782, 95522, -3872, 1520, 7552
1589432461811, 95552, -2368, 1984, 9952
1589432461840, 95582, -128, 2192, 12464
1589432461872, 95612, 2448, 3888, 14480
1589432461900, 95642, 3856, 6416, 14464
1589432461931, 95672, 4256, 8176, 14960
1589432461962, 95702, 8464, 11056, 14640
1589432461991, 95732, 10400, 15808, 12320
1589432462022, 95762, 10864, 17344, 8672
1589432462052, 95792, 10432, 17216, 5184
1589432462081, 95822, 9280, 18320, 4288
1589432462112, 95852, 8640, 20448, 2448
1589432462140, 95882, 7136, 18800, 256
1589432462173, 95912, 7104, 18288, 1200
1589432462201, 95942, 6800, 17872, -3232
1589432462233, 95972, 4624, 15552, -6784
1589432462262, 96002, 3984, 11776, -5984
1589432462291, 96032, 4896, 8784, -5984
1589432462322, 96062, 4512, 9392, -9696
1589432462350, 96092, 1280, 8336, -13456
1589432462381, 96122, -512, 6384, -11424
1589432462412, 96152, -864, 4976, -8032
1589432462442, 96182, -1968, 3904, -8272
1589432462473, 96212, -3632, 4288, -8064
1589432462503, 96242, -4064, 4944, -5840
1589432462531, 96272, -4112, 5008, -4240
1589432462562, 96302, -4864, 5312, -2768
1589432462592, 96332, -5104, 5760, -1984
1589432462623, 96362, -5232, 5408, -1760
1589432462652, 96392, -4784, 4672, -1392
1589432462682, 96422, -4784, 4560, -1456
1589432462712, 96452, -4736, 4976, -1792
1589432462743, 96482, -4928, 5680, -2160
1589432462772, 96512, -4896, 5344, -2608
1589432462802, 96542, -5072, 5744, -2512
1589432462832, 96572, -5232, 6208, -2080
1589432462861, 96602, -4816, 6176, -1568
1589432462892, 96632, -4336, 5296, -2160
1589432462922, 96662, -4672, 5472, -1232
1589432462951, 96692, -4608, 5600, -288
1589432462981, 96722, -5040, 5200, -624
1589432463011, 96752, -5408, 4800, -464
1589432463041, 96782, -5360, 5120, 528
1589432463073, 96812, -5280, 5408, 1040
1589432463103, 96842, -5568, 5344, 1200
1589432463132, 96872, -5344, 5296, 1008
