Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432609501, 243242, -6640, 4240, -240
1589432609530, 243272, -6576, 4272, -64
1589432609559, 243302, -6576, 4272, -32
1589432609590, 243332, -6592, 4368, -112
1589432609619, 243362, -6528, 4384, -112
1589432609655, 243392, -6560, 4352, -96
1589432609680, 243422, -6624, 4224, -112
1589432609710, 243452, -6544, 4224, -80
1589432609741, 243482, -6704, 4528, -80
1589432609769, 243512, -6768, 4864, -224
1589432609799, 243542, -6768, 5280, -608
1589432609829, 243572, -6752, 5104, -976
1589432609861, 243602, -6864, 5088, -1232
1589432609890, 243632, -7024, 5040, -1680
1589432609920, 243662, -7168, 5088, -2272
1589432609952, 243692, -7040, 4880, -2640
1589432609979, 243722, -6624, 4512, -2768
1589432610012, 243752, -6432, 3968, -2912
1589432610040, 243782, -6288, 2912, -3376
1589432610069, 243812, -6000, 1984, -3712
1589432610099, 243842, -5184, 1232, -3360
1589432610130, 243872, -4784, 1040, -2240
1589432610160, 243902, -3744, 912, -944
1589432610190, 243932, -2800, 784, -848
1589432610221, 243962, -2640, 992, -592
1589432610249, 243992, -2048, 1024, 240
1589432610281, 244022, -864, 784, 1312
1589432610309, 244052, -1328, 1152, 1520
1589432610341, 244082, -1440, 1536, 1376
1589432610370, 244112, -432, 2320, 2352
1589432610399, 244142, 640, 3680, 2752
1589432610431, 244172, 976, 5728, 3136
1589432610460, 244202, 2048, 6944, 4928
1589432610490, 244232, 3520, 6208, 6096
1589432610519, 244262, 4880, 7600, 6688
1589432610550, 244292, 5616, 8528, 7440
1589432610579, 244322, 6608, 7904, 7440
1589432610609, 244352, 8000, 7456, 6080
1589432610640, 244382, 7648, 9120, 5568
1589432610671, 244412, 7680, 9456, 5264
1589432610700, 244442, 8096, 8576, 4768
1589432610730, 244472, 9920, 9472, 3056
1589432610760, 244502, 8896, 11712, 2496
1589432610790, 244532, 8912, 10528, 1856
1589432610821, 244562, 9136, 11552, 1088
1589432610849, 244592, 7824, 12064, 1056
1589432610880, 244622, 9104, 11312, 1424
1589432610911, 244652, 8768, 11920, 976
1589432610938, 244682, 8304, 10576, 832
1589432610972, 244712, 8368, 9696, 336
1589432610999, 244742, 8400, 10000, -48
1589432611031, 244772, 7744, 9536, 272
1589432611059, 244802, 7456, 9920, 80
1589432611090, 244832, 6784, 9648, -1024
1589432611120, 244862, 6176, 9920, -1328
1589432611150, 244892, 5456, 9152, -1136
1589432611180, 244922, 5488, 8800, -720
1589432611209, 244952, 4992, 8512, -752
1589432611241, 244982, 4768, 7888, -848
1589432611270, 245012, 3552, 7264, -704
1589432611300, 245042, 2800, 6640, -448
1589432611332, 245072, 1760, 5856, -304
1589432611359, 245102, 1184, 5584, -256
1589432611388, 245132, 112, 5328, 0
1589432611420, 245162, -560, 4896, 192
1589432611449, 245192, -880, 4640, 288
1589432611479, 245222, -1696, 4352, 448
1589432611510, 245252, -1984, 4032, 928
1589432611540, 245282, -2288, 4320, 1456
1589432611569, 245312, -3040, 4432, 1328
1589432611600, 245342, -3888, 4240, 688
1589432611629, 245372, -4544, 4016, 1072
1589432611660, 245402, -4464, 3696, 2320
1589432611691, 245432, -4672, 3024, 2944
1589432611720, 245462, -5088, 2288, 2800
1589432611751, 245492, -5632, 2272, 2656
1589432611780, 245522, -5792, 2432, 2688
1589432611810, 245552, -5808, 2320, 2608
1589432611839, 245582, -5632, 3168, 1904
1589432611870, 245612, -6208, 3888, 1632
1589432611900, 245642, -6448, 3472, 1584
1589432611929, 245672, -6320, 3040, 1472
1589432611959, 245702, -6496, 3248, 1200
1589432611989, 245732, -6944, 3744, 1136
1589432612020, 245762, -6640, 4080, 880
1589432612050, 245792, -6672, 4304, 832
1589432612079, 245822, -6528, 4624, 672
1589432612109, 245852, -6592, 4656, 656
1589432612140, 245882, -6672, 4400, 624
1589432612170, 245912, -6624, 4176, 496
1589432612200, 245942, -6672, 4288, 448
1589432612230, 245972, -6624, 4352, 480
