Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432668009, 301742, -7296, 2432, 1744
1589432668038, 301772, -7232, 2496, 1648
1589432668068, 301802, -7344, 2592, 1648
1589432668099, 301832, -7344, 2512, 1616
1589432668128, 301862, -7360, 2528, 1632
1589432668157, 301892, -7392, 2528, 1520
1589432668189, 301922, -7376, 2528, 1664
1589432668218, 301952, -7280, 2528, 1744
1589432668250, 301982, -7376, 2624, 1680
1589432668277, 302012, -7312, 2640, 1728
1589432668308, 302042, -7408, 2592, 1792
1589432668337, 302072, -7440, 2512, 1760
1589432668367, 302102, -7408, 2560, 1664
1589432668399, 302132, -7408, 2624, 1712
1589432668428, 302162, -7456, 2672, 1808
1589432668458, 302192, -7520, 2704, 1856
1589432668488, 302222, -7552, 2624, 1904
1589432668519, 302252, -7712, 2704, 2240
1589432668547, 302282, -8096, 2544, 2752
1589432668579, 302312, -8384, 2176, 3424
1589432668608, 302342, -8432, 1888, 4064
1589432668638, 302372, -8240, 1440, 4464
1589432668668, 302402, -7696, 432, 4528
1589432668697, 302432, -6720, -208, 4352
1589432668729, 302462, -6048, -1408, 3696
1589432668758, 302492, -4928, -2896, 2224
1589432668788, 302522, -4608, -2784, 976
1589432668818, 302552, -4336, -2064, 880
1589432668849, 302582, -3488, -1824, 1328
1589432668879, 302612, -2944, -800, 1504
1589432668908, 302642, -1984, 1312, 864
1589432668938, 302672, -2368, 2592, -128
1589432668968, 302702, -2160, 3280, -384
1589432668998, 302732, -1872, 4240, -368
1589432669029, 302762, -2000, 5152, -448
1589432669058, 302792, -1664, 4704, 48
1589432669088, 302822, -400, 5632, 576
1589432669118, 302852, 80, 7472, 704
1589432669147, 302882, 208, 6592, 432
1589432669178, 302912, 2064, 8160, 1536
1589432669209, 302942, 3120, 9104, 1696
1589432669237, 302972, 4240, 7824, 1744
1589432669268, 303002, 5840, 8880, 2032
1589432669297, 303032, 5792, 11520, 2032
1589432669329, 303062, 5952, 9904, -144
1589432669358, 303092, 6448, 10848, 96
1589432669388, 303122, 6496, 12032, 2048
1589432669418, 303152, 6512, 10512, 416
1589432669448, 303182, 6528, 10320, -736
1589432669478, 303212, 6496, 10416, 848
1589432669508, 303242, 7264, 9504, 576
1589432669538, 303272, 7584, 10176, 272
1589432669568, 303302, 7344, 11232, 1392
1589432669597, 303332, 7664, 9872, 1936
1589432669627, 303362, 8176, 9264, 2944
1589432669660, 303392, 7856, 9312, 3568
1589432669688, 303422, 7072, 9952, 3632
1589432669718, 303452, 7088, 9392, 4400
1589432669748, 303482, 7280, 9136, 4768
1589432669778, 303512, 6848, 8800, 4496
1589432669807, 303542, 6256, 8608, 4640
1589432669837, 303572, 5728, 8208, 4400
1589432669869, 303602, 5024, 8240, 4160
1589432669898, 303632, 3824, 9056, 4352
1589432669928, 303662, 3312, 9280, 4960
1589432669958, 303692, 3472, 8320, 5712
1589432669989, 303722, 3200, 8336, 5760
1589432670019, 303752, 2400, 8896, 6096
1589432670048, 303782, 2016, 8688, 6544
1589432670079, 303812, 2544, 7136, 6352
1589432670107, 303842, 1904, 6448, 5968
1589432670138, 303872, 624, 6208, 5136
1589432670169, 303902, 16, 4816, 3936
1589432670198, 303932, -240, 4096, 3952
1589432670229, 303962, -752, 4096, 4096
1589432670258, 303992, -1488, 3520, 2784
1589432670288, 304022, -1824, 2416, 2320
1589432670318, 304052, -832, 2480, 2464
1589432670348, 304082, -1936, 3472, 704
1589432670378, 304112, -2832, 2384, -272
1589432670410, 304142, -2560, 416, -1552
1589432670437, 304172, -2176, 1776, -2032
1589432670470, 304202, -3696, 3936, -2736
1589432670497, 304232, -4064, 3136, -4352
1589432670528, 304262, -4464, 2672, -4512
1589432670559, 304292, -4960, 2832, -3952
1589432670587, 304322, -5264, 2960, -3504
1589432670618, 304352, -5568, 2448, -3680
1589432670648, 304382, -5984, 3264, -4016
1589432670677, 304412, -6912, 4144, -3952
1589432670708, 304442, -6832, 3648, -3520
1589432670738, 304472, -6448, 3872, -3248
1589432670769, 304502, -6736, 4096, -3376
