Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432713069, 346802, -6080, 4832, -608
1589432713100, 346832, -6176, 4768, -608
1589432713128, 346862, -6192, 4752, -688
1589432713159, 346892, -6096, 4704, -704
1589432713188, 346922, -6176, 4816, -704
1589432713219, 346952, -6080, 4720, -816
1589432713247, 346982, -6176, 4848, -880
1589432713278, 347012, -6112, 4656, -816
1589432713309, 347042, -6064, 4544, -736
1589432713338, 347072, -6112, 4528, -816
1589432713369, 347102, -6160, 4624, -832
1589432713401, 347132, -6064, 4672, -944
1589432713428, 347162, -6064, 4752, -1328
1589432713458, 347192, -5936, 4816, -2016
1589432713488, 347222, -5808, 5008, -2592
1589432713519, 347252, -5616, 5376, -3248
1589432713549, 347282, -5296, 5936, -4320
1589432713580, 347312, -5168, 6176, -4832
1589432713609, 347342, -5296, 5520, -4624
1589432713638, 347372, -4880, 5264, -4880
1589432713669, 347402, -4768, 5344, -4784
1589432713699, 347432, -4880, 5936, -4768
1589432713728, 347462, -4880, 6320, -4928
1589432713758, 347492, -5024, 5936, -4320
1589432713790, 347522, -4704, 4912, -3120
1589432713818, 347552, -3824, 4352, -1056
1589432713849, 347582, -3712, 4768, 1696
1589432713878, 347612, -3264, 4800, 3776
1589432713909, 347642, -3760, 5392, 5184
1589432713939, 347672, -4016, 5056, 5792
1589432713968, 347702, -4432, 4224, 5888
1589432713999, 347732, -4560, 4048, 6976
1589432714029, 347762, -4688, 3808, 7472
1589432714058, 347792, -4992, 3184, 7104
1589432714090, 347822, -5152, 2656, 6944
1589432714118, 347852, -4704, 2496, 7744
1589432714148, 347882, -3904, 2032, 8384
1589432714177, 347912, -2528, 1808, 8592
1589432714209, 347942, -2128, 1856, 9296
1589432714239, 347972, -1168, 1184, 10000
1589432714268, 348002, 96, 448, 10480
1589432714299, 348032, 1200, 368, 10160
1589432714328, 348062, 1840, 2816, 6912
1589432714359, 348092, 1792, 5904, 3008
1589432714389, 348122, 832, 9344, -1024
1589432714418, 348152, -304, 11184, -1488
1589432714448, 348182, 112, 12208, -992
1589432714477, 348212, -656, 11808, -3376
1589432714509, 348242, -1872, 12448, -2832
1589432714539, 348272, -816, 12480, -1408
1589432714569, 348302, 448, 12736, -1616
1589432714599, 348332, -864, 13760, -2352
1589432714629, 348362, -2192, 13232, -2000
1589432714660, 348392, -2560, 10912, -1616
1589432714687, 348422, -3024, 9920, -992
1589432714719, 348452, -2592, 9184, -1648
1589432714748, 348482, -1952, 7856, -2896
1589432714778, 348512, -1520, 7200, -3296
1589432714809, 348542, -800, 7520, -3504
1589432714838, 348572, -496, 8512, -4624
1589432714869, 348602, -112, 9776, -5664
1589432714898, 348632, 496, 8864, -5072
1589432714928, 348662, 1920, 9312, -3008
1589432714959, 348692, 3120, 10928, -1664
1589432714987, 348722, 4192, 8400, -880
1589432715018, 348752, 4144, 7104, -112
1589432715048, 348782, 4720, 8960, 1632
1589432715079, 348812, 4800, 6864, 6144
1589432715108, 348842, 5136, 5856, 10064
1589432715138, 348872, 3328, 8576, 9568
1589432715169, 348902, 1104, 7616, 7728
1589432715198, 348932, 800, 5264, 8048
1589432715228, 348962, 320, 6352, 8000
1589432715259, 348992, -1008, 7344, 7392
1589432715288, 349022, -720, 6224, 6576
1589432715319, 349052, -848, 6064, 6512
1589432715349, 349082, -1328, 6976, 5472
1589432715379, 349112, -1968, 7344, 3824
1589432715409, 349142, -1760, 7040, 2816
1589432715439, 349172, -1344, 7456, 3120
1589432715469, 349202, -1296, 8128, 2944
1589432715498, 349232, -1344, 7936, 2080
1589432715529, 349262, -1248, 7328, 1504
1589432715559, 349292, -1120, 7552, 1680
