Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432814048, 447782, -1680, -1248, -1472
1589432814078, 447812, 3920, -4976, 12064
1589432814107, 447842, 6144, 5728, 20784
1589432814137, 447872, -4288, 16656, 11488
1589432814167, 447902, -10048, 14368, -320
1589432814199, 447932, -10608, 7504, -11392
1589432814228, 447962, -7104, -2480, -15760
1589432814258, 447992, -1200, -4176, -9280
1589432814288, 448022, 4256, -6640, 1120
1589432814318, 448052, 12720, -2592, 24320
1589432814349, 448082, 10560, 19616, 26928
1589432814377, 448112, -5376, 10336, 10736
1589432814407, 448142, -5488, 7696, -400
1589432814439, 448172, -8240, 6192, -8240
1589432814466, 448202, -7264, -1008, -14720
1589432814497, 448232, -3600, -528, -6000
1589432814528, 448262, -464, -4448, 336
1589432814556, 448292, 6704, 4512, 24480
1589432814588, 448322, -432, 15952, 22064
1589432814618, 448352, -5168, 4576, 8608
1589432814647, 448382, -4128, 736, -4880
1589432814677, 448412, -5056, -5280, -16800
1589432814708, 448442, -4368, -2528, -9728
1589432814738, 448472, -3120, -1584, -2384
1589432814768, 448502, 3248, -3840, 9648
1589432814798, 448532, 11056, 14240, 32560
1589432814827, 448562, -2016, 10432, 16656
1589432814857, 448592, -5360, 3120, 1008
1589432814887, 448622, -5888, -608, -16384
1589432814917, 448652, -8096, -1648, -16544
1589432814948, 448682, -5168, -608, -9472
1589432814978, 448712, -4368, 1408, -3824
1589432815008, 448742, 4000, 416, 12608
1589432815037, 448772, 12224, 10544, 32336
1589432815067, 448802, 2752, 4144, 18560
1589432815096, 448832, -720, 2672, 1648
1589432815128, 448862, -2624, 832, -14496
1589432815157, 448892, -5712, -4208, -18944
1589432815188, 448922, -7472, -1024, -15808
1589432815219, 448952, -8432, 3360, -8272
1589432815248, 448982, -3632, 4352, 944
1589432815278, 449012, 8160, 5840, 29552
1589432815309, 449042, 10624, 6128, 27328
1589432815338, 449072, 4512, 2816, 15408
1589432815368, 449102, -1072, 3904, 1680
1589432815397, 449132, -2800, -3264, -11696
1589432815428, 449162, -4368, -5024, -11520
1589432815457, 449192, -8352, -6000, -17184
1589432815487, 449222, -8336, -672, -8208
1589432815520, 449252, -2496, 1376, 1024
1589432815547, 449282, 6464, 7264, 24416
1589432815577, 449312, 8608, 6112, 25248
1589432815607, 449342, 2832, 1936, 12064
1589432815637, 449372, -192, -640, -496
1589432815668, 449402, -1216, -4752, -11584
1589432815698, 449432, -5296, -3552, -12336
1589432815728, 449462, -9408, -2928, -15200
1589432815756, 449492, -9872, 3136, -6864
1589432815788, 449522, -3872, 4912, 2080
1589432815817, 449552, 6560, 4112, 25680
1589432815846, 449582, 8992, 5552, 22640
1589432815877, 449612, 2336, 2160, 11344
1589432815907, 449642, -1456, 1696, 1280
1589432815938, 449672, -1504, -3392, -8896
1589432815968, 449702, -3520, -5536, -11936
1589432815998, 449732, -7792, -5312, -15088
1589432816028, 449762, -7872, 2768, -7888
1589432816059, 449792, -3760, 4928, 3184
1589432816086, 449822, 128, 11600, 25760
1589432816117, 449852, 2752, 3872, 19888
1589432816148, 449882, 304, 1984, 10048
1589432816178, 449912, -1184, 1904, -320
1589432816207, 449942, -1616, -4128, -11072
1589432816237, 449972, -6528, -4560, -14112
1589432816268, 450002, -7424, -2752, -11744
1589432816297, 450032, -6944, 1792, -2192
1589432816327, 450062, -5472, 6512, 4800
1589432816357, 450092, -2016, 5776, 12368
1589432816387, 450122, 32, 3184, 12432
