Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589432523011, 156752, 7904, 288, -1008
1589432523040, 156782, 8032, 240, -944
1589432523071, 156812, 8096, 160, -1088
1589432523101, 156842, 7984, 128, -1136
1589432523130, 156872, 7952, 32, -1104
1589432523161, 156902, 8048, 0, -1152
1589432523191, 156932, 8080, -64, -1168
1589432523222, 156962, 7952, -16, -1200
1589432523250, 156992, 8016, 32, -1232
1589432523281, 157022, 8064, -96, -1200
1589432523310, 157052, 8000, 0, -1056
1589432523341, 157082, 7936, -32, -1328
1589432523370, 157112, 7776, -256, -1472
1589432523402, 157142, 7712, -48, -1296
1589432523431, 157172, 7456, 608, -576
1589432523462, 157202, 7008, 1664, -48
1589432523490, 157232, 6432, 3840, 544
1589432523522, 157262, 5664, 6368, 2144
1589432523552, 157292, 5296, 8720, 4240
1589432523580, 157322, 5936, 11312, 5296
1589432523610, 157352, 7312, 12384, 5648
1589432523641, 157382, 10704, 11760, 7088
1589432523671, 157412, 14448, 10752, 8432
1589432523701, 157442, 17536, 12144, 7776
1589432523732, 157472, 20080, 13088, 5888
1589432523760, 157502, 21504, 12640, 4336
1589432523793, 157532, 21552, 11040, 4464
1589432523822, 157562, 20768, 9360, 5328
1589432523851, 157592, 19136, 9056, 5472
1589432523881, 157622, 16928, 8576, 5152
1589432523911, 157652, 14608, 7296, 4912
1589432523941, 157682, 12608, 5600, 4992
1589432523971, 157712, 10080, 4256, 4576
1589432524002, 157742, 7744, 3888, 3536
1589432524031, 157772, 5328, 3408, 2992
1589432524061, 157802, 3488, 2000, 2608
1589432524091, 157832, 2336, 976, 1440
1589432524122, 157862, 112, 368, -608
1589432524151, 157892, -1504, -208, -1312
1589432524181, 157922, -2416, -784, -800
1589432524211, 157952, -3552, -1088, -592
1589432524241, 157982, -3728, -2176, -1200
1589432524272, 158012, -4320, -2208, -1728
1589432524301, 158042, -4272, -2496, -1712
1589432524331, 158072, -4736, -2880, -2768
1589432524361, 158102, -5024, -3456, -4368
1589432524391, 158132, -5680, -3312, -5136
1589432524421, 158162, -6048, -3632, -5040
1589432524451, 158192, -6496, -3264, -6176
1589432524481, 158222, -7744, -3168, -7856
1589432524511, 158252, -7440, -3648, -6640
1589432524543, 158282, -6368, -3216, -5568
1589432524572, 158312, -6656, -2848, -5296
1589432524601, 158342, -6528, -2512, -5232
1589432524631, 158372, -6624, -1984, -4128
1589432524661, 158402, -6624, -1568, -3216
1589432524692, 158432, -7008, -1696, -2624
1589432524721, 158462, -6880, -1840, -2192
1589432524752, 158492, -6848, -1760, -1680
