Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662438678, 180827, -7552, -2736, 1824
1589662438709, 180857, -7616, -2624, 1744
1589662438739, 180887, -7696, -2672, 1712
1589662438768, 180917, -7680, -2768, 1584
1589662438798, 180947, -7664, -2752, 1616
1589662438828, 180977, -7680, -2880, 1568
1589662438859, 181007, -7488, -2928, 1536
1589662438888, 181037, -7680, -2800, 1584
1589662438919, 181067, -7712, -2688, 1568
1589662438949, 181097, -8144, -2416, 1472
1589662438978, 181127, -8688, -2144, 1696
1589662439008, 181157, -9408, -2384, 1712
1589662439038, 181187, -9456, -2976, 1440
1589662439068, 181217, -8976, -3936, 1552
1589662439099, 181247, -7888, -5664, 1616
1589662439128, 181277, -7424, -6576, 1824
1589662439159, 181307, -6784, -6928, 1088
1589662439188, 181337, -6080, -7456, 1120
1589662439218, 181367, -5584, -8240, 1296
1589662439249, 181397, -5168, -8560, 1216
1589662439279, 181427, -4832, -8736, 528
1589662439309, 181457, -4032, -9120, -32
1589662439339, 181487, -2976, -9712, 64
1589662439369, 181517, -2096, -9664, -176
1589662439399, 181547, -1088, -9664, -288
1589662439429, 181577, 160, -10416, 144
1589662439458, 181607, 1904, -11568, 544
1589662439489, 181637, 3488, -10080, 1568
1589662439519, 181667, 4832, -8064, 3264
1589662439549, 181697, 6624, -5952, 4864
1589662439579, 181727, 9760, -3264, 6304
1589662439609, 181757, 11408, 2576, 9872
1589662439638, 181787, 18608, 6640, 12592
1589662439669, 181817, 27120, 7664, 12944
1589662439699, 181847, 32640, 13104, 9072
1589662439729, 181877, 32640, 18800, 8912
1589662439759, 181907, 20992, 15936, 7632
1589662439789, 181937, 16160, 12128, 7904
1589662439819, 181967, 11984, 9280, 2032
1589662439849, 181997, 14528, 5328, -512
1589662439879, 182027, 15792, 2640, 768
1589662439908, 182057, 13920, 2848, 2896
1589662439939, 182087, 11552, 3968, 1136
1589662439969, 182117, 10880, 2864, 1312
1589662439998, 182147, 10160, -16, 2656
1589662440028, 182177, 9344, 144, 2160
1589662440058, 182207, 8672, 848, 1648
1589662440088, 182237, 8352, 80, 1952
1589662440118, 182267, 8208, -48, 2336
1589662440149, 182297, 8128, -96, 2560
1589662440178, 182327, 7712, 128, 2256
1589662440208, 182357, 7584, 480, 2144
1589662440238, 182387, 8416, -272, 3264
1589662440268, 182417, 8464, -16, 3248
1589662440298, 182447, 7408, 1216, 3360
1589662440329, 182477, 7120, 1632, 4240
1589662440359, 182507, 7600, 1168, 5184
1589662440389, 182537, 7472, 2384, 5056
1589662440418, 182567, 7488, 3104, 5488
1589662440449, 182597, 7376, 3056, 6400
1589662440479, 182627, 6880, 3216, 7328
1589662440509, 182657, 7280, 2880, 7792
1589662440538, 182687, 7200, 2896, 7264
