Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662822975, 565127, -7632, 352, 2944
1589662823004, 565157, -7728, 368, 2832
1589662823034, 565187, -7664, 336, 2784
1589662823065, 565217, -7600, 368, 2832
1589662823094, 565247, -7632, 352, 2864
1589662823124, 565277, -7584, 416, 2768
1589662823154, 565307, -7616, 400, 2912
1589662823184, 565337, -7664, 480, 2832
1589662823214, 565367, -7664, 480, 2880
1589662823244, 565397, -7728, 496, 2880
1589662823273, 565427, -7648, 304, 2832
1589662823304, 565457, -7600, 384, 2880
1589662823334, 565487, -7616, 544, 2768
1589662823363, 565517, -7392, 816, 2768
1589662823394, 565547, -7328, 1152, 2624
1589662823424, 565577, -7232, 1568, 2496
1589662823454, 565607, -6848, 3456, 3232
1589662823484, 565637, -7104, 6208, 3472
1589662823514, 565667, -7136, 7856, 2880
1589662823544, 565697, -6224, 8128, 2864
1589662823574, 565727, -5920, 8672, 3152
1589662823605, 565757, -6336, 9232, 3744
1589662823634, 565787, -6384, 8352, 4848
1589662823665, 565817, -5472, 6448, 6832
1589662823694, 565847, -4640, 4096, 7360
1589662823724, 565877, -2784, 1008, 8464
1589662823754, 565907, -1632, -2768, 12096
1589662823784, 565937, 448, -6912, 11792
1589662823814, 565967, 2528, -11472, 11888
1589662823844, 565997, 2752, -14896, 12432
1589662823875, 566027, 2640, -17856, 12576
1589662823905, 566057, 2528, -17408, 12240
1589662823934, 566087, 1200, -13584, 11264
1589662823965, 566117, -1584, -8816, 8880
1589662823995, 566147, -3296, -4864, 8000
1589662824024, 566177, -4400, -512, 6928
1589662824054, 566207, -5616, 5808, 5328
1589662824084, 566237, -8400, 9968, 3440
1589662824114, 566267, -9840, 10096, 2256
1589662824145, 566297, -7856, 8224, 752
1589662824174, 566327, -6032, 6528, -816
1589662824204, 566357, -4000, 4864, -2448
1589662824235, 566387, -1632, 3440, -2784
1589662824263, 566417, 240, 1920, -3328
1589662824294, 566447, 2480, 400, -4304
1589662824324, 566477, 4144, -896, -5168
1589662824354, 566507, 5696, -1248, -4400
1589662824384, 566537, 6960, -768, -1456
1589662824414, 566567, 7840, -160, 4912
1589662824444, 566597, 6464, -384, 14896
1589662824474, 566627, 3168, 336, 20848
1589662824504, 566657, 1584, 1040, 24160
1589662824534, 566687, 2080, 880, 25280
1589662824564, 566717, 736, 432, 24080
1589662824593, 566747, -160, 576, 19984
1589662824624, 566777, -320, 1200, 17040
1589662824655, 566807, -928, 1520, 14336
1589662824684, 566837, -848, 1264, 11584
1589662824714, 566867, 128, 736, 9728
1589662824744, 566897, 1680, 320, 9120
1589662824774, 566927, 2576, 128, 8848
1589662824804, 566957, 2880, 64, 8160
1589662824834, 566987, 2512, 192, 7632
1589662824864, 567017, 2240, 304, 7584
1589662824894, 567047, 1648, 384, 7472
1589662824924, 567077, 992, 384, 7504
1589662824953, 567107, 720, 320, 7280
1589662824985, 567137, 544, 448, 6784
