Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662355849, 97997, -5232, 16, 6224
1589662355880, 98027, -5280, 16, 6208
1589662355909, 98057, -5248, 64, 6144
1589662355939, 98087, -5152, 16, 6016
1589662355970, 98117, -5136, -96, 6144
1589662355999, 98147, -5168, -48, 6112
1589662356029, 98177, -5200, -48, 6336
1589662356060, 98207, -5280, -16, 6240
1589662356089, 98237, -5264, 112, 6096
1589662356119, 98267, -5312, 736, 5984
1589662356150, 98297, -5536, 2224, 6160
1589662356179, 98327, -5680, 3824, 6704
1589662356210, 98357, -5248, 4608, 7008
1589662356240, 98387, -4576, 5328, 7584
1589662356269, 98417, -3968, 5552, 8320
1589662356299, 98447, -3632, 5072, 8896
1589662356329, 98477, -3120, 3760, 8784
1589662356360, 98507, -2560, 1680, 9280
1589662356389, 98537, -2960, -608, 9728
1589662356420, 98567, -3296, -2784, 8912
1589662356450, 98597, -3792, -3504, 8624
1589662356479, 98627, -3424, -5056, 7696
1589662356509, 98657, -3552, -6064, 7184
1589662356540, 98687, -3616, -6256, 6464
1589662356569, 98717, -3632, -5904, 5680
1589662356604, 98747, -3824, -5216, 5328
1589662356629, 98777, -4096, -4624, 4896
1589662356659, 98807, -4368, -3888, 4464
1589662356690, 98837, -4464, -3584, 3936
1589662356719, 98867, -4288, -3744, 3712
1589662356750, 98897, -4176, -4080, 3280
1589662356779, 98927, -3936, -5072, 3136
1589662356810, 98957, -3104, -6512, 2416
1589662356839, 98987, -1440, -7136, 2480
1589662356869, 99017, -752, -7536, 3248
1589662356900, 99047, -2576, -6256, 4080
1589662356929, 99077, -3904, -5376, 3248
1589662356960, 99107, -3952, -5440, 2528
1589662356989, 99137, -3984, -6544, 2176
1589662357019, 99167, -3104, -9104, 3376
1589662357050, 99197, -2144, -11744, 4240
1589662357080, 99227, -48, -14256, 7056
1589662357110, 99257, 1680, -17456, 11216
1589662357139, 99287, 4304, -15824, 15600
1589662357170, 99317, 4496, -10976, 17936
1589662357199, 99347, 6432, -7632, 19024
1589662357230, 99377, 8656, -1664, 21312
1589662357260, 99407, 8528, 3776, 20720
1589662357290, 99437, 7744, 8112, 18944
1589662357320, 99467, 6640, 11312, 16800
1589662357349, 99497, 4832, 14160, 13984
1589662357379, 99527, 3328, 13360, 10960
1589662357410, 99557, 2912, 12192, 7856
1589662357439, 99587, 2448, 11216, 5712
1589662357469, 99617, 2688, 10880, 2096
1589662357499, 99647, 3232, 9568, -2048
1589662357529, 99677, 2384, 8016, -3296
1589662357559, 99707, 1904, 6432, -4880
1589662357589, 99737, 1104, 5744, -5504
1589662357619, 99767, 0, 5296, -5904
1589662357650, 99797, -864, 4560, -5968
1589662357680, 99827, -1632, 4176, -5568
1589662357710, 99857, -2416, 4416, -4928
1589662357739, 99887, -2928, 4368, -4672
1589662357769, 99917, -3280, 4272, -3936
1589662357800, 99947, -3408, 4432, -3040
1589662357830, 99977, -3440, 4320, -2224
1589662357860, 100007, -3392, 4176, -1824
1589662357890, 100037, -3680, 3744, -1664
1589662357920, 100067, -3680, 3472, -528
1589662357950, 100097, -3936, 3296, 128
1589662357979, 100127, -4272, 3136, 160
1589662358009, 100157, -4656, 2624, 992
