Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662623656, 365807, -928, -2704, 7456
1589662623688, 365837, -928, -2784, 7536
1589662623716, 365867, -880, -2752, 7536
1589662623746, 365897, -848, -2752, 7552
1589662623776, 365927, -976, -2736, 7632
1589662623806, 365957, -992, -2816, 7536
1589662623837, 365987, -992, -2800, 7504
1589662623867, 366017, -992, -2800, 7440
1589662623896, 366047, -1008, -2880, 7552
1589662623927, 366077, -1056, -2752, 7408
1589662623957, 366107, -1088, -2688, 7520
1589662623986, 366137, -1264, -2384, 7728
1589662624017, 366167, -1968, -1984, 8240
1589662624046, 366197, -2688, -1696, 8656
1589662624077, 366227, -2832, -1968, 8928
1589662624106, 366257, -2704, -2640, 9632
1589662624137, 366287, -2688, -3296, 10272
1589662624167, 366317, -2576, -4080, 10256
1589662624197, 366347, -2544, -4928, 9984
1589662624226, 366377, -2416, -5520, 9984
1589662624257, 366407, -2608, -6032, 10000
1589662624286, 366437, -2128, -6352, 9248
1589662624317, 366467, -1376, -6736, 8448
1589662624347, 366497, -1120, -7024, 7936
1589662624376, 366527, -864, -7216, 7088
1589662624406, 366557, -560, -7552, 6352
1589662624436, 366587, -96, -7920, 5888
1589662624467, 366617, 624, -7840, 5264
1589662624497, 366647, 752, -7648, 4704
1589662624526, 366677, 576, -7248, 3600
1589662624557, 366707, 640, -7072, 3184
1589662624586, 366737, 832, -6720, 2416
1589662624617, 366767, 512, -6288, 1808
1589662624646, 366797, 464, -5968, 1952
1589662624677, 366827, 288, -5216, 1776
1589662624707, 366857, -144, -4624, 1776
1589662624736, 366887, -176, -4112, 1488
1589662624766, 366917, -480, -3264, 1312
1589662624796, 366947, -704, -2352, 1744
1589662624827, 366977, -1008, -1232, 1616
1589662624857, 367007, -1600, -176, 1840
1589662624887, 367037, -1616, 896, 1536
1589662624917, 367067, -1632, 1616, 1568
1589662624946, 367097, -1888, 2944, 2368
1589662624977, 367127, -2496, 4080, 2592
1589662625006, 367157, -2208, 5008, 2944
1589662625036, 367187, -2128, 5536, 3072
1589662625067, 367217, -1904, 6192, 4064
1589662625097, 367247, -2160, 6944, 4608
1589662625127, 367277, -2000, 7520, 4688
1589662625157, 367307, -1136, 7504, 6304
1589662625186, 367337, -704, 7184, 7040
1589662625217, 367367, -688, 7440, 6736
1589662625247, 367397, -656, 7856, 8400
1589662625276, 367427, -368, 7376, 9600
1589662625306, 367457, -16, 6528, 10400
1589662625336, 367487, 144, 6048, 10560
1589662625366, 367517, 672, 5888, 12208
1589662625397, 367547, 1152, 4880, 13104
1589662625426, 367577, 752, 4208, 11712
1589662625456, 367607, 1232, 3760, 10912
1589662625486, 367637, 1248, 3040, 11024
1589662625516, 367667, 1168, 2288, 11728
1589662625546, 367697, 832, 2032, 11296
1589662625577, 367727, 240, 2192, 10288
1589662625607, 367757, -64, 2224, 9440
1589662625636, 367787, -944, 1904, 8912
1589662625666, 367817, -944, 1328, 8832
1589662625696, 367847, -1680, 896, 8496
1589662625727, 367877, -2208, 992, 8176
1589662625757, 367907, -2288, 1296, 7904
1589662625786, 367937, -2704, 1216, 8048
1589662625817, 367967, -3632, 1248, 8208
1589662625847, 367997, -3600, 560, 8432
1589662625877, 368027, -2384, -288, 8352
1589662625906, 368057, -2848, -752, 8032
1589662625936, 368087, -3552, -976, 7328
1589662625967, 368117, -2592, -1088, 7088
1589662625996, 368147, -1344, -1440, 7008
