Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662756794, 498947, 0, -2208, 7696
1589662756824, 498977, 0, -2160, 7824
1589662756855, 499007, 0, -2144, 7872
1589662756885, 499037, 32, -2016, 7888
1589662756914, 499067, 128, -2016, 7936
1589662756945, 499097, 144, -2000, 7952
1589662756975, 499127, 176, -2000, 7968
1589662757005, 499157, 192, -1840, 7792
1589662757036, 499187, 144, -1696, 7616
1589662757064, 499217, 16, -1728, 7376
1589662757095, 499247, 0, -1872, 7376
1589662757125, 499277, -128, -1760, 8960
1589662757155, 499307, -1376, -1680, 13600
1589662757185, 499337, -3456, -2160, 19056
1589662757216, 499367, -1904, -6176, 24304
1589662757245, 499397, 5600, -9376, 28176
1589662757275, 499427, 9392, -7600, 24800
1589662757305, 499457, 9840, -2000, 14848
1589662757334, 499487, 12400, 1712, 5120
1589662757365, 499517, 14176, 4432, -5040
1589662757394, 499547, 16496, 2992, -19712
1589662757425, 499577, 17936, 1920, -25392
1589662757455, 499607, 18576, 2384, -19008
1589662757485, 499637, 17360, 4144, -3680
1589662757515, 499667, 15344, 2704, 10288
1589662757545, 499697, 11792, -1904, 22672
1589662757575, 499727, 11680, -3184, 31232
1589662757605, 499757, 8816, -8416, 32640
1589662757635, 499787, 3088, -6496, 32640
1589662757665, 499817, -848, -2704, 32640
1589662757696, 499847, 4064, -1392, 30992
1589662757725, 499877, 10208, 1264, 19616
1589662757755, 499907, 15232, 4816, 6528
1589662757785, 499937, 20048, 4656, -9760
1589662757814, 499967, 22560, -512, -23264
1589662757844, 499997, 24976, -2496, -28224
1589662757874, 500027, 18928, 1280, -13808
1589662757905, 500057, 12896, 3904, 320
1589662757936, 500087, 9728, 1408, 19920
1589662757965, 500117, 2304, -800, 32560
1589662757995, 500147, -2032, -4192, 32640
1589662758026, 500177, -4320, -3616, 32640
1589662758055, 500207, -4784, -912, 32640
1589662758085, 500237, 1488, 1232, 24288
1589662758115, 500267, 9664, 3840, 10752
1589662758145, 500297, 15472, 4192, -3696
1589662758174, 500327, 21072, -1168, -19744
1589662758205, 500357, 23792, -2080, -29168
1589662758235, 500387, 18288, 1360, -19152
1589662758265, 500417, 13312, 5728, -4256
1589662758295, 500447, 11088, 4816, 11440
1589662758325, 500477, 6528, 2352, 30976
1589662758355, 500507, 192, -2160, 32640
1589662758384, 500537, 0, -4752, 32640
1589662758416, 500567, -3424, -2480, 32640
1589662758445, 500597, -1408, 96, 32160
1589662758475, 500627, 5872, 880, 21504
1589662758505, 500657, 12704, 3664, 7664
1589662758534, 500687, 15616, 3504, -4240
1589662758565, 500717, 18864, 160, -17488
1589662758596, 500747, 20176, -1552, -26688
1589662758624, 500777, 16528, 384, -19472
1589662758655, 500807, 12352, 4048, -5088
1589662758686, 500837, 9376, 3392, 8000
1589662758715, 500867, 9376, 864, 21680
1589662758746, 500897, 4624, -1280, 30624
1589662758776, 500927, 256, -1088, 32640
1589662758805, 500957, -1664, -1520, 31584
1589662758835, 500987, -2368, -1008, 23536
1589662758865, 501017, -2512, 896, 13568
1589662758895, 501047, -576, 1728, 8720
1589662758925, 501077, 128, 608, 5584
1589662758954, 501107, 1648, -784, 3920
