Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589662404809, 146957, -3552, -288, 7296
1589662404839, 146987, -3520, -352, 7344
1589662404869, 147017, -3584, -272, 7360
1589662404900, 147047, -3584, -336, 7328
1589662404930, 147077, -3600, -160, 7280
1589662404958, 147107, -3696, -224, 7360
1589662404988, 147137, -3616, -320, 7360
1589662405019, 147167, -3696, -240, 7424
1589662405049, 147197, -3728, -288, 7408
1589662405080, 147227, -3696, -192, 7280
1589662405109, 147257, -3648, -160, 6992
1589662405139, 147287, -3488, 80, 6608
1589662405168, 147317, -3360, 288, 6224
1589662405199, 147347, -3248, 336, 5920
1589662405228, 147377, -2768, 336, 5040
1589662405259, 147407, -2016, 432, 4064
1589662405288, 147437, -816, 352, 3504
1589662405319, 147467, -48, 352, 3888
1589662405349, 147497, 608, 368, 4304
1589662405379, 147527, 864, 400, 4272
1589662405408, 147557, 1936, -32, 4256
1589662405439, 147587, 3216, -640, 3968
1589662405469, 147617, 4208, -864, 4560
1589662405500, 147647, 4864, -1376, 5760
1589662405528, 147677, 6416, -2544, 7008
1589662405559, 147707, 8416, -3904, 8656
1589662405594, 147737, 9728, -4512, 10496
1589662405619, 147767, 10192, -4512, 11712
1589662405649, 147797, 8960, -4752, 10000
1589662405679, 147827, 10016, -4608, 7616
1589662405708, 147857, 10352, -3632, 6576
1589662405739, 147887, 9552, -2960, 6256
1589662405770, 147917, 9568, -1760, 5088
1589662405798, 147947, 9104, -688, 4320
1589662405828, 147977, 8688, 64, 4320
1589662405858, 148007, 8064, 256, 4208
1589662405889, 148037, 8144, 832, 3088
1589662405919, 148067, 7872, 1280, 3248
1589662405949, 148097, 7104, 1312, 3392
1589662405979, 148127, 6816, 1232, 3408
1589662406009, 148157, 6224, 1360, 2864
1589662406039, 148187, 5840, 928, 2864
1589662406069, 148217, 5264, 512, 2832
1589662406099, 148247, 4832, 368, 3264
1589662406129, 148277, 4784, -112, 4176
1589662406159, 148307, 4896, -2176, 4096
1589662406189, 148337, 5648, -5088, 4560
1589662406218, 148367, 6896, -8032, 7248
1589662406249, 148397, 8832, -8352, 8960
1589662406278, 148427, 12032, -7632, 10128
1589662406309, 148457, 18592, -4624, 10608
1589662406340, 148487, 23856, -1696, 10704
1589662406368, 148517, 25440, 2304, 9616
1589662406399, 148547, 24304, 4128, 7440
1589662406429, 148577, 23088, 5024, 3952
1589662406459, 148607, 20592, 6464, -208
1589662406489, 148637, 15232, 5824, 1376
1589662406520, 148667, 10912, 4048, 2304
1589662406549, 148697, 8656, 1792, 3520
1589662406579, 148727, 6720, 816, 4800
1589662406609, 148757, 4368, 0, 5472
1589662406638, 148787, 3776, -1072, 5216
1589662406669, 148817, 3600, -1728, 5280
1589662406699, 148847, 3360, -2320, 6032
1589662406729, 148877, 3456, -2704, 6800
1589662406758, 148907, 3632, -2960, 7392
1589662406789, 148937, 4128, -3152, 7328
1589662406819, 148967, 4544, -3248, 7056
1589662406849, 148997, 4944, -3120, 6848
1589662406879, 149027, 4784, -2976, 7136
