Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663238653, 350153, 2384, 992, 7392
1589663238668, 350165, 2368, 944, 7136
1589663238677, 350176, 2416, 864, 7264
1589663238693, 350188, 2464, 848, 7168
1589663238701, 350201, 2432, 752, 7232
1589663238716, 350212, 2352, 720, 7232
1589663238725, 350225, 2416, 800, 7280
1589663238740, 350236, 2544, 704, 7392
1589663238749, 350249, 2496, 640, 7488
1589663238764, 350261, 2576, 496, 7328
1589663238808, 350273, 2608, 400, 7248
1589663238811, 350284, 2672, 352, 7168
1589663238813, 350296, 2736, 304, 7200
1589663238815, 350308, 2736, 384, 7216
1589663238822, 350321, 2688, 368, 7312
1589663238836, 350332, 2720, 464, 7360
1589663238845, 350345, 2736, 368, 7408
1589663238861, 350356, 2640, 416, 7360
1589663238869, 350368, 2592, 464, 7120
1589663238885, 350381, 2608, 432, 7184
1589663238914, 350393, 2624, 336, 7280
1589663238934, 350405, 2656, 304, 7248
1589663238936, 350416, 2576, 240, 7312
1589663238939, 350428, 2624, 304, 7296
1589663238943, 350442, 2560, 400, 7376
1589663238958, 350453, 2544, 416, 7456
1589663238966, 350466, 2512, 528, 7488
1589663238982, 350477, 2400, 496, 7536
1589663238990, 350490, 2384, 624, 7600
1589663239005, 350501, 2416, 608, 7616
1589663239014, 350513, 2304, 608, 7456
1589663239029, 350526, 2160, 704, 7536
1589663239038, 350537, 2288, 736, 7552
1589663239052, 350550, 2336, 800, 7520
1589663239061, 350561, 2240, 816, 7536
1589663239077, 350573, 2240, 864, 7488
1589663239087, 350586, 2320, 944, 7584
1589663239101, 350597, 2256, 848, 7568
1589663239110, 350610, 2336, 816, 7696
1589663239125, 350621, 2224, 736, 7712
1589663239134, 350633, 2160, 768, 7600
1589663239149, 350646, 2160, 832, 7648
1589663239157, 350657, 2208, 864, 7600
1589663239173, 350670, 2288, 768, 7664
1589663239181, 350681, 2224, 816, 7552
1589663239197, 350693, 2240, 800, 7520
1589663239206, 350706, 2272, 784, 7568
1589663239221, 350717, 2320, 784, 7552
1589663239230, 350730, 2272, 720, 7552
1589663239245, 350741, 2288, 688, 7488
1589663239254, 350754, 2352, 624, 7360
1589663239296, 350766, 2352, 592, 7488
1589663239299, 350777, 2384, 528, 7488
1589663239301, 350790, 2352, 560, 7456
1589663239304, 350802, 2352, 528, 7408
1589663239314, 350814, 2304, 512, 7376
1589663239327, 350826, 2432, 480, 7344
1589663239342, 350837, 2368, 480, 7120
1589663239351, 350850, 2384, 416, 7376
1589663239366, 350861, 2400, 480, 7376
1589663239374, 350873, 2384, 528, 7520
1589663239389, 350886, 2368, 560, 7360
1589663239397, 350897, 2416, 608, 7328
1589663239412, 350910, 2288, 560, 7376
1589663239452, 350921, 2352, 576, 7344
1589663239454, 350933, 2320, 576, 7408
1589663239456, 350946, 2288, 560, 7536
1589663239459, 350958, 2288, 544, 7584
1589663239471, 350970, 2272, 528, 7536
1589663239481, 350981, 2384, 608, 7376
1589663239494, 350993, 2352, 624, 7392
1589663239509, 351006, 2400, 624, 7360
1589663239518, 351017, 2400, 704, 7392
1589663239533, 351030, 2416, 656, 7408
1589663239541, 351042, 2432, 688, 7456
1589663239556, 351054, 2352, 640, 7376
1589663239567, 351066, 2432, 656, 7344
1589663239581, 351077, 2416, 704, 7408
1589663239590, 351090, 2400, 720, 7408
1589663239606, 351101, 2416, 720, 7536
1589663239614, 351113, 2384, 640, 7392
1589663239664, 351126, 2416, 592, 7424
1589663239667, 351137, 2416, 592, 7392
1589663239669, 351150, 2368, 752, 7456
1589663239672, 351161, 2352, 608, 7520
1589663239687, 351173, 2400, 560, 7392
1589663239689, 351185, 2384, 560, 7424
1589663239705, 351197, 2256, 720, 7520
1589663239710, 351210, 2320, 720, 7456
1589663239725, 351221, 2384, 832, 7344
1589663239734, 351234, 2320, 992, 7072
1589663239749, 351246, 2608, 896, 6640
1589663239758, 351258, 2576, 976, 6688
