Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663028973, 140473, 6816, -2064, 3440
1589663028988, 140485, 6848, -2048, 3520
1589663028996, 140497, 6848, -2080, 3424
1589663029012, 140509, 6928, -2064, 3504
1589663029020, 140521, 6832, -2000, 3536
1589663029035, 140533, 6912, -1920, 3584
1589663029069, 140545, 6832, -2032, 3376
1589663029100, 140557, 6880, -2032, 3280
1589663029103, 140569, 6832, -2000, 3328
1589663029105, 140581, 6848, -1936, 3344
1589663029108, 140593, 6896, -1840, 3392
1589663029110, 140605, 6816, -1872, 3408
1589663029118, 140617, 6800, -1824, 3568
1589663029132, 140629, 6896, -1840, 3472
1589663029142, 140641, 6816, -1776, 3456
1589663029157, 140653, 6784, -1744, 3504
1589663029165, 140665, 6800, -1808, 3536
1589663029180, 140677, 6800, -1808, 3600
1589663029189, 140689, 6752, -1856, 3520
1589663029204, 140701, 6768, -1856, 3664
1589663029213, 140713, 6704, -1792, 3456
1589663029228, 140725, 6768, -1840, 3328
1589663029237, 140737, 6688, -1808, 3232
1589663029252, 140749, 6704, -1792, 3264
1589663029262, 140761, 6688, -1808, 3312
1589663029276, 140773, 6656, -1856, 3280
1589663029285, 140785, 6656, -1744, 3248
1589663029300, 140797, 6656, -1744, 3328
1589663029318, 140809, 6608, -1792, 3296
1589663029321, 140821, 6624, -1872, 3392
1589663029333, 140833, 6592, -1872, 3120
1589663029349, 140845, 6640, -1824, 3120
1589663029358, 140857, 6672, -1696, 3040
1589663029374, 140869, 6736, -1584, 2992
1589663029381, 140881, 7056, -1552, 2800
1589663029396, 140893, 7344, -1248, 2576
1589663029405, 140905, 7696, -1408, 1888
1589663029455, 140917, 7792, -1424, 2272
1589663029458, 140929, 8224, -1536, 2832
1589663029460, 140941, 8672, -1472, 3024
1589663029464, 140953, 9216, -752, 3072
1589663029466, 140965, 9936, 896, 3824
1589663029476, 140977, 10720, 752, 3280
1589663029491, 140989, 11936, -1472, 1536
1589663029529, 141001, 12160, -2608, 1824
1589663029546, 141013, 12672, -1856, 3168
1589663029549, 141025, 12720, -1504, 4096
1589663029551, 141037, 12736, -1200, 4752
1589663029554, 141049, 13248, -336, 6000
1589663029561, 141061, 13008, 1024, 7760
1589663029573, 141073, 12544, 1968, 9040
1589663029588, 141085, 11904, 2720, 10656
1589663029596, 141097, 11152, 3232, 11520
1589663029614, 141109, 10368, 3744, 12464
1589663029622, 141121, 10176, 4224, 13360
1589663029636, 141133, 8160, 4176, 14016
1589663029645, 141145, 7360, 3984, 13792
1589663029660, 141157, 6784, 3184, 12704
1589663029670, 141169, 6480, 2304, 11440
1589663029681, 141181, 6064, 1680, 10448
1589663029693, 141193, 5584, 1200, 10192
1589663029708, 141205, 5408, 704, 10176
1589663029717, 141217, 3600, 480, 10080
1589663029734, 141229, 2640, 272, 9744
1589663029744, 141241, 2416, 176, 9216
1589663029754, 141253, 352, -128, 8640
1589663029765, 141265, -720, -544, 8176
1589663029819, 141277, -1504, -832, 7472
1589663029823, 141289, -2368, -992, 6768
1589663029825, 141301, -3136, -1200, 6192
1589663029828, 141313, -3600, -1232, 5600
1589663029830, 141325, -3664, -912, 5008
1589663029836, 141337, -4096, -720, 4784
1589663029852, 141349, -4400, -1232, 4560
1589663029862, 141361, -4464, -1440, 4400
1589663029876, 141373, -4448, -1488, 4496
1589663029885, 141385, -4640, -1472, 4752
1589663029900, 141397, -4736, -1424, 5152
1589663029910, 141409, -4928, -2032, 5392
1589663029920, 141421, -4864, -2224, 4800
1589663029934, 141433, -4784, -1664, 5072
1589663029949, 141445, -4800, -1104, 5632
1589663029956, 141457, -3824, -608, 7616
1589663029971, 141469, -3280, -2336, 9968
1589663029981, 141481, -3392, -5216, 11600
1589663029996, 141493, -3216, -10064, 12368
1589663030005, 141505, -3120, -15568, 12304
1589663030020, 141517, -3088, -19344, 12496
1589663030029, 141529, -2864, -22128, 11808
1589663030044, 141541, -1648, -24208, 9536
1589663030052, 141553, -528, -25296, 7760
1589663030067, 141565, -160, -25248, 7872
1589663030077, 141577, -1072, -24832, 9552
1589663030091, 141589, -2992, -24560, 11744
1589663030101, 141601, -4496, -25232, 11344
1589663030116, 141613, -4896, -26064, 7536
1589663030125, 141625, -6608, -26048, 2000
1589663030165, 141637, -5760, -24576, -4112
1589663030205, 141649, -5776, -22704, -7104
1589663030211, 141661, -5152, -20400, -8848
1589663030213, 141673, -5312, -17088, -9280
1589663030216, 141685, -4320, -15200, -15232
1589663030219, 141697, -5568, -11536, -13232
1589663030221, 141709, -7232, -8416, -8256
1589663030224, 141721, -7920, -6496, -5328
1589663030233, 141733, -8032, -4384, -3904
1589663030247, 141745, -8688, -3296, -3808
