Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663162836, 274321, 6400, -1712, 3872
1589663162871, 274333, 6400, -1744, 4000
1589663162874, 274345, 6384, -1680, 3888
1589663162876, 274357, 6384, -1696, 3952
1589663162879, 274369, 6400, -1744, 3888
1589663162880, 274381, 6416, -1840, 3920
1589663162896, 274393, 6448, -1824, 3936
1589663162905, 274405, 6480, -1840, 3920
1589663162920, 274417, 6464, -1760, 3888
1589663162929, 274429, 6480, -1680, 3904
1589663162943, 274441, 6416, -1712, 4016
1589663162953, 274453, 6432, -1696, 3904
1589663162967, 274465, 6416, -1808, 4128
1589663162978, 274477, 6464, -1696, 4080
1589663162993, 274489, 6496, -1648, 4144
1589663163001, 274501, 6560, -1616, 4096
1589663163016, 274513, 6640, -1584, 4064
1589663163025, 274525, 6544, -1520, 3952
1589663163039, 274537, 6592, -1456, 4128
1589663163048, 274549, 6752, -1536, 4000
1589663163064, 274561, 6544, -1600, 3968
1589663163073, 274573, 6560, -1648, 4096
1589663163087, 274585, 6576, -1600, 4032
1589663163097, 274597, 6576, -1616, 4016
1589663163112, 274609, 6560, -1744, 4016
1589663163131, 274621, 6592, -1776, 3920
1589663163138, 274633, 6512, -1776, 3920
1589663163146, 274645, 6624, -1904, 3856
1589663163160, 274657, 6736, -1968, 3776
1589663163176, 274669, 6784, -2192, 3712
1589663163207, 274681, 7328, -2496, 3792
1589663163237, 274693, 7808, -2704, 3968
1589663163240, 274705, 8320, -3008, 4144
1589663163244, 274717, 9184, -3696, 4656
1589663163246, 274729, 9760, -4704, 4976
1589663163249, 274741, 10016, -5648, 5120
1589663163290, 274753, 10096, -6272, 5152
1589663163305, 274765, 10304, -6464, 5680
1589663163321, 274777, 10304, -6480, 6368
1589663163336, 274789, 10032, -6864, 6672
1589663163339, 274801, 9632, -6896, 6928
1589663163341, 274813, 9008, -6464, 6880
1589663163343, 274825, 8512, -6288, 6496
1589663163345, 274837, 8288, -5888, 5888
1589663163350, 274849, 6928, -5472, 5216
1589663163366, 274861, 6272, -5008, 4576
1589663163374, 274873, 6192, -4528, 3936
1589663163388, 274885, 4448, -3856, 2960
1589663163397, 274897, 3824, -3104, 1840
1589663163412, 274909, 3312, -2736, 704
1589663163421, 274921, 2752, -2288, -176
1589663163438, 274933, 2336, -1888, -608
1589663163451, 274945, 2160, -1520, -1168
1589663163471, 274957, 2032, -1104, -1296
1589663163474, 274969, 1568, -720, -1200
1589663163482, 274981, 1280, -752, -1472
1589663163495, 274993, 1136, -864, -1520
1589663163513, 275005, 1104, -800, -1728
1589663163526, 275017, 1056, -592, -1824
1589663163535, 275029, 1008, -336, -1904
1589663163548, 275041, 928, -176, -1872
1589663163575, 275053, 800, -192, -1616
1589663163596, 275065, 976, -624, -1344
1589663163600, 275077, 1072, -992, -1104
1589663163603, 275089, 1376, -1088, -112
1589663163605, 275101, 1680, -864, 1200
1589663163612, 275113, 1968, -688, 1856
1589663163628, 275125, 1968, -560, 2672
1589663163637, 275137, 1968, -592, 4128
