Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663050530, 162027, 6560, -1984, 3184
1589663050539, 162039, 6496, -1936, 3040
1589663050554, 162051, 6608, -2080, 2816
1589663050563, 162063, 6592, -2080, 2848
1589663050577, 162075, 6592, -2032, 2816
1589663050586, 162087, 6560, -2064, 2768
1589663050602, 162099, 6592, -2160, 2800
1589663050610, 162111, 6640, -2304, 2512
1589663050646, 162123, 6688, -2320, 2304
1589663050649, 162135, 6784, -2352, 2448
1589663050651, 162147, 6880, -2304, 2352
1589663050659, 162159, 7104, -2528, 2416
1589663050674, 162171, 7264, -2784, 2256
1589663050682, 162183, 7568, -3120, 2096
1589663050698, 162195, 7888, -3408, 1888
1589663050707, 162207, 8144, -3520, 1856
1589663050722, 162219, 8208, -3776, 1952
1589663050769, 162231, 8096, -4320, 1952
1589663050771, 162243, 8464, -4576, 1664
1589663050777, 162255, 8400, -4944, 1632
1589663050780, 162267, 8816, -4976, 1936
1589663050782, 162279, 8688, -5616, 2416
1589663050795, 162291, 8480, -6528, 2864
1589663050804, 162303, 8448, -6864, 3888
1589663050819, 162315, 8368, -7216, 4400
1589663050827, 162327, 8336, -7584, 4384
1589663050842, 162339, 8016, -7392, 3824
1589663050850, 162351, 8000, -8736, 2192
1589663050865, 162363, 7936, -10304, 1856
1589663050875, 162375, 7392, -11152, 1184
1589663050890, 162387, 7808, -10256, 704
1589663050899, 162399, 6896, -9376, 592
1589663050913, 162411, 6432, -9120, 32
1589663050922, 162423, 6096, -9008, -304
1589663050937, 162435, 5984, -8320, 400
1589663050946, 162447, 4848, -7968, 1200
1589663050961, 162459, 4480, -7536, 2400
1589663050970, 162471, 4128, -7232, 2688
1589663050985, 162483, 3728, -7232, 2512
1589663050995, 162495, 3520, -7248, 1760
1589663051010, 162507, 3424, -6928, 704
1589663051019, 162519, 3376, -6480, -384
1589663051034, 162531, 3344, -6208, -1184
1589663051043, 162543, 3184, -6080, -1616
1589663051058, 162555, 3072, -5888, -1616
1589663051067, 162567, 2272, -5456, -1504
1589663051081, 162579, 1600, -5184, -1168
1589663051090, 162591, 1136, -4912, -1184
1589663051137, 162603, 576, -4880, -1152
1589663051141, 162615, 128, -4624, -1120
1589663051143, 162627, -64, -4464, -816
1589663051146, 162639, -80, -4592, -816
1589663051152, 162651, -256, -5152, -1104
1589663051164, 162663, -96, -5296, -1664
1589663051179, 162675, -64, -5264, -1728
1589663051186, 162687, -128, -5184, -1024
1589663051201, 162699, -224, -5744, -320
1589663051210, 162711, -416, -6656, 336
1589663051228, 162723, -464, -8048, 1152
1589663051235, 162735, -368, -9360, 2288
1589663051250, 162747, -240, -10048, 3264
1589663051259, 162759, -240, -10000, 3360
1589663051286, 162771, -32, -10208, 2976
1589663051289, 162783, -704, -10480, 2512
1589663051295, 162795, -1136, -10624, 3024
1589663051306, 162807, -1808, -10768, 3888
1589663051321, 162819, -2624, -11056, 4864
1589663051330, 162831, -3120, -11008, 5600
1589663051345, 162843, -3200, -10688, 6768
1589663051355, 162855, -4448, -10272, 8032
1589663051368, 162867, -4912, -10240, 8480
1589663051383, 162879, -5392, -10160, 8176
1589663051391, 162891, -5456, -9888, 7632
1589663051404, 162903, -5744, -9648, 6800
1589663051419, 162915, -5712, -9312, 6672
1589663051428, 162927, -5888, -9136, 6960
1589663051443, 162939, -6992, -9856, 6960
1589663051452, 162951, -7968, -10944, 6016
1589663051532, 162963, -8240, -11712, 5248
1589663051534, 162975, -11152, -10832, 6368
1589663051550, 162987, -13152, -10048, 8016
1589663051565, 162999, -15008, -9392, 9712
1589663051567, 163011, -16880, -7888, 12128
1589663051570, 163023, -18736, -5520, 14272
1589663051572, 163035, -19232, -3648, 15264
1589663051576, 163047, -19424, -2176, 15728
1589663051577, 163059, -19536, -1248, 16016
1589663051580, 163071, -18736, -1248, 15984
1589663051584, 163083, -17360, -1712, 16416
1589663051596, 163095, -16432, -3456, 16864
1589663051610, 163107, -15568, -5360, 17760
1589663051619, 163119, -15264, -6112, 19200
1589663051659, 163131, -15232, -6896, 20624
1589663051661, 163143, -14288, -8384, 21248
1589663051664, 163155, -14000, -9392, 20480
1589663051667, 163167, -13920, -8880, 19328
1589663051692, 163180, -12768, -8176, 17760
1589663051695, 163192, -13792, -8912, 16784
1589663051705, 163204, -15536, -10464, 16512
1589663051716, 163216, -16784, -12032, 16624
1589663051730, 163228, -16976, -13744, 16944
1589663051742, 163240, -19136, -14560, 17008
1589663051766, 163252, -19728, -16000, 16432
1589663051781, 163264, -19968, -17312, 14912
1589663051798, 163276, -22032, -19152, 12256
1589663051812, 163288, -23280, -20800, 8016
1589663051815, 163300, -23152, -21184, 4864
1589663051817, 163312, -24080, -22272, 1536
1589663051825, 163324, -24128, -24928, -768
1589663051855, 163336, -22880, -26064, -2448
1589663051876, 163348, -22400, -25344, -4128
1589663051877, 163360, -18448, -23584, -6624
1589663051880, 163372, -16416, -22576, -9840
1589663051886, 163384, -14320, -23600, -12416
