Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663189873, 301369, 3408, -1536, 6800
1589663189882, 301381, 3424, -1600, 6928
1589663189897, 301393, 3440, -1568, 6944
1589663189914, 301405, 3472, -1472, 6992
1589663189929, 301417, 3440, -1536, 6944
1589663189931, 301429, 3360, -1632, 6976
1589663189947, 301441, 3408, -1632, 6928
1589663189957, 301453, 3424, -1664, 6928
1589663189967, 301465, 3392, -1648, 6928
1589663189979, 301477, 3504, -1648, 6944
1589663189989, 301489, 3424, -1568, 7104
1589663190001, 301501, 3440, -1600, 6832
1589663190030, 301513, 3520, -1568, 6880
1589663190065, 301525, 3456, -1488, 6912
1589663190071, 301537, 3456, -1536, 6928
1589663190074, 301549, 3344, -1600, 6928
1589663190076, 301561, 3408, -1536, 6928
1589663190078, 301573, 3472, -1520, 7008
1589663190085, 301585, 3504, -1552, 6960
1589663190098, 301597, 3392, -1584, 7056
1589663190113, 301609, 3488, -1568, 6848
1589663190121, 301621, 3488, -1520, 6960
1589663190137, 301633, 3456, -1520, 6928
1589663190167, 301645, 3440, -1552, 6832
1589663190170, 301657, 3392, -1552, 6576
1589663190173, 301669, 3280, -1520, 6864
1589663190182, 301681, 3408, -1568, 6832
1589663190192, 301693, 3472, -1552, 7040
1589663190207, 301705, 3472, -1536, 6880
1589663190217, 301717, 3600, -1376, 6944
1589663190233, 301729, 3952, -1088, 7088
1589663190241, 301741, 4208, -848, 7600
1589663190258, 301753, 4400, -336, 8592
1589663190265, 301765, 4864, -256, 9920
1589663190280, 301777, 5632, -480, 10768
1589663190289, 301789, 5808, -1472, 11216
1589663190304, 301801, 8160, -2432, 11232
1589663190313, 301813, 9040, -2912, 11984
1589663190327, 301825, 9680, -2768, 13184
1589663190338, 301837, 10208, -2656, 14240
1589663190352, 301849, 10592, -3136, 15008
1589663190361, 301861, 10704, -3760, 15056
1589663190376, 301873, 10592, -4224, 14064
1589663190418, 301885, 9888, -4640, 12048
1589663190421, 301897, 9344, -5568, 9328
1589663190423, 301909, 9248, -7008, 7072
1589663190426, 301921, 8544, -7376, 4496
1589663190433, 301933, 7696, -8096, 1648
1589663190447, 301945, 7392, -7728, 96
1589663190457, 301957, 6496, -6720, -1376
1589663190472, 301969, 5808, -5200, -2528
1589663190482, 301981, 5344, -4096, -4064
1589663190496, 301993, 5184, -3088, -4864
1589663190505, 302005, 4000, -2640, -5200
1589663190520, 302017, 3360, -2176, -4880
1589663190528, 302028, 2624, -2240, -4576
1589663190543, 302041, 1904, -2752, -3824
1589663190552, 302053, 1072, -4064, -3408
1589663190567, 302065, 784, -4624, -3184
1589663190578, 302076, 752, -4928, -3280
1589663190602, 302088, 112, -4464, -3472
1589663190605, 302101, -32, -3712, -4064
1589663190612, 302113, -80, -3104, -4688
1589663190625, 302125, -320, -2480, -5536
1589663190640, 302137, -608, -2144, -6416
1589663190649, 302148, -848, -2256, -7168
1589663190664, 302161, -992, -2816, -7456
1589663190673, 302173, -1200, -3504, -7408
1589663190687, 302185, -1232, -3808, -7216
1589663190697, 302196, -1136, -3760, -6880
1589663190712, 302208, -1264, -3216, -6448
1589663190722, 302221, -1424, -2528, -5680
1589663190736, 302233, -1824, -2096, -5024
1589663190745, 302245, -2016, -1760, -4336
1589663190790, 302257, -1984, -1392, -3936
1589663190816, 302268, -2032, -1280, -3696
1589663190820, 302281, -1904, -1168, -3136
1589663190823, 302293, -1968, -1136, -2608
1589663190825, 302305, -2064, -1056, -2176
1589663190828, 302317, -2160, -928, -2048
1589663190830, 302329, -2464, -816, -1888
1589663190842, 302341, -2816, -800, -1696
1589663190852, 302353, -2912, -736, -896
1589663190865, 302365, -2992, -720, -224
1589663190880, 302377, -3088, -576, 512
1589663190889, 302388, -3472, -432, 1328
1589663190903, 302401, -3552, -240, 2432
1589663190912, 302413, -3904, -96, 3344
1589663190927, 302425, -3680, -48, 3552
1589663190938, 302436, -3744, 32, 3536
1589663190954, 302448, -3168, -16, 4080
1589663190961, 302461, -3824, -752, 4928
1589663190976, 302473, -4704, -1200, 6384
1589663190985, 302485, -6576, -2112, 8544
1589663191000, 302497, -8224, -3168, 11840
1589663191015, 302508, -8944, -4000, 14976
1589663191025, 302521, -9072, -5664, 16224
1589663191055, 302533, -8400, -7376, 15824
1589663191078, 302544, -6912, -7520, 14464
1589663191080, 302557, -6368, -7008, 14112
1589663191082, 302568, -6944, -6336, 14416
1589663191085, 302581, -7984, -6064, 15424
1589663191092, 302593, -8784, -6304, 16000
1589663191110, 302605, -9024, -7216, 16112
1589663191156, 302616, -9600, -8032, 15952
1589663191160, 302628, -8992, -8208, 16384
1589663191163, 302641, -8896, -8400, 16960
1589663191165, 302653, -9504, -8368, 17072
1589663191168, 302665, -10224, -8240, 17104
1589663191177, 302676, -11024, -8128, 16896
1589663191194, 302688, -12080, -8144, 17088
1589663191201, 302701, -13248, -9424, 17264
1589663191216, 302713, -13744, -11712, 16480
1589663191232, 302724, -13824, -15504, 14864
1589663191239, 302737, -14320, -18768, 12480
1589663191249, 302748, -13744, -19328, 10048
1589663191265, 302760, -13168, -18016, 9392
1589663191283, 302772, -13312, -16368, 9552
1589663191285, 302785, -13120, -16864, 9232
1589663191298, 302796, -12672, -18016, 8096
1589663191313, 302808, -12272, -18624, 6608
1589663191321, 302821, -12112, -17808, 5552
1589663191336, 302833, -11952, -16512, 5312
1589663191344, 302845, -11904, -14928, 5296
1589663191359, 302857, -11776, -13984, 5472
1589663191368, 302868, -11888, -14688, 4800
1589663191384, 302881, -11248, -15664, 4048
1589663191394, 302893, -10640, -16352, 3008
1589663191408, 302905, -9920, -15776, 2208
1589663191418, 302917, -9648, -14864, 2000
1589663191447, 302928, -9584, -13312, 2528
1589663191450, 302941, -9152, -11696, 2992
1589663191455, 302953, -9216, -10336, 3536
1589663191465, 302965, -9296, -9664, 4208
1589663191480, 302977, -8928, -9520, 4064
1589663191520, 302988, -8416, -9568, 3152
1589663191526, 303001, -8240, -9232, 2544
1589663191528, 303013, -7664, -8464, 1808
1589663191532, 303025, -7168, -7968, 1200
1589663191537, 303037, -6736, -7456, 1008
1589663191552, 303048, -6608, -6800, 1136
1589663191561, 303061, -5984, -6272, 1104
1589663191589, 303073, -5552, -5872, 1072
1589663191592, 303085, -5056, -5600, 512
1589663191599, 303097, -4272, -5264, -256
1589663191610, 303108, -3792, -5216, -1168
1589663191625, 303121, -3536, -4992, -1248
1589663191633, 303133, -3456, -4592, -1120
1589663191648, 303145, -2800, -4224, -656
1589663191658, 303157, -2528, -3936, -336
1589663191672, 303168, -2432, -3728, -448
1589663191681, 303181, -2016, -3296, -464
1589663191697, 303193, -1728, -2688, -624
1589663191705, 303205, -1520, -2384, -368
1589663191720, 303217, -1248, -2224, -304
1589663191729, 303228, -880, -2240, -96
1589663191744, 303241, -576, -2000, 496
1589663191753, 303253, -448, -1776, 352
1589663191769, 303265, 256, -960, -112
1589663191780, 303276, 864, -336, -528
1589663191790, 303288, 960, -176, -1040
