Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663301602, 413088, 4272, 256, 6400
1589663301605, 413100, 4304, 240, 6528
1589663301621, 413112, 4224, 240, 6512
1589663301629, 413125, 4256, 368, 6560
1589663301639, 413136, 4240, 416, 6528
1589663301651, 413148, 4272, 368, 6464
1589663301661, 413161, 4352, 400, 6512
1589663301674, 413173, 4224, 288, 6464
1589663301689, 413185, 4224, 304, 6448
1589663301697, 413196, 4272, 384, 6592
1589663301712, 413208, 4320, 352, 6592
1589663301721, 413221, 4288, 336, 6480
1589663301748, 413233, 4336, 272, 6480
1589663301777, 413245, 4352, 384, 6448
1589663301791, 413256, 4400, 368, 6416
1589663301793, 413268, 4368, 352, 6624
1589663301796, 413281, 4368, 416, 6512
1589663301799, 413293, 4544, 320, 6576
1589663301806, 413305, 4976, 32, 6768
1589663301817, 413316, 5344, -416, 7216
1589663301832, 413328, 5712, -1024, 7408
1589663301841, 413341, 6064, -1472, 7072
1589663301856, 413353, 6224, -1552, 6560
1589663301866, 413365, 6352, -1664, 6720
1589663301881, 413376, 7408, -1568, 7584
1589663301889, 413389, 8208, -1760, 8608
1589663301904, 413401, 8624, -2272, 9248
1589663301913, 413413, 9104, -3120, 9008
1589663301928, 413425, 9520, -3792, 8240
1589663301937, 413436, 9760, -4032, 8064
1589663301952, 413448, 9760, -3984, 8048
1589663301961, 413461, 9920, -3648, 8512
1589663301976, 413473, 9872, -2784, 8864
1589663301986, 413485, 9840, -2096, 8976
1589663302001, 413496, 9280, -1408, 8768
1589663302009, 413509, 8864, -1136, 8640
1589663302024, 413521, 8432, -960, 8368
1589663302033, 413533, 8192, -544, 8112
1589663302048, 413545, 7888, 192, 7600
1589663302057, 413556, 7616, 1104, 7136
1589663302072, 413568, 7584, 2752, 6336
1589663302081, 413581, 7552, 4160, 5616
1589663302096, 413593, 7568, 4640, 4976
1589663302140, 413605, 7552, 4016, 4656
1589663302172, 413616, 7040, 1584, 4832
1589663302174, 413628, 6688, 1872, 5616
1589663302177, 413641, 5968, 3200, 5728
1589663302179, 413653, 5776, 5168, 6112
1589663302183, 413665, 4528, 7184, 6864
1589663302185, 413677, 4064, 8000, 6960
1589663302191, 413689, 3984, 8224, 6272
1589663302201, 413701, 3696, 7264, 3696
1589663302213, 413713, 2912, 4736, 2288
1589663302230, 413725, 2048, 2496, 2432
1589663302237, 413736, 800, 2768, 4352
1589663302263, 413748, 496, 4928, 6160
1589663302266, 413761, 144, 6048, 7056
1589663302274, 413773, 80, 6544, 7920
1589663302285, 413785, -768, 6256, 7568
1589663302302, 413796, -976, 5776, 5856
1589663302309, 413809, -976, 5408, 4176
1589663302325, 413821, -1072, 5040, 2480
1589663302334, 413833, -1424, 4464, 1264
1589663302349, 413845, -1584, 4128, 832
1589663302357, 413856, -1952, 3824, 880
1589663302372, 413868, -2208, 3808, 1376
1589663302381, 413881, -2400, 4016, 1824
1589663302396, 413893, -2448, 4224, 2128
1589663302406, 413905, -2944, 4224, 2592
1589663302421, 413916, -3024, 4016, 2592
1589663302429, 413929, -3376, 3552, 2608
1589663302444, 413941, -3616, 2432, 2208
1589663302462, 413952, -3728, 1600, 1472
1589663302518, 413965, -3936, 1104, 1024
1589663302528, 413976, -4032, 800, 832
1589663302531, 413988, -4464, 592, 768
1589663302533, 414000, -4784, 608, 832
1589663302536, 414013, -4896, 256, 672
1589663302538, 414025, -5952, -752, 432
1589663302540, 414036, -6320, -2464, 432
1589663302550, 414048, -6208, -4304, 240
1589663302564, 414061, -6672, -6928, -144
1589663302574, 414073, -6624, -8432, 48
1589663302589, 414085, -6432, -8752, 256
1589663302597, 414096, -6432, -8944, 240
1589663302612, 414108, -6496, -9968, 240
1589663302620, 414121, -6144, -10192, 384
1589663302635, 414133, -5968, -11152, 768
1589663302645, 414145, -7008, -12592, 1376
1589663302661, 414156, -7584, -13600, 1888
1589663302669, 414169, -8128, -13600, 2320
1589663302684, 414181, -8512, -12944, 2960
1589663302694, 414193, -8096, -12224, 4224
1589663302704, 414205, -7984, -13088, 7024
1589663302718, 414216, -8016, -16784, 7648
1589663302732, 414228, -8176, -21152, 7120
1589663302741, 414241, -7776, -22592, 5440
1589663302756, 414253, -6768, -21472, 4352
1589663302766, 414265, -6592, -19392, 3264
1589663302781, 414276, -6864, -17408, 3296
1589663302814, 414288, -6816, -16240, 3952
1589663302816, 414301, -6944, -16640, 5344
1589663302818, 414313, -7920, -19296, 6608
1589663302826, 414325, -8192, -21504, 7744
1589663302856, 414336, -8288, -22864, 9040
1589663302884, 414348, -8992, -21952, 10048
1589663302886, 414361, -8784, -19984, 10416
1589663302888, 414373, -8592, -18560, 11056
1589663302891, 414385, -8400, -17664, 11472
1589663302898, 414396, -8144, -17984, 11408
1589663302913, 414408, -7936, -18608, 11328
1589663302924, 414421, -7856, -18896, 11808
1589663302953, 414433, -7936, -18656, 12656
1589663302969, 414445, -8080, -17920, 14192
1589663302971, 414456, -8160, -17136, 15360
1589663302973, 414468, -8832, -15872, 15856
1589663302981, 414481, -9328, -14256, 15616
1589663302993, 414493, -9584, -12816, 14736
1589663303008, 414505, -9968, -10912, 14672
1589663303018, 414516, -10608, -9056, 16032
1589663303033, 414528, -10912, -8112, 17168
1589663303042, 414541, -11088, -7552, 17232
1589663303069, 414553, -11024, -6944, 16288
1589663303074, 414565, -10896, -6064, 14240
1589663303077, 414576, -10480, -4704, 13104
1589663303090, 414588, -9824, -3008, 12448
1589663303104, 414601, -9136, -1936, 12624
1589663303114, 414613, -8512, -2032, 12672
1589663303128, 414625, -8416, -2896, 12064
1589663303137, 414636, -6928, -3968, 11024
1589663303162, 414648, -6608, -4416, 9680
1589663303165, 414661, -6528, -4192, 8848
1589663303175, 414673, -6848, -2896, 8032
1589663303187, 414685, -6240, -656, 7504
1589663303197, 414696, -5856, 416, 7120
1589663303226, 414708, -5280, 768, 6752
1589663303255, 414721, -4464, 816, 6544
1589663303257, 414733, -4256, 640, 6704
1589663303260, 414745, -4240, 864, 6752
1589663303261, 414756, -3984, 1120, 6704
1589663303270, 414768, -4080, 1472, 6592
1589663303281, 414781, -4112, 1696, 6272
1589663303296, 414793, -3424, 1664, 5632
1589663303307, 414805, -2928, 1120, 4560
1589663303317, 414816, -2432, 640, 3760
1589663303329, 414828, -2240, 272, 2720
1589663303344, 414841, -1456, -224, 2000
1589663303353, 414853, -1424, -672, 1408
1589663303368, 414865, -1392, -464, 1344
1589663303377, 414876, -752, 0, 1328
1589663303392, 414888, -32, 672, 1584
1589663303401, 414901, 528, 592, 1152
1589663303416, 414913, 864, -512, 288
1589663303448, 414925, 1200, -2272, -800
1589663303451, 414936, 1040, -3360, -1744
1589663303453, 414948, 944, -2448, -2128
1589663303461, 414961, 2320, -400, -912
1589663303475, 414973, 3024, 560, 816
1589663303484, 414985, 3104, -672, 1200
1589663303497, 414996, 4048, -3696, 304
1589663303512, 415008, 4368, -6864, -1296
1589663303521, 415021, 4448, -8400, -2272
1589663303536, 415033, 5264, -7056, -3136
1589663303546, 415045, 5824, -4256, -1904
1589663303561, 415056, 6112, -2592, -96
1589663303608, 415069, 6096, -2800, 864
1589663303612, 415081, 6592, -4464, 1040
1589663303617, 415093, 7072, -6032, 400
1589663303619, 415105, 7408, -6784, -224
1589663303623, 415116, 7632, -6672, -416
1589663303630, 415128, 7568, -5424, 0
1589663303641, 415141, 7568, -4656, 432
1589663303656, 415153, 7664, -4176, 944
1589663303666, 415165, 8128, -4416, 1120
1589663303681, 415176, 8224, -4976, 688
1589663303690, 415189, 8176, -5328, 320
1589663303705, 415201, 8272, -5104, 416
1589663303714, 415213, 8096, -4624, 1136
1589663303728, 415225, 8032, -4144, 1584
1589663303736, 415236, 8016, -3856, 2064
1589663303752, 415248, 8048, -3776, 2048
1589663303761, 415261, 8112, -3760, 2080
1589663303789, 415273, 8096, -3824, 1888
1589663303803, 415285, 7984, -3648, 1760
1589663303821, 415296, 7920, -3248, 1648
1589663303837, 415309, 7792, -3104, 1680
1589663303841, 415321, 8096, -2784, 1056
1589663303844, 415332, 7712, -2416, 1472
1589663303849, 415345, 7488, -2112, 2128
