Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663317590, 429026, 3088, -464, 7120
1589663317593, 429038, 3040, -560, 7200
1589663317595, 429050, 3088, -608, 7408
1589663317597, 429061, 3104, -576, 7360
1589663317600, 429074, 3088, -560, 7360
1589663317602, 429086, 3088, -496, 6992
1589663317605, 429098, 3136, -560, 7184
1589663317611, 429110, 3184, -624, 7136
1589663317624, 429121, 3152, -560, 7120
1589663317638, 429134, 3136, -608, 7152
1589663317646, 429146, 3136, -592, 7152
1589663317661, 429157, 3200, -688, 7120
1589663317671, 429170, 3216, -752, 7184
1589663317686, 429181, 3200, -592, 7184
1589663317694, 429194, 3184, -560, 7280
1589663317709, 429206, 3120, -576, 7280
1589663317718, 429217, 3152, -496, 7296
1589663317733, 429230, 3136, -528, 7264
1589663317742, 429241, 3184, -544, 7184
1589663317758, 429254, 3136, -576, 7232
1589663317766, 429266, 3152, -688, 7232
1589663317781, 429277, 3200, -624, 7248
1589663317791, 429290, 3184, -592, 7184
1589663317806, 429301, 3120, -512, 7264
1589663317815, 429314, 3152, -512, 7280
1589663317830, 429326, 3120, -544, 7296
1589663317838, 429337, 3200, -640, 7216
1589663317853, 429350, 3184, -704, 7072
1589663317862, 429361, 3472, -688, 7104
1589663317877, 429374, 3856, -1008, 7392
1589663317886, 429386, 3952, -1472, 7648
1589663317901, 429397, 5248, -2208, 8320
1589663317946, 429410, 6176, -3152, 9072
1589663317949, 429421, 6816, -3648, 9520
1589663317951, 429434, 7568, -3968, 10432
1589663317954, 429446, 8832, -3856, 11632
1589663317961, 429457, 9872, -3344, 12736
1589663317970, 429470, 10064, -2784, 13584
1589663317983, 429481, 11856, -2656, 13824
1589663317999, 429494, 11792, -2544, 13408
1589663318006, 429506, 11840, -2064, 12976
1589663318021, 429517, 11872, -368, 12016
1589663318029, 429530, 11952, 2288, 11680
1589663318044, 429541, 11888, 4960, 12000
1589663318055, 429554, 11952, 7216, 11952
1589663318070, 429566, 9344, 8352, 11280
1589663318078, 429577, 7856, 8464, 10400
1589663318093, 429590, 7424, 7680, 9200
1589663318103, 429601, 3552, 5632, 7600
1589663318117, 429614, 1776, 3360, 5856
1589663318126, 429626, 480, 864, 4576
1589663318141, 429637, -352, -1856, 3200
1589663318168, 429650, -288, -3632, 2128
1589663318171, 429661, 144, -3648, 1280
1589663318175, 429674, 80, -4320, -160
1589663318190, 429686, -160, -3744, -1568
1589663318199, 429697, -496, -3296, -2832
1589663318213, 429710, -640, -3232, -4704
1589663318222, 429721, -848, -3712, -6704
1589663318237, 429734, -1632, -4960, -7120
1589663318260, 429746, -2016, -6720, -6960
1589663318262, 429757, -2000, -7824, -6368
1589663318289, 429769, -2896, -7936, -5968
1589663318312, 429781, -3424, -7808, -6896
1589663318315, 429794, -3568, -7648, -7920
1589663318317, 429805, -4016, -7824, -10016
1589663318320, 429817, -4064, -8112, -11760
1589663318330, 429830, -4256, -8288, -11840
1589663318343, 429841, -4576, -8752, -11312
1589663318358, 429854, -4640, -9616, -10256
1589663318366, 429866, -4160, -9840, -9616
1589663318381, 429877, -4112, -9968, -9616
1589663318391, 429890, -3408, -10272, -10352
1589663318406, 429901, -3104, -10480, -11088
1589663318414, 429914, -3024, -10768, -11152
1589663318430, 429926, -2528, -11120, -10848
