Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663402852, 514306, 2368, 1200, 7440
1589663402855, 514317, 2416, 1232, 7504
1589663402857, 514330, 2368, 1232, 7424
1589663402860, 514341, 2352, 1264, 7440
1589663402862, 514354, 2368, 1200, 7456
1589663402867, 514366, 2400, 1200, 7344
1589663402878, 514377, 2320, 1232, 7344
1589663402893, 514390, 2352, 1184, 7328
1589663402902, 514402, 2320, 1184, 7200
1589663402918, 514413, 2352, 1200, 7248
1589663402927, 514426, 2320, 1168, 7088
1589663402941, 514437, 2352, 1296, 7312
1589663402950, 514450, 2336, 1216, 7344
1589663402966, 514461, 2288, 1216, 7520
1589663402974, 514474, 2304, 1168, 7360
1589663402989, 514486, 2336, 1168, 7376
1589663402998, 514497, 2336, 1248, 7360
1589663403013, 514510, 2336, 1216, 7344
1589663403023, 514522, 2256, 1232, 7360
1589663403038, 514533, 2368, 1248, 7440
1589663403047, 514546, 2336, 1232, 7344
1589663403062, 514557, 2448, 1232, 7344
1589663403070, 514570, 2368, 1168, 7312
1589663403085, 514581, 2368, 1248, 7280
1589663403094, 514594, 2336, 1296, 7280
1589663403109, 514606, 2368, 1280, 7232
1589663403118, 514618, 2368, 1280, 7248
1589663403133, 514630, 2336, 1296, 7344
1589663403143, 514642, 2320, 1248, 7168
1589663403158, 514653, 2320, 1264, 7184
1589663403188, 514666, 2480, 1264, 7072
1589663403208, 514677, 2512, 1296, 6976
1589663403210, 514690, 2704, 1232, 7008
1589663403213, 514701, 2976, 1328, 7088
1589663403215, 514714, 3360, 1648, 7328
1589663403227, 514726, 3536, 2080, 7632
1589663403237, 514737, 4480, 2640, 7936
1589663403253, 514750, 5056, 3264, 8672
1589663403288, 514762, 5168, 3184, 9216
1589663403291, 514773, 6224, 2768, 9712
1589663403293, 514786, 7200, 2448, 9904
1589663403299, 514798, 7456, 2144, 9616
1589663403311, 514810, 8160, 2112, 9408
1589663403326, 514822, 7808, 864, 9216
1589663403334, 514834, 7536, 64, 9024
1589663403350, 514846, 7488, -800, 9040
1589663403358, 514858, 7168, -1424, 8864
1589663403373, 514870, 6960, -2208, 8560
1589663403383, 514882, 6352, -3168, 8416
1589663403398, 514893, 6016, -4032, 8144
1589663403406, 514906, 5120, -5184, 7888
1589663403422, 514917, 4560, -6192, 7600
1589663403431, 514930, 4496, -7376, 7200
1589663403446, 514941, 3856, -7760, 6704
1589663403454, 514954, 3328, -7920, 6064
1589663403469, 514966, 3216, -7920, 5472
1589663403481, 514978, 1792, -8016, 4112
1589663403506, 514989, 1200, -8160, 2512
1589663403520, 515001, 768, -8288, 896
1589663403564, 515013, 496, -9040, -480
1589663403574, 515026, 48, -9696, -1200
1589663403577, 515037, -656, -10080, -1232
1589663403579, 515050, -752, -9904, -672
1589663403582, 515061, -2112, -9472, -512
1589663403584, 515073, -2864, -9024, -896
1589663403587, 515086, -3424, -8848, -1248
1589663403598, 515097, -3808, -8848, -2352
1589663403613, 515110, -4432, -10000, -3248
1589663403623, 515122, -4864, -10624, -3568
1589663403638, 515133, -4992, -10768, -3152
1589663403647, 515146, -6064, -11104, -2368
1589663403662, 515157, -6560, -11328, -2096
1589663403671, 515170, -6704, -11520, -2544
1589663403685, 515181, -6272, -11216, -3680
1589663403694, 515193, -6336, -11264, -4688
1589663403710, 515206, -6144, -11120, -4880
1589663403718, 515218, -6080, -10960, -4336
1589663403733, 515230, -6048, -10560, -3728
1589663403743, 515242, -6080, -10256, -3616
1589663403758, 515253, -6096, -9680, -3616
1589663403767, 515266, -6272, -8528, -3392
1589663403793, 515277, -6192, -7504, -2576
1589663403796, 515290, -6368, -6688, -2336
1589663403803, 515302, -6336, -6128, -1888
1589663403814, 515313, -6368, -5904, -1488
1589663403839, 515326, -6624, -6048, -1040
1589663403842, 515337, -6832, -5872, -752
1589663403853, 515350, -7568, -4976, -864
1589663403863, 515362, -8032, -3120, -832
1589663403878, 515373, -8080, -1632, -768
1589663403889, 515386, -8992, -256, -608
1589663403917, 515397, -9744, 720, -256
1589663403943, 515410, -10080, 1920, 384
1589663403968, 515422, -10768, 3968, 1168
1589663403970, 515433, -10800, 7232, 2832
1589663403973, 515446, -10992, 8976, 4352
1589663403976, 515457, -11008, 9280, 5296
1589663403978, 515470, -11760, 8848, 5104
1589663403983, 515482, -11616, 9392, 4192
1589663403997, 515493, -10784, 9872, 3088
1589663404007, 515506, -11456, 9536, 2048
1589663404022, 515517, -12496, 10848, 2816
1589663404031, 515530, -13424, 12528, 3536
1589663404046, 515541, -13536, 14208, 3744
1589663404063, 515553, -14528, 15600, 3376
1589663404078, 515565, -14272, 16560, 2288
1589663404081, 515577, -14048, 16880, 1152
1589663404096, 515589, -13872, 16544, 464
1589663404104, 515601, -14560, 16176, 1312
1589663404115, 515613, -14912, 16016, 1536
1589663404128, 515626, -15264, 16128, 2256
1589663404138, 515637, -15472, 15408, 3424
1589663404151, 515650, -15888, 14288, 4704
1589663404166, 515662, -16000, 13136, 6640
1589663404174, 515673, -15936, 12160, 8368
1589663404189, 515686, -14352, 10800, 9088
1589663404198, 515698, -13072, 8656, 9504
1589663404213, 515710, -12576, 5392, 10256
1589663404223, 515722, -12304, 2944, 10864
1589663404237, 515733, -12096, 1888, 11136
1589663404247, 515746, -12064, 1920, 11136
1589663404262, 515757, -10160, 1904, 10560
1589663404291, 515770, -9120, 816, 9184
1589663404311, 515781, -9056, -1904, 7600
1589663404314, 515794, -9984, -6512, 6352
1589663404316, 515806, -12672, -12272, 6960
1589663404319, 515818, -15120, -17072, 8416
1589663404331, 515830, -15904, -20272, 8112
1589663404344, 515842, -14320, -18640, 4928
1589663404354, 515853, -10800, -14528, 2288
1589663404368, 515866, -10080, -12928, 96
1589663404378, 515877, -12544, -15072, -1648
1589663404392, 515890, -14112, -18128, -6064
1589663404407, 515902, -13632, -19616, -9936
1589663404416, 515914, -11472, -19696, -12688
1589663404431, 515926, -9616, -19712, -12576
1589663404439, 515938, -8608, -18432, -11520
1589663404454, 515950, -8560, -16160, -9376
1589663404462, 515962, -8464, -14112, -7296
1589663404478, 515973, -8752, -13152, -6336
1589663404487, 515986, -8880, -12544, -6880
1589663404502, 515997, -8240, -13168, -8544
1589663404511, 516010, -7904, -14256, -9440
1589663404527, 516022, -7520, -14752, -8960
1589663404535, 516034, -7808, -14768, -7696
1589663404569, 516046, -7760, -13888, -6448
1589663404571, 516057, -7728, -13040, -5920
1589663404574, 516070, -7792, -12368, -5712
1589663404583, 516082, -8160, -12192, -5712
1589663404598, 516093, -8272, -11760, -5296
1589663404607, 516106, -8192, -11568, -4688
1589663404622, 516117, -8992, -12160, -3264
