Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663450791, 562286, 1984, 592, 7648
1589663450800, 562298, 1936, 560, 7536
1589663450815, 562311, 1920, 656, 7552
1589663450823, 562322, 1904, 672, 7568
1589663450839, 562335, 1904, 752, 7664
1589663450847, 562346, 1904, 688, 7568
1589663450862, 562358, 1952, 656, 7536
1589663450872, 562371, 1952, 656, 7520
1589663450887, 562382, 1920, 624, 7456
1589663450896, 562395, 1904, 640, 7536
1589663450911, 562406, 1920, 608, 7808
1589663450920, 562418, 1888, 528, 7680
1589663450935, 562431, 1952, 592, 7776
1589663450963, 562442, 1888, 560, 7712
1589663450995, 562455, 1888, 624, 7776
1589663450997, 562466, 1840, 640, 7744
1589663450999, 562478, 1872, 640, 7680
1589663451002, 562491, 1952, 592, 7600
1589663451005, 562503, 1840, 624, 7504
1589663451017, 562515, 1840, 640, 7536
1589663451027, 562526, 1856, 608, 7520
1589663451055, 562538, 1936, 464, 7584
1589663451057, 562550, 2032, 256, 7472
1589663451072, 562562, 1536, -176, 7696
1589663451076, 562575, 2848, 1024, 7632
1589663451088, 562586, 2816, 96, 7232
1589663451103, 562598, 3136, -192, 7248
1589663451112, 562611, 3616, -976, 7904
1589663451127, 562622, 5088, -1120, 8624
1589663451136, 562635, 5872, -3200, 9888
1589663451151, 562646, 6384, -5808, 11584
1589663451160, 562658, 6496, -7152, 13584
1589663451175, 562671, 6480, -7360, 16560
1589663451184, 562682, 4816, -6544, 19968
1589663451199, 562695, 3232, -4848, 25072
1589663451207, 562706, 416, -3840, 30432
1589663451236, 562718, -2608, -3920, 32560
1589663451239, 562730, -5088, -4976, 31584
1589663451255, 562742, -6352, -5088, 26416
1589663451257, 562755, -6512, -4864, 18592
1589663451285, 562766, -7984, -4000, 12768
1589663451297, 562778, -8064, -2320, 9168
1589663451300, 562791, -8160, -1088, 6912
1589663451305, 562803, -9152, -128, 5168
1589663451358, 562815, -9632, 1072, 3264
1589663451361, 562826, -10240, 2144, 2160
1589663451363, 562838, -11616, 4384, 176
1589663451366, 562851, -12960, 8128, -2352
1589663451368, 562863, -13072, 11712, -4384
1589663451376, 562875, -13088, 17152, -5600
1589663451391, 562886, -10112, 22288, -6608
1589663451400, 562898, -7520, 25168, -9680
1589663451415, 562911, -6800, 26128, -13072
1589663451425, 562922, -1088, 25760, -16976
1589663451439, 562935, -128, 22352, -19712
1589663451448, 562947, -2048, 17120, -17504
1589663451462, 562958, -2768, 7792, -12464
1589663451472, 562971, -9168, 1648, 1424
1589663451487, 562982, -9680, -4240, 28192
1589663451496, 562995, -9728, -18272, 32368
1589663451511, 563006, -2992, -26208, 32640
1589663451520, 563018, -1408, -18896, 32640
1589663451535, 563031, -928, -10112, 25280
1589663451544, 563042, 464, -3616, 9088
1589663451558, 563055, 1456, 1232, -1328
