Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589663121242, 232737, 6688, -1552, 3792
1589663121250, 232749, 6528, -1568, 3808
1589663121265, 232761, 6448, -1552, 3712
1589663121274, 232773, 6512, -1440, 3936
1589663121284, 232785, 6544, -1440, 4032
1589663121340, 232797, 6544, -1536, 4128
1589663121343, 232809, 6560, -1552, 4112
1589663121349, 232821, 6560, -1536, 4064
1589663121352, 232833, 6608, -1520, 4048
1589663121354, 232845, 6544, -1568, 3888
1589663121359, 232857, 6640, -1536, 3888
1589663121369, 232869, 6624, -1504, 3920
1589663121381, 232881, 6640, -1504, 4288
1589663121395, 232893, 6640, -1504, 4096
1589663121406, 232905, 6656, -1488, 4160
1589663121459, 232917, 6608, -1536, 4096
1589663121468, 232929, 6608, -1616, 4176
1589663121472, 232941, 6576, -1600, 3984
1589663121475, 232953, 6640, -1504, 3904
1589663121477, 232965, 6656, -1456, 4032
1589663121480, 232977, 6640, -1424, 3904
1589663121488, 232989, 6624, -1472, 3872
1589663121502, 233001, 6624, -1600, 3808
1589663121520, 233013, 6608, -1648, 3824
1589663121524, 233025, 6688, -1664, 3776
1589663121539, 233037, 6720, -1552, 3744
1589663121548, 233049, 6784, -1600, 3552
1589663121598, 233061, 6800, -1680, 3600
1589663121601, 233073, 7408, -2016, 3456
1589663121603, 233085, 8272, -2176, 3296
1589663121606, 233097, 9040, -2144, 3104
1589663121609, 233109, 10160, -2384, 3056
1589663121621, 233121, 10464, -2384, 3520
1589663121636, 233133, 10560, -2592, 4448
1589663121644, 233145, 10640, -3216, 4688
1589663121671, 233157, 10896, -3504, 5136
1589663121743, 233169, 10880, -3216, 5328
1589663121746, 233181, 10736, -2720, 5440
1589663121748, 233193, 10624, -2368, 5072
1589663121753, 233205, 10064, -2336, 4640
1589663121756, 233217, 9568, -2272, 4192
1589663121759, 233229, 9520, -1968, 3872
1589663121763, 233242, 8256, -2208, 2240
1589663121766, 233254, 8416, -2544, 432
1589663121767, 233266, 7792, -1696, -416
1589663121781, 233278, 7312, -1280, -1184
1589663121791, 233290, 6640, -928, -1696
1589663121803, 233302, 5984, -432, -1984
1589663121813, 233314, 5248, -224, -2112
1589663121826, 233326, 5072, 0, -2160
1589663121842, 233338, 3440, -160, -1744
1589663121849, 233350, 2880, -672, -1648
1589663121866, 233362, 2720, -1072, -1808
1589663121874, 233374, 1936, -1344, -2400
1589663121889, 233386, 1472, -1888, -3536
1589663121898, 233398, 1216, -2064, -4048
1589663121913, 233410, 464, -2368, -4336
1589663121922, 233422, -368, -2320, -4048
1589663121936, 233434, -1296, -2224, -3584
1589663121945, 233446, -1504, -1920, -2832
1589663121961, 233458, -3376, -1728, -1792
1589663121969, 233470, -4304, -1712, -768
1589663121984, 233482, -4848, -1696, 96
1589663121993, 233494, -5488, -1600, 736
1589663122008, 233506, -6048, -1552, 784
1589663122018, 233518, -6688, -1520, 896
1589663122046, 233530, -6912, -1376, 496
1589663122073, 233542, -8032, -1456, 416
1589663122084, 233554, -8720, -1472, 592
1589663122087, 233566, -8928, -1616, 1200
1589663122089, 233578, -10240, -1856, 1872
1589663122092, 233590, -10816, -1952, 2320
1589663122102, 233602, -11328, -2080, 2656
1589663122116, 233614, -11648, -1984, 2496
1589663122141, 233626, -12448, -2496, 1664
