Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326519671, 1058994, -480, 768, 8064
1589326519682, 1059005, -352, 816, 8032
1589326519693, 1059016, -256, 784, 7888
1589326519704, 1059027, -352, 832, 7840
1589326519715, 1059038, -224, 816, 7968
1589326519726, 1059049, -320, 784, 8016
1589326519737, 1059060, -336, 768, 8016
1589326519748, 1059071, -240, 736, 8096
1589326519759, 1059082, -304, 672, 8144
1589326519770, 1059093, -272, 752, 8192
1589326519781, 1059104, -320, 800, 8048
1589326519792, 1059115, -352, 784, 7824
1589326519803, 1059126, -256, 864, 7936
1589326519814, 1059137, -224, 800, 7808
1589326519825, 1059148, -336, 816, 7744
1589326519836, 1059159, -352, 784, 7904
1589326519847, 1059170, -496, 816, 8048
1589326519858, 1059181, -528, 768, 8016
1589326519869, 1059192, -576, 816, 8144
1589326519880, 1059203, -576, 848, 7984
1589326519891, 1059214, -560, 848, 7936
1589326519902, 1059225, -512, 912, 7856
1589326519913, 1059236, -496, 784, 7760
1589326519924, 1059247, -448, 768, 7872
1589326519935, 1059258, -496, 752, 7952
1589326519946, 1059269, -496, 752, 7968
1589326519957, 1059280, -496, 720, 8128
1589326519968, 1059291, -448, 704, 8224
1589326519979, 1059302, -432, 704, 8192
1589326519990, 1059313, -432, 640, 8064
1589326520001, 1059324, -560, 720, 7968
1589326520012, 1059335, -576, 688, 7936
1589326520023, 1059346, -480, 720, 8016
1589326520034, 1059357, -512, 672, 8208
1589326520045, 1059368, -480, 656, 8336
1589326520056, 1059379, -496, 608, 8256
1589326520067, 1059390, -480, 688, 8112
1589326520078, 1059401, -480, 672, 8000
1589326520089, 1059412, -496, 704, 8016
1589326520100, 1059423, -464, 784, 7968
1589326520111, 1059434, -448, 800, 7952
1589326520122, 1059445, -512, 752, 8016
1589326520133, 1059456, -480, 800, 8000
1589326520144, 1059467, -592, 784, 8064
1589326520156, 1059478, -496, 688, 8064
1589326520166, 1059489, -512, 704, 7920
1589326520178, 1059500, -576, 736, 7808
1589326520189, 1059511, -592, 704, 7504
1589326520199, 1059522, -624, 672, 7328
1589326520210, 1059533, -336, 704, 7008
1589326520222, 1059544, -368, 704, 6672
1589326520233, 1059555, -288, 688, 6304
1589326520243, 1059566, -368, 752, 6128
1589326520254, 1059577, -240, 672, 5936
1589326520265, 1059588, -112, 672, 5792
1589326520276, 1059599, -384, 736, 5440
1589326520288, 1059610, -336, 688, 5056
1589326520299, 1059621, -560, 720, 4752
1589326520309, 1059632, -464, 608, 4544
1589326520320, 1059643, -736, 528, 4256
1589326520331, 1059654, -928, 496, 4032
1589326520342, 1059665, -896, 432, 3840
1589326520354, 1059676, -976, 496, 3360
1589326520365, 1059687, -1024, 128, 3232
1589326520376, 1059698, -1024, 224, 2560
1589326520387, 1059709, -1088, 208, 2192
1589326520398, 1059720, -1216, 160, 1840
1589326520408, 1059731, -1184, 144, 1632
1589326520420, 1059742, -1136, 80, 1488
1589326520430, 1059753, -1056, 96, 1568
1589326520441, 1059764, -1072, 64, 1616
1589326520453, 1059775, -1024, 112, 1648
1589326520463, 1059786, -928, 144, 1664
1589326520474, 1059797, -896, 160, 1584
1589326520486, 1059808, -768, 272, 1520
1589326520496, 1059819, -672, 448, 1728
