Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326309936, 849257, -560, 736, 8016
1589326309947, 849268, -512, 656, 8032
1589326309958, 849279, -528, 704, 8000
1589326309969, 849290, -512, 736, 8016
1589326309980, 849301, -528, 752, 8064
1589326309991, 849312, -464, 768, 8080
1589326310002, 849323, -480, 672, 8000
1589326310013, 849334, -560, 784, 7920
1589326310024, 849345, -448, 720, 7920
1589326310035, 849356, -480, 784, 8032
1589326310046, 849367, -448, 736, 8000
1589326310057, 849378, -480, 800, 7936
1589326310068, 849389, -512, 800, 8000
1589326310079, 849400, -496, 768, 7952
1589326310090, 849411, -432, 720, 8048
1589326310101, 849422, -496, 832, 8000
1589326310112, 849433, -496, 768, 8048
1589326310123, 849444, -544, 800, 8096
1589326310134, 849455, -416, 768, 8112
1589326310145, 849466, -464, 768, 7968
1589326310156, 849477, -432, 784, 7888
1589326310167, 849488, -432, 800, 8016
1589326310178, 849499, -464, 800, 7936
1589326310189, 849510, -480, 784, 8080
1589326310200, 849521, -512, 768, 8048
1589326310211, 849532, -512, 800, 8080
1589326310222, 849543, -512, 816, 8000
1589326310233, 849554, -576, 784, 7888
1589326310244, 849565, -480, 736, 7856
1589326310255, 849576, -512, 736, 7920
1589326310266, 849587, -416, 752, 7920
1589326310277, 849598, -448, 752, 7968
1589326310288, 849609, -448, 800, 7984
1589326310299, 849620, -544, 736, 8032
1589326310310, 849631, -512, 816, 8032
1589326310321, 849642, -544, 800, 7952
1589326310332, 849653, -560, 864, 7952
1589326310343, 849664, -608, 784, 7904
1589326310354, 849675, -544, 832, 7808
1589326310365, 849686, -384, 768, 7920
1589326310376, 849697, -480, 720, 7856
1589326310387, 849708, -464, 656, 7776
1589326310398, 849719, -448, 768, 7744
1589326310409, 849730, -528, 560, 7664
1589326310420, 849741, -480, 544, 7520
1589326310431, 849752, -416, 448, 7520
1589326310442, 849763, -480, 320, 7392
1589326310453, 849774, -400, 192, 7232
1589326310464, 849785, -464, 128, 6848
1589326310475, 849796, -304, -32, 6656
1589326310486, 849807, -160, -208, 6448
1589326310497, 849818, -32, -256, 6048
1589326310508, 849829, -80, -560, 5648
1589326310519, 849840, -160, -944, 5776
1589326310530, 849851, -336, -1456, 6096
1589326310541, 849862, -272, -1856, 6512
1589326310552, 849873, -144, -2368, 7024
1589326310563, 849884, -80, -2912, 7552
1589326310574, 849895, 128, -3280, 7776
1589326310585, 849906, 160, -3584, 7840
