Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326090873, 630192, -1216, -1152, 8112
1589326090884, 630203, -1120, -1072, 8064
1589326090894, 630214, -1008, -992, 7904
1589326090905, 630225, -832, -992, 7952
1589326090916, 630236, -720, -944, 7952
1589326090927, 630247, -640, -912, 7904
1589326090938, 630258, -640, -944, 7920
1589326090949, 630269, -544, -1024, 7856
1589326090960, 630280, -576, -1056, 7872
1589326090971, 630291, -656, -1040, 7888
1589326090983, 630302, -320, -1104, 7952
1589326090993, 630313, -336, -1088, 8192
1589326091004, 630324, -304, -1120, 8400
1589326091016, 630335, -352, -1072, 8592
1589326091026, 630346, -400, -992, 8848
1589326091037, 630357, -432, -1072, 9312
1589326091049, 630368, -464, -1072, 9648
1589326091059, 630379, -368, -976, 9872
1589326091070, 630390, -336, -944, 9856
1589326091081, 630401, -416, -848, 9712
1589326091092, 630412, -320, -784, 9568
1589326091103, 630423, -352, -800, 9168
1589326091115, 630434, -288, -704, 8864
1589326091125, 630445, -304, -704, 8560
1589326091136, 630456, -80, -688, 8256
1589326091147, 630467, 32, -704, 8160
1589326091158, 630478, 16, -704, 7936
1589326091169, 630489, 0, -688, 7728
1589326091180, 630500, -48, -720, 7776
1589326091191, 630511, 16, -784, 7760
1589326091202, 630522, -32, -896, 7664
1589326091213, 630533, -64, -1072, 7552
1589326091224, 630544, -144, -1152, 7488
1589326091236, 630555, -176, -1232, 7312
1589326091246, 630566, -272, -1328, 7072
1589326091257, 630577, -352, -1184, 6864
1589326091268, 630588, -384, -1184, 6368
1589326091279, 630599, -720, -1312, 5952
1589326091291, 630610, -1104, -1440, 5008
1589326091302, 630621, -1296, -1488, 4384
1589326091312, 630632, -1344, -1568, 3776
1589326091324, 630643, -1328, -1744, 3376
1589326091335, 630654, -1664, -1968, 2832
1589326091346, 630665, -1776, -2208, 2560
1589326091357, 630676, -1984, -2560, 2368
1589326091368, 630687, -2096, -2672, 2592
1589326091378, 630698, -2336, -2896, 2720
1589326091389, 630709, -2608, -2992, 2800
1589326091401, 630720, -2992, -2976, 2704
1589326091412, 630731, -3440, -3008, 2752
1589326091423, 630742, -4176, -3184, 2944
1589326091433, 630753, -5024, -3504, 2960
1589326091445, 630764, -5824, -3744, 3200
1589326091456, 630775, -6032, -3840, 3616
1589326091466, 630786, -6688, -3792, 4368
1589326091477, 630797, -6704, -3712, 4624
1589326091489, 630808, -6976, -3712, 4944
1589326091499, 630819, -7040, -3744, 5168
1589326091511, 630830, -7088, -3728, 5136
1589326091522, 630841, -7056, -3792, 4944
1589326091533, 630852, -7584, -3824, 4800
