Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589658144167, 227768, 5408, -5856, -160
1589658144178, 227779, 5440, -5824, 0
1589658144189, 227790, 5488, -5792, 0
1589658144200, 227801, 5488, -5744, 112
1589658144211, 227812, 5472, -5808, 16
1589658144222, 227823, 5456, -5856, -48
1589658144233, 227834, 5376, -5920, -96
1589658144244, 227845, 5328, -5920, -144
1589658144255, 227856, 5280, -6032, -240
1589658144266, 227867, 5232, -5968, -288
1589658144277, 227878, 5088, -5920, -208
1589658144288, 227889, 5216, -5920, -192
1589658144299, 227900, 5216, -5984, -256
1589658144310, 227911, 5296, -5904, -144
1589658144321, 227922, 5328, -5920, -192
1589658144332, 227933, 5296, -5824, -208
1589658144343, 227944, 5376, -5808, -128
1589658144354, 227955, 5376, -5840, -96
1589658144365, 227966, 5376, -5840, -96
1589658144376, 227977, 5344, -5952, 16
1589658144387, 227988, 5344, -5920, -96
1589658144398, 227999, 5360, -5984, -48
1589658144409, 228010, 5392, -5952, 16
1589658144421, 228021, 5328, -5984, 128
1589658144432, 228032, 5312, -5952, -16
1589658144443, 228043, 5344, -5856, 16
1589658144454, 228054, 5376, -5824, -48
1589658144465, 228065, 5360, -5744, -64
1589658144476, 228076, 5376, -5728, -64
1589658144487, 228087, 5360, -5792, 0
1589658144498, 228098, 5312, -5840, -32
1589658144509, 228109, 5344, -5792, 48
1589658144520, 228120, 5312, -5792, 64
1589658144531, 228131, 5248, -5792, 128
1589658144542, 228142, 5456, -5824, 64
1589658144553, 228153, 5536, -5712, 48
1589658144564, 228164, 5376, -5760, 16
1589658144575, 228175, 5424, -5792, 0
1589658144586, 228186, 5376, -5856, 0
1589658144597, 228197, 5424, -5872, -32
1589658144608, 228208, 5424, -5824, -16
1589658144619, 228219, 5424, -5840, -48
1589658144630, 228230, 5376, -5808, -48
1589658144641, 228241, 5472, -5792, -64
1589658144652, 228252, 5408, -5792, -128
1589658144663, 228263, 5280, -5776, -128
1589658144674, 228274, 5264, -5712, -176
1589658144685, 228285, 5328, -5776, -176
1589658144696, 228296, 5376, -5776, -160
1589658144707, 228307, 5376, -5776, -128
1589658144718, 228318, 5296, -5760, 96
1589658144729, 228329, 5328, -5888, -48
1589658144740, 228340, 5376, -5888, 16
1589658144751, 228351, 5456, -5904, -32
1589658144762, 228362, 5376, -5856, -64
1589658144773, 228373, 5392, -5872, -80
1589658144784, 228384, 5488, -5792, -96
1589658144795, 228395, 5424, -5776, -128
1589658144806, 228406, 5440, -5776, -96
1589658144817, 228417, 5456, -5824, -160
1589658144828, 228428, 5376, -5840, -208
1589658144839, 228439, 5408, -5856, -192
1589658144850, 228450, 5328, -5936, -208
1589658144861, 228461, 5296, -5936, -208
1589658144872, 228472, 5296, -5872, -192
1589658144883, 228483, 5280, -5856, -192
1589658144894, 228494, 5232, -5872, -176
1589658144905, 228505, 5280, -5856, -160
1589658144916, 228516, 5328, -5856, -320
1589658144927, 228527, 5408, -5856, -192
1589658144938, 228538, 5312, -6144, 0
1589658144949, 228549, 5248, -6256, -96
1589658144960, 228560, 5120, -6416, -160
1589658144971, 228571, 5136, -6528, -32
1589658144982, 228582, 4928, -6528, -160
1589658144993, 228593, 5040, -6368, -256
1589658145004, 228604, 4880, -6272, -304
1589658145015, 228615, 5008, -6240, -224
1589658145026, 228626, 5008, -6080, -160
1589658145037, 228637, 5040, -6032, -64
1589658145048, 228648, 5200, -5920, -128
1589658145058, 228659, 5136, -5904, -64
1589658145070, 228670, 5120, -5952, 32
1589658145080, 228681, 5248, -5952, 48
1589658145091, 228692, 5232, -6032, 0
1589658145103, 228703, 5232, -6032, -80
1589658145114, 228714, 5280, -5936, -176
1589658145125, 228725, 5312, -5888, -224
1589658145135, 228736, 5344, -5840, -80
1589658145146, 228747, 5504, -5808, -64
1589658145157, 228758, 5440, -5872, 96
1589658145168, 228769, 5472, -5904, 0
1589658145179, 228780, 5488, -5888, 112
1589658145190, 228791, 5472, -5872, -80
1589658145202, 228802, 5344, -5808, 32
1589658145212, 228813, 5360, -5744, -64
1589658145223, 228824, 5392, -5696, 0
1589658145234, 228835, 5376, -5648, 64
1589658145245, 228846, 5344, -5760, 128
1589658145256, 228857, 5344, -5760, 96
1589658145267, 228868, 5312, -5824, 80
1589658145278, 228879, 5280, -5888, 192
1589658145289, 228890, 5248, -5904, 16
1589658145300, 228901, 5344, -5840, 48
1589658145311, 228912, 5360, -5792, -80
1589658145322, 228923, 5408, -5648, -112
1589658145333, 228934, 5408, -5616, -128
1589658145344, 228945, 5456, -5696, -112
1589658145355, 228956, 5520, -5728, -176
1589658145366, 228967, 5376, -5696, -144
1589658145378, 228978, 5376, -5776, -80
1589658145388, 228989, 5440, -5808, -160
1589658145399, 229000, 5376, -5792, -160
1589658145410, 229011, 5264, -5808, -176
1589658145421, 229022, 5376, -5792, -224
