Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589657955740, 39338, 3008, -7072, 1808
1589657955751, 39349, 2976, -7136, 1808
1589657955762, 39360, 2944, -7264, 1792
1589657955773, 39371, 2928, -7216, 1680
1589657955784, 39382, 2832, -7168, 1600
1589657955795, 39393, 2896, -7088, 1584
1589657955806, 39404, 2880, -7104, 1664
1589657955817, 39415, 2944, -7168, 1712
1589657955828, 39426, 2928, -7104, 1728
1589657955839, 39437, 2992, -7120, 1616
1589657955850, 39448, 3088, -7120, 1680
1589657955861, 39459, 3040, -7040, 1648
1589657955872, 39470, 3024, -7072, 1696
1589657955883, 39481, 3024, -7184, 1568
1589657955894, 39492, 2800, -7360, 1424
1589657955905, 39503, 2592, -7616, 1552
1589657955916, 39514, 2496, -8032, 1696
1589657955927, 39525, 2400, -8176, 1744
1589657955938, 39536, 1472, -8048, 1840
1589657955949, 39547, 1120, -7440, 1904
1589657955960, 39558, 192, -7520, 2160
1589657955970, 39569, 160, -8048, 2992
1589657955982, 39580, -192, -8848, 3872
1589657955993, 39591, -816, -10720, 4672
1589657956004, 39602, -1568, -12048, 5568
1589657956015, 39613, -1968, -13088, 6848
1589657956026, 39624, -2096, -13120, 7904
1589657956037, 39635, -2768, -12800, 9104
1589657956048, 39646, -2640, -12208, 11184
1589657956059, 39657, -1120, -11344, 13024
1589657956070, 39668, 48, -10496, 15328
1589657956081, 39679, 1216, -10336, 16704
1589657956092, 39690, 2640, -10304, 17968
1589657956103, 39701, 4448, -10064, 18080
1589657956114, 39712, 7552, -9456, 17072
1589657956124, 39723, 9552, -8512, 15776
1589657956136, 39734, 10960, -7632, 14960
1589657956147, 39745, 11104, -7472, 14480
1589657956158, 39756, 11408, -8032, 14512
1589657956169, 39767, 11520, -8384, 14464
1589657956180, 39778, 12528, -8528, 13952
1589657956191, 39789, 14048, -8544, 12704
1589657956202, 39800, 15568, -8432, 11664
1589657956213, 39811, 17264, -8256, 10544
1589657956224, 39822, 17920, -8080, 10160
1589657956235, 39833, 18432, -8096, 10288
1589657956245, 39844, 18432, -8176, 10368
1589657956257, 39855, 18256, -8176, 10272
1589657956267, 39866, 18304, -8176, 9760
1589657956278, 39877, 18368, -8256, 9120
1589657956289, 39888, 18416, -8672, 8384
1589657956300, 39899, 18272, -9104, 7920
1589657956311, 39910, 17760, -9520, 7600
1589657956322, 39921, 17392, -9952, 7360
1589657956333, 39932, 17136, -10288, 7552
1589657956344, 39943, 16992, -10256, 7392
1589657956355, 39954, 16752, -9856, 7312
1589657956366, 39965, 16816, -9056, 7472
1589657956377, 39976, 17408, -8752, 7888
1589657956388, 39987, 17408, -8832, 8656
1589657956399, 39998, 17280, -9168, 9680
1589657956410, 40009, 17200, -9824, 10432
1589657956421, 40020, 17984, -10400, 10720
1589657956432, 40031, 19040, -10896, 10128
1589657956443, 40042, 19728, -10896, 9184
1589657956454, 40053, 20192, -10944, 7920
1589657956465, 40064, 20304, -10992, 7328
1589657956476, 40075, 20384, -10784, 6576
1589657956487, 40086, 20320, -10016, 6208
1589657956498, 40097, 20000, -9616, 6080
1589657956509, 40108, 20448, -9648, 6496
1589657956520, 40119, 20784, -9744, 6160
1589657956531, 40130, 21296, -9696, 5840
1589657956542, 40141, 21520, -9888, 5216
1589657956553, 40152, 20768, -10128, 4960
1589657956565, 40163, 20032, -9984, 4400
1589657956576, 40174, 20240, -10416, 3840
1589657956587, 40185, 20304, -10048, 3408
1589657956598, 40196, 18896, -9568, 2800
1589657956609, 40207, 18688, -9040, 2352
1589657956620, 40218, 16656, -9296, 2592
1589657956631, 40229, 16752, -11104, 3136
