Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589658052902, 136501, 4224, -6576, 720
1589658052913, 136512, 4272, -6592, 816
1589658052924, 136523, 4240, -6560, 816
1589658052935, 136534, 4224, -6544, 896
1589658052946, 136545, 4224, -6544, 928
1589658052957, 136556, 4208, -6528, 864
1589658052968, 136567, 4192, -6528, 944
1589658052979, 136578, 4176, -6528, 832
1589658052990, 136589, 4192, -6544, 832
1589658053001, 136600, 4128, -6576, 640
1589658053012, 136611, 4208, -6576, 736
1589658053023, 136622, 4112, -6608, 736
1589658053034, 136633, 4032, -6624, 736
1589658053045, 136644, 4128, -6688, 848
1589658053056, 136655, 4128, -6672, 880
1589658053067, 136666, 4096, -6656, 896
1589658053078, 136677, 4160, -6608, 1024
1589658053089, 136688, 4112, -6640, 992
1589658053100, 136699, 4192, -6640, 1088
1589658053111, 136710, 4224, -6592, 1008
1589658053122, 136721, 4208, -6576, 992
1589658053132, 136732, 4240, -6592, 992
1589658053144, 136743, 4208, -6672, 1040
1589658053155, 136754, 4160, -6720, 976
1589658053166, 136765, 4160, -6720, 1008
1589658053176, 136776, 4096, -6912, 976
1589658053188, 136787, 4224, -7104, 1024
1589658053199, 136798, 3936, -7088, 1072
1589658053210, 136809, 3856, -7120, 1072
1589658053220, 136820, 4064, -7328, 848
1589658053232, 136831, 4112, -7648, 800
1589658053242, 136842, 4048, -7952, 752
1589658053253, 136853, 4032, -8208, 656
1589658053264, 136864, 4192, -8272, 576
1589658053275, 136875, 4720, -8512, 800
1589658053286, 136886, 5264, -8864, 1104
1589658053298, 136897, 6000, -9760, 1632
1589658053308, 136908, 6528, -10672, 1696
1589658053319, 136919, 7216, -11888, 1648
1589658053331, 136930, 7440, -12368, 1520
1589658053341, 136941, 9152, -12432, 1008
1589658053352, 136952, 9392, -11904, 96
1589658053364, 136963, 11200, -11360, -560
1589658053375, 136974, 11888, -10816, -1296
1589658053386, 136985, 12128, -9936, -2112
1589658053397, 136996, 11344, -8288, -2736
1589658053408, 137007, 10464, -7568, -3504
1589658053419, 137018, 10800, -7040, -3296
1589658053429, 137029, 11968, -6896, -2288
1589658053441, 137040, 11632, -6912, -720
1589658053451, 137051, 11552, -7632, 544
1589658053462, 137062, 11056, -8496, 1104
1589658053473, 137073, 10816, -9392, 1904
1589658053484, 137084, 10320, -9472, 2832
1589658053495, 137095, 9712, -9440, 3920
1589658053506, 137106, 9696, -9088, 4928
1589658053517, 137117, 9232, -8912, 5712
1589658053528, 137128, 8624, -8976, 5824
1589658053539, 137139, 7968, -9472, 5200
1589658053550, 137150, 7632, -9776, 4768
1589658053561, 137161, 6496, -10016, 4112
1589658053572, 137172, 6400, -10480, 3600
1589658053583, 137183, 6336, -10816, 3328
1589658053594, 137194, 5984, -11392, 3184
1589658053605, 137205, 6064, -11600, 3568
1589658053616, 137216, 6576, -11488, 4368
1589658053627, 137227, 6576, -11568, 5216
1589658053639, 137238, 6496, -12176, 6176
1589658053650, 137249, 6480, -12432, 6944
1589658053661, 137260, 6688, -12432, 7408
1589658053672, 137271, 6688, -12352, 7984
1589658053683, 137282, 7088, -12016, 8144
1589658053694, 137293, 7808, -11376, 8384
1589658053705, 137304, 7808, -11072, 8720
1589658053716, 137315, 7248, -10512, 8912
1589658053727, 137326, 6640, -9968, 8784
1589658053738, 137337, 6192, -9296, 8208
1589658053749, 137348, 6544, -9344, 7568
1589658053760, 137359, 7088, -9584, 7120
1589658053771, 137370, 7200, -8912, 7424
1589658053782, 137381, 6848, -8672, 9280
1589658053793, 137392, 6768, -9008, 12352
1589658053804, 137403, 5696, -9312, 14720
1589658053815, 137414, 4048, -10624, 16496
1589658053826, 137425, 4704, -11104, 17008
1589658053837, 137436, 5552, -8864, 17568
1589658053848, 137447, 6272, -6736, 17584
1589658053859, 137458, 7408, -1504, 16736
1589658053870, 137469, 7360, 1728, 15840
1589658053881, 137480, 7552, 2944, 15488
1589658053891, 137491, 7792, 2848, 15264
1589658053903, 137502, 8928, 3760, 16240
1589658053914, 137513, 8800, 5856, 18224
1589658053925, 137524, 6752, 7344, 19248
1589658053936, 137535, 5232, 7648, 18352
1589658053947, 137546, 3648, 6896, 16784
1589658053958, 137557, 2640, 6192, 14432
1589658053969, 137568, 1920, 5920, 12768
1589658053980, 137579, 1200, 4704, 12048
1589658053990, 137590, 960, 4736, 11744
1589658054002, 137601, -704, 5424, 11808
1589658054013, 137612, -688, 7152, 11696
1589658054023, 137623, -960, 8192, 10928
1589658054035, 137634, -1328, 8352, 10176
1589658054046, 137645, -1904, 8112, 9936
1589658054056, 137656, -2064, 7872, 9248
1589658054067, 137667, -2224, 7664, 8768
1589658054078, 137678, -2512, 6896, 8896
1589658054090, 137689, -2544, 6144, 9104
1589658054101, 137700, -2464, 6256, 8672
1589658054112, 137711, -2352, 6560, 7936
1589658054123, 137722, -752, 6080, 7360
1589658054133, 137733, 208, 5488, 7568
1589658054144, 137744, 928, 5280, 7920
1589658054156, 137755, 1024, 4576, 8896
1589658054166, 137766, 336, 3696, 9920
1589658054177, 137777, 112, 2448, 10800
1589658054188, 137788, 208, 1856, 10560
1589658054199, 137799, 224, 2576, 9920
1589658054210, 137810, 304, 2880, 9024
1589658054222, 137821, 1152, 3328, 8896
1589658054232, 137832, 1344, 3264, 9552
1589658054244, 137843, 2672, 3664, 10240
1589658054255, 137854, 4000, 3568, 11536
1589658054266, 137865, 5408, 3824, 12608
1589658054277, 137876, 7232, 4160, 14240
1589658054287, 137887, 8416, 2960, 15472
1589658054298, 137898, 9424, 1472, 17376
1589658054310, 137909, 10480, 64, 19216
1589658054320, 137920, 10896, 16, 20160
1589658054332, 137931, 11120, 736, 20272
1589658054343, 137942, 12752, 1600, 20400
1589658054354, 137953, 13392, 3040, 20656
1589658054364, 137964, 13296, 2752, 21136
1589658054376, 137975, 13200, 2000, 20768
1589658054386, 137986, 12640, 992, 20784
1589658054398, 137997, 12640, -1024, 22272
1589658054409, 138008, 13008, -2688, 23376
1589658054420, 138019, 13376, -4368, 24384
1589658054431, 138030, 13632, -5664, 24944
1589658054442, 138041, 15456, -7216, 25376
1589658054453, 138052, 15632, -7984, 25248
1589658054464, 138063, 17952, -9984, 24976
1589658054475, 138074, 20208, -12480, 25088
1589658054486, 138085, 22528, -16288, 24240
1589658054497, 138096, 24608, -18208, 24032
1589658054508, 138107, 26880, -19456, 23120
1589658054519, 138118, 30928, -22592, 19952
1589658054530, 138129, 32592, -27936, 16480
1589658054541, 138140, 32640, -32336, 12896
1589658054552, 138151, 32640, -32624, 10352
1589658054563, 138162, 32640, -32624, 7248
1589658054574, 138173, 32640, -32624, 3248
1589658054585, 138184, 32640, -32624, -2528
1589658054596, 138195, 32640, -32624, -6656
1589658054607, 138206, 32640, -32624, -7296
1589658054618, 138217, 27200, -32624, -4448
1589658054629, 138228, 16304, -32624, -992
1589658054640, 138239, 6624, -32624, 2240
1589658054651, 138250, 5776, -32352, 5984
1589658054662, 138261, 11536, -27760, 8464
1589658054673, 138272, 11888, -22576, 3376
1589658054684, 138283, 14816, -18992, 1200
1589658054695, 138294, 13376, -15968, -192
1589658054706, 138305, 13024, -14752, -288
1589658054717, 138316, 13296, -14240, -432
1589658054728, 138327, 12512, -15456, -992
1589658054739, 138338, 11936, -17696, -2528
1589658054750, 138349, 12032, -18848, -2832
1589658054761, 138360, 10960, -18912, -2752
1589658054772, 138371, 10784, -17904, -2432
1589658054783, 138382, 9952, -16880, -2528
1589658054794, 138393, 9264, -15040, -1600
1589658054805, 138404, 7600, -14400, 1488
1589658054816, 138415, 8080, -15760, 3088
1589658054827, 138426, 9456, -16736, 3648
1589658054837, 138437, 9984, -17872, 2448
1589658054848, 138448, 8704, -16928, 1392
1589658054860, 138459, 7872, -15344, -160
1589658054870, 138470, 7840, -14544, -528
1589658054881, 138481, 6464, -14704, -288
1589658054892, 138492, 5968, -16016, 464
1589658054904, 138503, 6256, -16912, 1328
1589658054914, 138514, 6112, -17328, 1776
1589658054925, 138525, 5632, -16624, 1744
1589658054937, 138536, 4784, -14816, 1520
1589658054947, 138547, 5088, -14448, 704
1589658054958, 138558, 6096, -14576, -832
1589658054970, 138569, 6464, -13696, -1728
1589658054980, 138580, 5584, -12592, -2096
1589658054991, 138591, 5392, -11584, -1840
1589658055003, 138602, 4336, -11440, -1344
1589658055013, 138613, 3760, -11984, -784
1589658055024, 138624, 3600, -12544, -560
1589658055035, 138635, 4048, -13328, -1008
1589658055046, 138646, 4448, -13008, -1312
1589658055057, 138657, 4288, -11888, -1888
1589658055068, 138668, 4064, -10704, -2128
1589658055079, 138679, 3936, -10000, -1648
1589658055090, 138690, 3968, -9408, -1168
1589658055101, 138701, 3200, -9344, -832
1589658055112, 138712, 3008, -9744, -416
1589658055123, 138723, 3680, -9872, -160
1589658055135, 138734, 3408, -9296, 160
1589658055146, 138745, 3552, -8816, 480
1589658055157, 138756, 4544, -8144, 144
1589658055168, 138767, 4336, -7408, 352
1589658055179, 138778, 4192, -7072, 592
1589658055190, 138789, 4160, -7456, 880
1589658055201, 138800, 3936, -8080, 896
1589658055212, 138811, 3856, -8048, 848
1589658055223, 138822, 3408, -7904, 912
1589658055234, 138833, 3408, -7584, 1072
1589658055245, 138844, 3456, -7184, 1248
1589658055256, 138855, 3952, -6880, 1280
1589658055267, 138866, 4480, -6160, 1216
1589658055278, 138877, 4000, -5456, 1456
1589658055289, 138888, 3872, -5248, 2016
1589658055300, 138899, 4112, -5392, 2576
1589658055311, 138910, 4032, -5840, 2896
1589658055322, 138921, 4128, -6480, 3024
1589658055333, 138932, 4160, -7264, 3104
1589658055344, 138943, 3472, -6912, 3120
1589658055355, 138954, 2768, -6592, 2896
1589658055366, 138965, 2848, -6800, 2848
1589658055377, 138976, 2944, -6880, 2896
1589658055388, 138987, 2656, -6752, 2928
1589658055399, 138998, 2448, -6800, 2912
1589658055410, 139009, 2400, -6864, 3152
1589658055421, 139020, 2864, -6912, 3232
1589658055432, 139031, 2928, -6896, 3424
1589658055443, 139042, 2752, -6448, 3456
1589658055454, 139053, 2480, -6192, 3904
1589658055465, 139064, 2672, -6272, 4112
1589658055476, 139075, 2864, -6352, 4256
1589658055487, 139086, 2896, -6512, 4144
1589658055498, 139097, 2592, -6416, 3984
1589658055509, 139108, 2432, -6464, 3856
1589658055520, 139119, 2368, -6672, 3440
1589658055531, 139130, 2400, -6656, 3328
1589658055542, 139141, 2160, -6688, 3168
1589658055553, 139152, 2096, -6784, 3152
1589658055564, 139163, 1888, -6992, 3040
1589658055575, 139174, 1696, -7056, 2992
1589658055586, 139185, 1888, -7264, 2944
1589658055597, 139196, 2448, -7248, 2688
1589658055608, 139207, 2288, -7440, 3040
1589658055619, 139218, 2416, -7600, 2960
