Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589657977222, 60821, 3888, -6928, 1952
1589657977233, 60832, 4016, -6816, 1776
1589657977244, 60843, 3984, -6800, 1776
1589657977255, 60854, 4160, -7008, 1728
1589657977266, 60865, 4208, -7040, 1680
1589657977277, 60876, 4112, -7024, 1680
1589657977288, 60887, 4016, -7072, 1600
1589657977299, 60898, 3936, -7024, 1616
1589657977310, 60909, 3568, -6944, 1568
1589657977321, 60920, 3488, -6880, 1456
1589657977332, 60931, 3376, -6704, 1456
1589657977343, 60942, 3456, -6640, 1280
1589657977354, 60953, 3600, -6608, 1216
1589657977365, 60964, 3712, -6576, 1184
1589657977376, 60975, 3904, -6544, 1088
1589657977387, 60986, 3856, -6480, 1088
1589657977398, 60997, 4016, -6496, 1168
1589657977409, 61008, 4128, -6560, 1312
1589657977420, 61019, 4160, -6656, 1456
1589657977431, 61030, 4192, -6880, 1840
1589657977442, 61041, 4432, -7136, 1984
1589657977453, 61052, 4544, -7392, 2112
1589657977464, 61063, 4512, -7536, 2368
1589657977475, 61074, 4960, -7664, 2496
1589657977486, 61085, 5024, -7920, 2704
1589657977497, 61096, 6000, -8208, 2752
1589657977508, 61107, 6592, -8448, 2528
1589657977519, 61118, 7168, -8784, 2336
1589657977530, 61129, 7808, -9232, 2416
1589657977541, 61140, 8032, -9360, 2176
1589657977553, 61151, 8192, -9360, 2256
1589657977564, 61162, 8256, -9360, 2240
1589657977575, 61173, 8288, -9040, 2192
1589657977586, 61184, 8192, -8848, 2304
1589657977597, 61195, 8608, -8848, 2384
1589657977608, 61206, 8656, -8656, 2352
1589657977619, 61217, 8688, -8480, 2192
1589657977630, 61228, 8448, -8064, 1984
1589657977641, 61239, 8016, -7632, 1760
1589657977652, 61250, 7536, -7216, 1568
1589657977663, 61261, 7248, -7056, 1280
1589657977674, 61272, 7008, -6768, 1248
1589657977685, 61283, 6880, -6608, 976
1589657977696, 61294, 6800, -6432, 848
1589657977707, 61305, 6752, -6112, 864
1589657977718, 61316, 7152, -5824, 944
1589657977728, 61327, 7472, -5312, 848
1589657977740, 61338, 7888, -5072, 912
1589657977750, 61349, 8384, -4864, 784
1589657977761, 61360, 8752, -4880, 816
1589657977772, 61371, 8816, -4848, 784
1589657977783, 61382, 9152, -4864, 784
1589657977794, 61393, 9472, -4784, 688
1589657977806, 61404, 9504, -4960, 800
1589657977817, 61415, 10672, -5328, 1008
1589657977828, 61426, 10816, -5920, 1424
1589657977839, 61437, 12080, -6448, 1952
1589657977850, 61448, 12544, -7200, 2896
1589657977861, 61459, 13120, -8032, 3632
1589657977872, 61470, 14272, -8496, 4528
1589657977883, 61481, 14800, -8768, 4864
1589657977894, 61492, 15296, -8912, 5104
1589657977905, 61503, 15392, -8992, 4912
1589657977916, 61514, 16720, -9200, 4768
1589657977927, 61525, 16880, -9312, 4624
1589657977938, 61536, 18256, -9248, 4432
1589657977949, 61547, 19760, -9008, 4272
1589657977960, 61558, 20528, -8368, 4544
1589657977971, 61569, 21888, -7888, 5184
1589657977981, 61580, 23248, -7760, 5888
1589657977993, 61591, 23520, -7264, 6544
1589657978003, 61602, 23200, -6880, 6848
1589657978014, 61613, 22704, -6544, 6848
1589657978025, 61624, 22512, -6144, 6688
1589657978037, 61635, 21552, -6144, 6368
1589657978047, 61646, 21408, -6224, 5840
1589657978058, 61657, 20576, -6416, 5520
1589657978070, 61668, 19968, -6432, 5376
1589657978080, 61679, 19728, -6528, 5216
1589657978091, 61690, 19952, -6512, 5104
1589657978103, 61701, 19808, -6400, 5248
1589657978113, 61712, 19552, -6560, 5440
1589657978124, 61723, 19472, -6576, 5472
1589657978135, 61734, 18496, -6560, 5520
1589657978147, 61745, 18400, -6464, 5520
1589657978157, 61756, 17328, -6368, 5728
1589657978168, 61767, 15760, -6176, 6112
1589657978179, 61778, 14544, -6272, 6576
1589657978190, 61789, 12944, -6496, 7248
1589657978201, 61800, 11872, -6720, 7648
1589657978212, 61811, 10816, -7008, 8016
1589657978223, 61822, 10384, -6976, 8336
1589657978234, 61833, 9840, -6848, 8576
1589657978245, 61844, 9680, -5984, 8688
1589657978256, 61855, 8432, -5328, 8736
1589657978267, 61866, 8336, -4416, 8704
1589657978278, 61877, 7504, -4160, 8944
1589657978289, 61888, 7312, -4336, 9584
1589657978300, 61899, 7088, -4640, 10512
1589657978311, 61910, 6256, -4736, 11472
1589657978322, 61921, 5856, -4576, 12288
1589657978333, 61932, 6176, -4832, 13008
1589657978344, 61943, 6400, -5072, 13776
1589657978355, 61954, 6544, -5408, 14256
1589657978366, 61965, 6576, -5728, 14528
1589657978377, 61976, 6048, -5568, 14608
1589657978388, 61987, 6272, -5744, 14704
1589657978399, 61998, 6640, -6048, 14944
1589657978410, 62009, 6880, -6208, 15392
1589657978421, 62020, 6928, -6352, 16160
1589657978432, 62031, 6688, -6672, 17280
1589657978443, 62042, 6960, -6928, 18464
1589657978454, 62053, 7536, -7072, 19888
1589657978465, 62064, 7744, -7808, 20464
1589657978476, 62075, 10608, -7840, 20368
1589657978487, 62086, 11744, -7616, 19200
1589657978498, 62097, 12496, -7360, 18112
1589657978509, 62108, 13808, -7904, 16848
1589657978520, 62119, 14432, -8048, 15824
1589657978531, 62130, 15152, -10288, 14480
1589657978542, 62141, 15968, -13008, 12864
1589657978553, 62152, 16416, -15440, 11152
1589657978564, 62163, 16336, -18352, 9776
1589657978575, 62174, 18016, -21248, 8656
1589657978586, 62185, 18816, -22240, 8112
1589657978597, 62196, 18576, -22528, 7984
1589657978608, 62207, 19792, -23328, 8560
1589657978619, 62218, 21408, -24448, 8912
1589657978630, 62229, 24832, -26064, 9408
1589657978641, 62240, 27472, -26240, 8880
1589657978653, 62251, 29024, -25984, 7920
1589657978664, 62262, 29104, -26192, 6864
1589657978675, 62273, 29856, -27648, 5632
1589657978686, 62284, 30240, -29424, 4720
1589657978697, 62295, 32576, -30192, 4224
1589657978708, 62306, 32640, -30480, 3824
1589657978719, 62317, 32640, -30496, 3584
1589657978730, 62328, 32640, -32352, 3872
1589657978741, 62339, 32640, -32608, 4288
1589657978752, 62350, 32640, -32592, 4576
1589657978763, 62361, 32640, -31712, 4640
1589657978774, 62372, 32640, -30816, 5360
1589657978785, 62383, 32640, -29680, 6112
1589657978796, 62394, 32640, -28752, 6576
1589657978807, 62405, 32640, -28240, 7152
