Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589658200609, 284209, -5728, -5248, -576
1589658200620, 284220, -5760, -5216, -560
1589658200631, 284231, -5808, -5200, -496
1589658200642, 284242, -5728, -5264, -464
1589658200653, 284253, -5696, -5296, -464
1589658200664, 284264, -5600, -5360, -560
1589658200675, 284275, -5728, -5312, -624
1589658200686, 284286, -5840, -5360, -640
1589658200697, 284297, -5872, -5552, -544
1589658200708, 284308, -5808, -5552, -528
1589658200719, 284319, -5792, -5632, -480
1589658200730, 284330, -5744, -5504, -624
1589658200741, 284341, -5744, -5488, -496
1589658200752, 284352, -5696, -5456, -608
1589658200763, 284363, -5728, -5472, -608
1589658200774, 284374, -5696, -5568, -560
1589658200785, 284385, -5792, -5648, -480
1589658200796, 284396, -5792, -5616, -368
1589658200806, 284407, -5744, -5552, -336
1589658200817, 284418, -5696, -5552, -480
1589658200829, 284429, -5712, -5584, -496
1589658200839, 284440, -5728, -5648, -432
1589658200850, 284451, -5792, -5904, -592
1589658200862, 284462, -5968, -5968, -704
1589658200873, 284473, -6144, -5984, -768
1589658200883, 284484, -5904, -6048, -848
1589658200894, 284495, -5760, -5984, -912
1589658200906, 284506, -5792, -5904, -1024
1589658200917, 284517, -5840, -5776, -1040
1589658200927, 284528, -5744, -5728, -960
1589658200938, 284539, -5744, -5728, -608
1589658200949, 284550, -5808, -5680, -704
1589658200961, 284561, -5712, -5600, -736
1589658200971, 284572, -5696, -5552, -752
1589658200982, 284583, -5568, -5392, -1072
1589658200993, 284594, -5648, -5440, -1312
1589658201005, 284605, -5680, -5504, -1392
1589658201015, 284616, -5776, -5664, -1296
1589658201026, 284627, -5808, -5760, -1200
1589658201037, 284638, -5712, -5712, -1136
1589658201049, 284649, -5568, -5408, -1264
1589658201059, 284660, -5536, -5216, -1328
1589658201070, 284671, -5504, -5040, -1408
1589658201082, 284682, -5504, -5088, -1392
1589658201092, 284693, -5600, -5184, -1184
1589658201103, 284704, -5696, -5216, -1120
1589658201114, 284715, -5680, -5184, -1072
1589658201125, 284726, -5600, -5104, -1232
1589658201136, 284737, -5504, -5056, -1424
1589658201147, 284748, -5600, -5008, -1296
1589658201158, 284759, -5616, -5040, -1344
1589658201169, 284770, -5664, -5024, -1072
1589658201180, 284781, -5744, -4992, -1008
1589658201191, 284792, -5696, -4864, -848
1589658201202, 284803, -5456, -4688, -880
1589658201213, 284814, -5376, -4624, -1024
1589658201224, 284825, -5376, -4640, -1072
1589658201235, 284836, -5568, -4768, -1008
1589658201246, 284847, -5712, -4960, -944
1589658201257, 284858, -5744, -4864, -1136
1589658201268, 284869, -5712, -4832, -1008
1589658201279, 284880, -5568, -4848, -992
1589658201290, 284891, -5472, -4752, -928
1589658201301, 284902, -5392, -4736, -848
1589658201312, 284913, -5312, -4608, -864
1589658201323, 284924, -5488, -4608, -720
1589658201334, 284935, -5616, -4704, -464
1589658201345, 284946, -5616, -4704, -240
1589658201356, 284957, -5344, -4688, -256
1589658201367, 284968, -5312, -4576, -512
1589658201378, 284979, -5216, -4416, -640
1589658201389, 284990, -5120, -4352, -768
1589658201400, 285001, -5264, -4416, -720
1589658201411, 285012, -5312, -4432, -592
1589658201422, 285023, -5456, -4544, -400
1589658201433, 285034, -5440, -4656, -192
1589658201444, 285045, -5392, -4752, -112
1589658201455, 285056, -5088, -4736, -336
1589658201466, 285067, -4960, -4608, -544
1589658201477, 285078, -4864, -4576, -864
1589658201488, 285089, -4752, -4688, -576
1589658201499, 285100, -4864, -4736, -256
1589658201510, 285111, -4896, -4784, 64
1589658201521, 285122, -4976, -4816, 384
1589658201532, 285133, -5008, -4832, 816
1589658201543, 285144, -4736, -4832, 816
1589658201554, 285155, -4464, -4624, 608
1589658201565, 285166, -4480, -4464, 544
1589658201576, 285177, -4496, -4560, 528
1589658201587, 285188, -4496, -4720, 576
1589658201598, 285199, -4496, -4880, 560
1589658201609, 285210, -4496, -4896, 800
1589658201620, 285221, -4544, -4720, 896
1589658201631, 285232, -4432, -4624, 768
1589658201642, 285243, -3968, -4560, 640
1589658201653, 285254, -3824, -4448, 608
1589658201665, 285265, -3904, -4480, 768
1589658201676, 285276, -3872, -4736, 1072
1589658201687, 285287, -3792, -4864, 1344
1589658201698, 285298, -3968, -4624, 1456
1589658201709, 285309, -3808, -4640, 1376
1589658201720, 285320, -3504, -4768, 1312
1589658201731, 285331, -3344, -4960, 1296
1589658201742, 285342, -3360, -5072, 1328
1589658201753, 285353, -3312, -5280, 1536
1589658201764, 285364, -3728, -5504, 1760
1589658201775, 285375, -3776, -5632, 1904
1589658201786, 285386, -3664, -5760, 2048
1589658201797, 285397, -3344, -5792, 2192
1589658201808, 285408, -3248, -5792, 1952
1589658201819, 285419, -3280, -5792, 2032
1589658201830, 285430, -3184, -5856, 2016
1589658201841, 285441, -3136, -6064, 2064
1589658201852, 285452, -3024, -6144, 2128
1589658201863, 285463, -2880, -6064, 1888
1589658201874, 285474, -2672, -6096, 1632
1589658201885, 285485, -2624, -6288, 1424
1589658201896, 285496, -2496, -6608, 1312
1589658201907, 285507, -2560, -6832, 1280
1589658201917, 285518, -2736, -7104, 1424
1589658201928, 285529, -2848, -7248, 1904
1589658201939, 285540, -2880, -7376, 2240
1589658201951, 285551, -2880, -7616, 2544
1589658201961, 285562, -2608, -7728, 2800
