Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589658006262, 89861, 3904, -5088, 5008
1589658006273, 89872, 3888, -5040, 5040
1589658006284, 89883, 3904, -5200, 5104
1589658006295, 89894, 3888, -5312, 5152
1589658006306, 89905, 3808, -5248, 5104
1589658006317, 89916, 3840, -5232, 5088
1589658006328, 89927, 3824, -5168, 5120
1589658006339, 89938, 3824, -5088, 5120
1589658006350, 89949, 3872, -5104, 5168
1589658006361, 89960, 4000, -5072, 5184
1589658006372, 89971, 3968, -5072, 5312
1589658006383, 89982, 4000, -5120, 5312
1589658006394, 89993, 4112, -5056, 5264
1589658006405, 90004, 4160, -5008, 5232
1589658006416, 90015, 4048, -4912, 5120
1589658006427, 90026, 4000, -4928, 5072
1589658006438, 90037, 3904, -4992, 5008
1589658006449, 90048, 3808, -5008, 4944
1589658006460, 90059, 3792, -5072, 4880
1589658006471, 90070, 3680, -5040, 4752
1589658006482, 90081, 3616, -5056, 4832
1589658006493, 90092, 3664, -5072, 4816
1589658006504, 90103, 3664, -5056, 4736
1589658006515, 90114, 3696, -4992, 4768
1589658006526, 90125, 3632, -4896, 4752
1589658006537, 90136, 3744, -4928, 4704
1589658006548, 90147, 3760, -4976, 4640
1589658006559, 90158, 3808, -4896, 4544
1589658006570, 90169, 3776, -4880, 4400
1589658006581, 90180, 3792, -4944, 4512
1589658006592, 90191, 3872, -4992, 4624
1589658006603, 90202, 3776, -5072, 4704
1589658006614, 90213, 3536, -4960, 4720
1589658006625, 90224, 3328, -4608, 4656
1589658006636, 90235, 3440, -4640, 4544
1589658006647, 90246, 3760, -4624, 4336
1589658006658, 90257, 4032, -4704, 4176
1589658006669, 90268, 4240, -4800, 3664
1589658006680, 90279, 4368, -4896, 3536
1589658006691, 90290, 4512, -4944, 3152
1589658006703, 90301, 4512, -4848, 2848
1589658006713, 90312, 4368, -4736, 2672
1589658006724, 90323, 4384, -4624, 2464
1589658006736, 90334, 4272, -4656, 2480
1589658006746, 90345, 4448, -4752, 2576
1589658006757, 90356, 4688, -4864, 2624
1589658006768, 90367, 4848, -4928, 2864
1589658006779, 90378, 4976, -4944, 2784
1589658006790, 90389, 5008, -4992, 2928
1589658006801, 90400, 5040, -4880, 2976
1589658006812, 90411, 4960, -4784, 3072
1589658006823, 90422, 4992, -4720, 3088
1589658006834, 90433, 4752, -4640, 3120
1589658006845, 90444, 4896, -4608, 2784
1589658006856, 90455, 4944, -4400, 2368
1589658006867, 90466, 4640, -4400, 2160
1589658006878, 90477, 4880, -4864, 2064
1589658006889, 90488, 5184, -5296, 2272
1589658006900, 90499, 5488, -5680, 1872
1589658006911, 90510, 5728, -6080, 1696
1589658006922, 90521, 5744, -6256, 1424
1589658006933, 90532, 6496, -6192, 1552
1589658006944, 90543, 6384, -5856, 672
1589658006955, 90554, 7488, -5056, -592
1589658006966, 90565, 7728, -4144, -2176
1589658006977, 90576, 7904, -4112, -2656
1589658006988, 90587, 7888, -4720, -2544
1589658006999, 90598, 8592, -5568, -2048
1589658007010, 90609, 9840, -7200, -1712
1589658007021, 90620, 10112, -7776, -1808
1589658007032, 90631, 11520, -7312, -2464
1589658007043, 90642, 11488, -6704, -3904
1589658007054, 90653, 12608, -6704, -4640
1589658007065, 90664, 14400, -7136, -5072
1589658007077, 90675, 15040, -7040, -5520
1589658007087, 90686, 14864, -6352, -6128
1589658007098, 90697, 15344, -6016, -6320
1589658007110, 90708, 16016, -5984, -6144
1589658007120, 90719, 17104, -6816, -6208
1589658007131, 90730, 18048, -7600, -6464
1589658007143, 90741, 18128, -8160, -6720
1589658007153, 90752, 17808, -8176, -7360
1589658007164, 90763, 17712, -8304, -7856
1589658007176, 90774, 19056, -8384, -7872
1589658007186, 90785, 19744, -9536, -7520
1589658007197, 90796, 19648, -9792, -6752
1589658007209, 90807, 20224, -10064, -6784
1589658007219, 90818, 21168, -10352, -6384
1589658007230, 90829, 21904, -10496, -5904
1589658007241, 90840, 21888, -10640, -5520
1589658007252, 90851, 22320, -10624, -5072
1589658007263, 90862, 22320, -10544, -4400
1589658007275, 90873, 21504, -10048, -3616
1589658007285, 90884, 20704, -9744, -2448
1589658007296, 90895, 20432, -9744, -1376
1589658007307, 90906, 21056, -9872, -288
1589658007318, 90917, 21408, -9456, 16
1589658007329, 90928, 20368, -8544, 640
1589658007340, 90939, 19712, -8080, 1392
1589658007351, 90950, 19168, -7392, 1488
1589658007362, 90961, 18896, -5952, 976
1589658007373, 90972, 15616, -4544, 432
1589658007384, 90983, 15360, -3648, -16
1589658007395, 90994, 12256, -3376, 400
1589658007406, 91005, 10864, -3872, 1472
1589658007417, 91016, 10144, -4112, 2592
1589658007428, 91027, 9200, -4128, 3792
1589658007439, 91038, 8128, -3520, 4256
1589658007450, 91049, 6960, -2016, 4592
1589658007461, 91060, 6800, -1248, 4512
1589658007472, 91071, 5760, -848, 4592
1589658007483, 91082, 5664, -368, 5200
1589658007494, 91093, 4272, -560, 6384
1589658007505, 91104, 3776, -352, 7856
1589658007517, 91115, 3264, -416, 9040
1589658007527, 91126, 3152, -368, 10192
1589658007538, 91137, 3536, -352, 10384
1589658007549, 91148, 3856, 576, 10304
1589658007560, 91159, 3008, 1440, 10128
1589658007571, 91170, 2928, 1344, 10096
1589658007582, 91181, 2992, 848, 9776
1589658007593, 91192, 2928, 256, 9536
1589658007604, 91203, 2912, -320, 9152
1589658007615, 91214, 2320, -1072, 8992
1589658007626, 91225, 2240, -2000, 9296
1589658007637, 91236, 2384, -2272, 9200
1589658007648, 91247, 3376, -2416, 9136
1589658007659, 91258, 4416, -2112, 8464
1589658007670, 91269, 5216, -1536, 7760
1589658007681, 91280, 5408, -1136, 7264
1589658007692, 91291, 6288, -1104, 7088
1589658007703, 91302, 6496, -1424, 6720
1589658007714, 91313, 7456, -1808, 6560
1589658007725, 91324, 8480, -2528, 6320
1589658007736, 91335, 9808, -3136, 6016
1589658007747, 91346, 10944, -3664, 6208
1589658007758, 91357, 12160, -4640, 6624
1589658007769, 91368, 14736, -6032, 6848
1589658007780, 91379, 18640, -6928, 7072
1589658007791, 91390, 21168, -7440, 7040
1589658007802, 91401, 21776, -7104, 6928
1589658007813, 91412, 25424, -7408, 6512
1589658007824, 91423, 27232, -7520, 6176
1589658007835, 91434, 28864, -8560, 7152
1589658007846, 91445, 32144, -11264, 7712
1589658007857, 91456, 32624, -13216, 8368
1589658007868, 91467, 32640, -13776, 9584
1589658007879, 91478, 32640, -13728, 10368
1589658007890, 91489, 32640, -14128, 11200
1589658007901, 91500, 32640, -15248, 12560
1589658007912, 91511, 32640, -15792, 13776
1589658007923, 91522, 32640, -17888, 15408
1589658007934, 91533, 32640, -19008, 16832
1589658007945, 91544, 32640, -20240, 19008
1589658007956, 91555, 32640, -20112, 19952
1589658007967, 91566, 32640, -19552, 20768
1589658007978, 91577, 32640, -20256, 21184
1589658007989, 91588, 32640, -20944, 21408
1589658008000, 91599, 32640, -20752, 21680
1589658008011, 91610, 32640, -19408, 21088
1589658008022, 91621, 32640, -16704, 20544
1589658008033, 91632, 32640, -14304, 19856
1589658008044, 91643, 32640, -13168, 18736
1589658008055, 91654, 32640, -13120, 17360
1589658008066, 91665, 32640, -12176, 15120
1589658008077, 91676, 32640, -11072, 13520
1589658008088, 91687, 32640, -9600, 11824
1589658008099, 91698, 30688, -8480, 10672
1589658008110, 91709, 28256, -7696, 9824
1589658008121, 91720, 27632, -6880, 9152
1589658008132, 91731, 23904, -6672, 8144
1589658008143, 91742, 23520, -5696, 6544
1589658008154, 91753, 20032, -4848, 5056
1589658008165, 91764, 17824, -3440, 3456
1589658008176, 91775, 16320, -2320, 2304
1589658008187, 91786, 14128, -1008, 912
1589658008198, 91797, 11952, -208, -256
1589658008209, 91808, 10304, 224, -1120
1589658008220, 91819, 9904, 480, -1968
1589658008231, 91830, 8000, 224, -1696
1589658008242, 91841, 7888, -480, -1824
1589658008253, 91852, 6208, -816, -2192
1589658008263, 91863, 4160, -816, -2800
1589658008275, 91874, 2928, -944, -3248
1589658008286, 91885, 2000, -512, -3712
1589658008297, 91896, 1456, 112, -3488
1589658008308, 91907, -64, 496, -3200
1589658008319, 91918, -1936, 224, -2384
1589658008330, 91929, -848, 1008, -3040
1589658008341, 91940, -640, 2448, -2496
1589658008352, 91951, -1792, 2208, -1680
1589658008363, 91962, -1680, 2784, -1152
1589658008374, 91973, -432, 2592, -800
1589658008385, 91984, -944, 2016, -64
1589658008396, 91995, -1872, 1520, 96
1589658008407, 92006, -3072, 896, -304
1589658008418, 92017, -3584, 384, -576
1589658008429, 92028, -4080, 64, -864
1589658008440, 92039, -4176, 176, -1424
1589658008451, 92050, -4544, 592, -1968
1589658008462, 92061, -4592, 1200, -2352
