Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589759046469, 349074, -992, -16, 8144
1589759046476, 349085, -1008, 32, 8208
1589759046486, 349096, -1056, 32, 8128
1589759046497, 349107, -1008, 48, 8176
1589759046512, 349118, -1024, 64, 8256
1589759046519, 349129, -1056, 64, 8224
1589759046531, 349140, -1056, 64, 8176
1589759046542, 349151, -1024, 64, 8144
1589759046556, 349162, -944, 112, 8112
1589759046564, 349173, -1088, 96, 8080
1589759046575, 349184, -1120, 160, 8144
1589759046585, 349195, -1072, 96, 8160
1589759046595, 349206, -1040, 48, 8144
1589759046608, 349217, -1088, 112, 8048
1589759046619, 349228, -992, 80, 8096
1589759046630, 349239, -1024, 32, 8112
1589759046640, 349250, -992, 16, 8160
1589759046653, 349261, -1040, 32, 8112
1589759046663, 349272, -1072, 0, 8112
1589759046673, 349283, -1040, 16, 8096
1589759046685, 349294, -976, -16, 8144
1589759046694, 349305, -992, 64, 8176
1589759046706, 349316, -1024, -16, 8192
1589759046718, 349327, -1088, 32, 8144
1589759046728, 349338, -1056, 48, 8176
1589759046740, 349349, -1120, 96, 8144
1589759046751, 349360, -1104, 80, 8144
1589759046761, 349371, -1120, 48, 8096
1589759046772, 349382, -1040, 80, 8128
1589759046782, 349393, -1136, 96, 8176
1589759046794, 349404, -1136, 48, 8208
1589759046807, 349415, -1168, 48, 8208
1589759046816, 349426, -1088, 64, 8192
1589759046828, 349437, -1104, 48, 8176
1589759046842, 349448, -1056, 32, 8080
1589759046850, 349459, -1216, 96, 8112
1589759046860, 349470, -1152, 48, 8064
1589759046874, 349481, -1152, 32, 8112
1589759046883, 349492, -1056, 16, 8112
1589759046894, 349503, -1040, 16, 8096
1589759046905, 349514, -976, 48, 8144
1589759046916, 349525, -1008, 32, 8096
1589759046926, 349536, -1056, -32, 8176
1589759046938, 349547, -1072, -80, 8112
1589759046950, 349558, -992, 0, 8096
1589759046959, 349569, -944, 0, 8256
1589759046971, 349580, -928, 0, 8144
1589759046982, 349591, -1024, 32, 8224
1589759046992, 349602, -1024, -16, 8080
1589759047004, 349613, -1056, 16, 8176
1589759047016, 349624, -1056, 64, 8176
1589759047026, 349635, -1088, 64, 8032
1589759047036, 349646, -1104, 48, 8176
1589759047048, 349657, -1056, 96, 8176
1589759047061, 349668, -1072, 48, 8192
1589759047070, 349679, -1120, 80, 8112
1589759047082, 349690, -1088, 48, 8128
1589759047094, 349701, -1088, 112, 8160
1589759047103, 349712, -1136, 96, 8144
1589759047113, 349723, -1120, 80, 8112
1589759047126, 349734, -1104, 16, 8176
1589759047134, 349745, -992, 16, 8128
1589759047145, 349756, -1040, 0, 8112
1589759047159, 349767, -976, 0, 8144
1589759047168, 349778, -1056, 0, 8176
1589759047178, 349789, -1040, 0, 8208
1589759047193, 349800, -1040, 16, 8192
1589759047201, 349811, -1104, 32, 8208
1589759047212, 349822, -1040, 16, 8160
1589759047225, 349833, -1024, 0, 8160
1589759047235, 349844, -1104, 0, 8144
1589759047245, 349855, -1056, 0, 8048
1589759047258, 349866, -1056, 32, 8176
1589759047268, 349877, -1120, 16, 8144
1589759047278, 349888, -1152, 48, 8144
1589759047289, 349899, -1200, -16, 8112
1589759047301, 349910, -1072, 48, 8096
1589759047311, 349921, -1120, 64, 8000
1589759047323, 349932, -1168, 16, 8096
1589759047334, 349943, -1056, 16, 8160
1589759047350, 349954, -1024, 32, 8240
1589759047356, 349965, -1024, 0, 8144
1589759047367, 349976, -1056, 0, 8176
1589759047381, 349987, -1056, 0, 8304
1589759047389, 349998, -1072, 32, 8192
1589759047400, 350009, -1072, 0, 8080
1589759047413, 350020, -1024, -16, 8288
1589759047422, 350031, -1056, 16, 8176
1589759047434, 350042, -1056, 32, 8144
1589759047446, 350053, -912, 16, 8176
1589759047455, 350064, -1056, 80, 8144
1589759047467, 350075, -1088, 32, 8096
1589759047479, 350086, -1136, 80, 8192
1589759047488, 350097, -1072, 64, 8160
1589759047500, 350108, -1056, 16, 8112
1589759047510, 350119, -1168, -48, 8160
1589759047519, 350130, -1056, 16, 8192
1589759047532, 350141, -1104, 80, 8192
1589759047545, 350152, -1056, 0, 8080
