Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589758752955, 55561, -2992, -1328, 7552
1589758752968, 55572, -2960, -1520, 7760
1589758752976, 55583, -2768, -1712, 7792
1589758752991, 55594, -2720, -1872, 7680
1589758752999, 55605, -2864, -1984, 7488
1589758753010, 55616, -2848, -2128, 7296
1589758753019, 55627, -2880, -2432, 7072
1589758753033, 55638, -2928, -3056, 6976
1589758753044, 55649, -2752, -3456, 7088
1589758753054, 55660, -2448, -3792, 7392
1589758753069, 55671, -1888, -4000, 7888
1589758753075, 55682, -1456, -4096, 8080
1589758753087, 55693, -1040, -4240, 8240
1589758753097, 55704, -688, -4496, 8160
1589758753108, 55715, -592, -4576, 8128
1589758753119, 55726, -864, -4592, 8080
1589758753130, 55737, -832, -4720, 8032
1589758753144, 55748, -304, -4912, 8048
1589758753153, 55759, 304, -5280, 8304
1589758753163, 55770, 432, -5744, 8704
1589758753176, 55781, 1680, -5776, 8992
1589758753186, 55792, 2416, -5920, 9088
1589758753196, 55803, 2640, -6304, 9008
1589758753210, 55814, 3888, -6752, 9136
1589758753218, 55825, 4656, -6784, 9648
1589758753229, 55836, 4864, -6560, 9760
1589758753242, 55847, 5584, -6288, 9744
1589758753252, 55858, 5968, -6000, 9632
1589758753262, 55869, 6160, -5904, 9872
1589758753276, 55880, 8032, -5872, 10144
1589758753284, 55891, 9312, -5392, 10896
1589758753295, 55902, 9792, -4576, 11296
1589758753308, 55913, 11040, -3408, 11280
1589758753319, 55924, 10656, -1328, 11200
1589758753329, 55935, 10576, 416, 11152
1589758753342, 55946, 10144, 1936, 11488
1589758753350, 55957, 9536, 3152, 11632
1589758753362, 55968, 9344, 3952, 11472
1589758753375, 55979, 9424, 5072, 11424
1589758753382, 55990, 9392, 6160, 10832
1589758753394, 56001, 9120, 7104, 10688
1589758753407, 56012, 8768, 7728, 10496
1589758753417, 56023, 8016, 8144, 10128
1589758753427, 56034, 8176, 8368, 10272
1589758753438, 56045, 8128, 8128, 10000
1589758753449, 56056, 8144, 7456, 9472
1589758753460, 56067, 8192, 7168, 8944
1589758753472, 56078, 8032, 7184, 8384
1589758753483, 56089, 8016, 7664, 8592
1589758753493, 56100, 7296, 8032, 8288
1589758753505, 56111, 6592, 8048, 7792
1589758753517, 56122, 6416, 8288, 7744
1589758753531, 56133, 5264, 8672, 8352
1589758753538, 56144, 4272, 9040, 7728
1589758753549, 56155, 3984, 9360, 7952
1589758753561, 56166, 2960, 9184, 7872
1589758753571, 56177, 2496, 8688, 7552
1589758753580, 56188, 2528, 8256, 7552
1589758753594, 56199, 2128, 8016, 7744
1589758753603, 56210, 2128, 8080, 8320
1589758753614, 56221, 2240, 8128, 8672
1589758753627, 56232, 2400, 8288, 8672
1589758753636, 56243, 2736, 8384, 8480
1589758753647, 56254, 2816, 8208, 8448
1589758753660, 56265, 3424, 8224, 8400
1589758753670, 56276, 3424, 7856, 8560
1589758753680, 56287, 3376, 7248, 8160
1589758753692, 56298, 3280, 6944, 7920
1589758753702, 56309, 3520, 6928, 7520
1589758753713, 56320, 3536, 7120, 7472
1589758753727, 56331, 3440, 7264, 7408
1589758753737, 56342, 3216, 7456, 7472
1589758753747, 56353, 2720, 7872, 7712
1589758753760, 56364, 2768, 8448, 8032
1589758753767, 56375, 3296, 9024, 8464
1589758753780, 56386, 3824, 8672, 8464
1589758753794, 56397, 4160, 8224, 8368
1589758753801, 56408, 4752, 7952, 8304
1589758753812, 56419, 5104, 7888, 8384
1589758753824, 56430, 5264, 7936, 8368
1589758753835, 56441, 5376, 8112, 8624
1589758753845, 56452, 5360, 8336, 8704
1589758753857, 56463, 5712, 9296, 9104
1589758753869, 56474, 7456, 10272, 9984
1589758753879, 56485, 9088, 11040, 10928
1589758753890, 56496, 11104, 10944, 11840
1589758753901, 56507, 12848, 10304, 12384
1589758753912, 56518, 13600, 10112, 12736
1589758753922, 56529, 14064, 10320, 13024
1589758753934, 56540, 14080, 11232, 12976
1589758753946, 56551, 12848, 12144, 13056
1589758753956, 56562, 12544, 13984, 13328
1589758753966, 56573, 12560, 16096, 14128
1589758753979, 56584, 14096, 16208, 13728
1589758753989, 56595, 14640, 16432, 12864
1589758754002, 56606, 14864, 16544, 12160
1589758754013, 56617, 19712, 15808, 12832
1589758754022, 56628, 23376, 12416, 16000
1589758754035, 56639, 24112, 8096, 18336
1589758754047, 56650, 26464, 3136, 19552
1589758754055, 56661, 24912, -2608, 19440
1589758754067, 56672, 24352, -6944, 17792
1589758754080, 56683, 21040, -8784, 16192
