Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589758923982, 226589, -7856, 304, -752
1589758923993, 226600, -7840, 256, -736
1589758924004, 226611, -7872, 320, -704
1589758924015, 226622, -7824, 352, -640
1589758924025, 226633, -7808, 352, -752
1589758924036, 226644, -7792, 352, -736
1589758924048, 226655, -7824, 368, -736
1589758924058, 226666, -7776, 368, -784
1589758924070, 226677, -7808, 368, -784
1589758924081, 226688, -7840, 384, -768
1589758924090, 226699, -7824, 432, -848
1589758924101, 226710, -7728, 368, -800
1589758924115, 226721, -7664, 432, -768
1589758924124, 226732, -7680, 464, -752
1589758924136, 226743, -7648, 512, -880
1589758924147, 226754, -7712, 464, -848
1589758924157, 226765, -7680, 448, -784
1589758924168, 226776, -7696, 544, -736
1589758924179, 226787, -7728, 512, -736
1589758924189, 226798, -7600, 592, -672
1589758924200, 226809, -7520, 592, -704
1589758924211, 226820, -7472, 656, -864
1589758924225, 226831, -7392, 864, -848
1589758924234, 226842, -7376, 1024, -720
1589758924245, 226853, -7312, 1152, -640
1589758924257, 226864, -7216, 1376, -560
1589758924267, 226875, -7088, 1488, -480
1589758924279, 226886, -6976, 1568, -448
1589758924291, 226897, -6752, 1648, -608
1589758924300, 226908, -6576, 1936, -432
1589758924311, 226919, -6544, 2064, -320
1589758924324, 226930, -6304, 2144, -320
1589758924333, 226941, -6224, 2144, -464
1589758924344, 226952, -6144, 2288, -560
1589758924356, 226963, -6064, 2704, -816
1589758924366, 226974, -6112, 2624, -1008
1589758924377, 226985, -6192, 2800, -1136
1589758924389, 226996, -6304, 3136, -1216
1589758924398, 227007, -6592, 3536, -1216
1589758924409, 227018, -6816, 3968, -1440
1589758924422, 227029, -6848, 4240, -1248
1589758924432, 227040, -7536, 4496, -1040
1589758924442, 227051, -7744, 4704, -688
1589758924455, 227062, -7888, 4880, -560
1589758924465, 227073, -8096, 4960, -272
1589758924476, 227084, -8128, 4960, 48
1589758924487, 227095, -8144, 5088, 448
1589758924497, 227106, -8320, 4912, 736
1589758924507, 227117, -8208, 4816, 736
1589758924522, 227128, -8192, 4576, 736
1589758924531, 227139, -8320, 4448, 704
1589758924542, 227150, -8672, 4384, 736
1589758924554, 227161, -8752, 4192, 992
1589758924563, 227172, -9424, 3904, 1360
1589758924574, 227183, -9760, 3232, 1680
1589758924590, 227194, -10064, 2576, 2016
1589758924597, 227205, -10320, 1776, 2304
1589758924608, 227216, -10416, 1024, 3088
1589758924621, 227227, -10688, 592, 3664
1589758924631, 227238, -10912, -16, 3872
1589758924640, 227249, -11168, -576, 4096
1589758924654, 227260, -11392, -944, 4320
1589758924662, 227271, -11520, -1488, 4432
1589758924674, 227282, -11616, -2016, 4608
1589758924688, 227293, -11616, -2560, 4448
1589758924697, 227304, -11408, -2864, 4432
1589758924707, 227315, -11104, -3072, 4560
1589758924721, 227326, -10544, -3344, 4464
1589758924730, 227337, -9872, -3696, 4128
1589758924741, 227348, -9664, -4144, 3856
1589758924751, 227359, -8272, -4384, 3536
1589758924764, 227370, -7824, -4672, 3360
1589758924773, 227381, -7760, -4704, 3072
1589758924783, 227392, -6944, -4736, 2816
1589758924796, 227403, -6640, -4976, 2528
1589758924805, 227414, -6416, -5440, 2544
1589758924817, 227425, -5184, -5776, 2528
1589758924829, 227436, -4816, -6080, 2272
1589758924839, 227447, -4656, -6416, 1808
1589758924850, 227458, -4336, -6528, 1648
1589758924861, 227469, -4304, -6528, 1760
1589758924873, 227480, -4304, -6640, 1952
1589758924883, 227491, -3888, -6800, 2064
1589758924895, 227502, -3744, -7104, 1712
1589758924906, 227513, -3792, -7328, 1488
1589758924916, 227524, -3552, -7280, 1328
1589758924928, 227535, -3632, -7120, 880
1589758924939, 227546, -3632, -6976, 912
1589758924948, 227557, -3632, -7040, 736
1589758924961, 227568, -3552, -7024, 688
