Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589759245443, 548053, 5376, 480, 6304
1589759245453, 548064, 5344, 480, 6176
1589759245463, 548075, 5408, 480, 6160
1589759245477, 548086, 5440, 480, 6272
1589759245485, 548097, 5536, 480, 6240
1589759245496, 548108, 5408, 496, 6208
1589759245511, 548119, 5408, 480, 6208
1589759245518, 548130, 5408, 512, 6208
1589759245529, 548141, 5456, 448, 6192
1589759245540, 548152, 5440, 448, 6272
1589759245552, 548163, 5520, 400, 6256
1589759245563, 548174, 5456, 416, 6192
1589759245574, 548185, 5424, 384, 6272
1589759245586, 548196, 5424, 384, 6224
1589759245595, 548207, 5424, 368, 6192
1589759245606, 548218, 5504, 304, 6160
1589759245619, 548229, 5536, 256, 6256
1589759245627, 548240, 5504, 240, 6272
1589759245639, 548251, 5408, 272, 6240
1589759245655, 548262, 5504, 288, 6192
1589759245660, 548273, 5392, 256, 6176
1589759245672, 548284, 5472, 224, 6096
1589759245683, 548295, 5424, 208, 6160
1589759245694, 548306, 5552, 208, 6144
1589759245705, 548317, 5488, 304, 6112
1589759245716, 548328, 5488, 336, 6192
1589759245729, 548339, 5520, 464, 6208
1589759245738, 548350, 5488, 704, 6256
1589759245749, 548361, 5504, 960, 6304
1589759245764, 548372, 5456, 1232, 6416
1589759245772, 548383, 5584, 1664, 6640
1589759245784, 548394, 5408, 2304, 6768
1589759245796, 548405, 5424, 2672, 6944
1589759245805, 548416, 5376, 3488, 7360
1589759245816, 548427, 5168, 4048, 7216
1589759245827, 548438, 4912, 4608, 7056
1589759245838, 548449, 4960, 5648, 7360
1589759245850, 548460, 4928, 6320, 7568
1589759245860, 548471, 4896, 7088, 7776
1589759245872, 548482, 4864, 7712, 7664
1589759245883, 548493, 4352, 7856, 7456
1589759245893, 548504, 4272, 8032, 7488
1589759245906, 548515, 4224, 8672, 7632
1589759245915, 548526, 3920, 9856, 8032
1589759245925, 548537, 4256, 10368, 8336
1589759245939, 548548, 4224, 10864, 8272
1589759245950, 548559, 3840, 11072, 8640
1589759245958, 548570, 4064, 11968, 9520
1589759245968, 548581, 4032, 12592, 9344
1589759245982, 548592, 3936, 12448, 9248
1589759245991, 548603, 4128, 12752, 10576
1589759246002, 548614, 4288, 12400, 10864
1589759246017, 548625, 4160, 11760, 10464
1589759246026, 548636, 4192, 11328, 10768
1589759246035, 548647, 4192, 11040, 10960
1589759246050, 548658, 3952, 11072, 11552
1589759246058, 548669, 4016, 12112, 12672
1589759246069, 548680, 4016, 12736, 13984
1589759246081, 548691, 4240, 12688, 14608
1589759246092, 548702, 5008, 11680, 13504
1589759246102, 548713, 4416, 11744, 13200
1589759246112, 548724, 4944, 11440, 14112
1589759246125, 548735, 5280, 10832, 14624
1589759246135, 548746, 5696, 10384, 14928
1589759246145, 548757, 5680, 9744, 15008
1589759246158, 548768, 5408, 8512, 14560
1589759246168, 548779, 5408, 7744, 14688
1589759246179, 548790, 5280, 7168, 14688
1589759246193, 548801, 5056, 6112, 14080
1589759246201, 548812, 5232, 5488, 13344
1589759246211, 548823, 5168, 4976, 12192
1589759246224, 548834, 5104, 4832, 10672
1589759246232, 548845, 5296, 4288, 9312
1589759246244, 548856, 5360, 3216, 8160
1589759246255, 548867, 5328, 1824, 7264
1589759246267, 548878, 4880, 1056, 6704
1589759246278, 548889, 4448, 608, 6192
1589759246289, 548900, 4400, 144, 5424
1589759246299, 548911, 3632, -336, 4528
1589759246311, 548922, 3120, -592, 3808
1589759246320, 548933, 3056, -880, 3776
1589759246334, 548944, 2384, -1504, 4160
1589759246344, 548955, 2160, -2192, 3920
1589759246356, 548966, 2032, -2528, 3392
1589759246367, 548977, 1472, -2704, 2880
1589759246376, 548988, 1056, -2768, 1968
1589759246387, 548999, 1008, -2736, 1600
1589759246399, 549010, 416, -3152, 1040
1589759246412, 549021, -448, -4000, 912
1589759246420, 549032, -80, -3920, 144
1589759246430, 549043, -304, -4096, 352
1589759246445, 549054, -432, -4144, 592
1589759246453, 549065, -608, -4400, 512
1589759246463, 549076, -736, -4496, 672
1589759246477, 549087, -960, -4992, -96
1589759246485, 549098, -1040, -5280, -736
1589759246500, 549109, -1120, -5296, -1360
1589759246508, 549120, -1056, -5232, -2224
1589759246525, 549131, -976, -4960, -2736
1589759246531, 549142, -912, -4800, -2976
1589759246542, 549153, -720, -4656, -3008
1589759246553, 549164, -352, -4592, -3008
1589759246566, 549175, 32, -4624, -3184
1589759246575, 549186, 512, -4784, -3168
1589759246585, 549197, 688, -4944, -3152
1589759246597, 549208, 832, -5376, -2928
1589759246609, 549219, 992, -5824, -2912
1589759246619, 549230, 1264, -5680, -2288
1589759246629, 549241, 1776, -5120, -1248
1589759246644, 549252, 2304, -4192, -176
1589759246652, 549263, 2704, -3696, 560
1589759246662, 549274, 3008, -3488, 816
1589759246678, 549285, 3568, -3360, 1120
1589759246685, 549296, 4096, -3360, 1536
1589759246696, 549307, 4960, -3152, 2160
1589759246709, 549318, 5200, -2640, 3376
1589759246717, 549329, 6896, -2160, 4256
1589759246729, 549340, 7776, -1728, 4848
1589759246739, 549351, 7920, -1600, 4848
1589759246753, 549362, 9824, -1792, 4640
1589759246762, 549373, 11296, -2080, 5200
1589759246772, 549384, 11792, -2528, 6624
1589759246786, 549395, 15648, -4112, 5840
1589759246794, 549406, 19280, -1584, 9712
1589759246805, 549417, 19776, -1920, 10368
1589759246821, 549428, 23344, -2496, 10592
1589759246828, 549439, 26064, -3360, 12496
1589759246840, 549450, 26768, -4896, 14752
1589759246850, 549461, 32304, -4448, 20144
1589759246861, 549472, 32624, -5184, 25296
