Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589758802435, 105039, -3312, 1904, 7296
1589758802444, 105050, -3296, 1856, 7264
1589758802454, 105061, -3328, 1920, 7312
1589758802469, 105072, -3408, 1904, 7264
1589758802477, 105083, -3344, 1920, 7264
1589758802486, 105094, -3344, 1936, 7248
1589758802498, 105105, -3360, 1936, 7200
1589758802510, 105116, -3360, 1984, 7168
1589758802520, 105127, -3296, 1936, 6992
1589758802531, 105138, -3264, 1952, 7152
1589758802543, 105149, -3264, 1904, 7152
1589758802555, 105160, -3152, 1888, 7136
1589758802563, 105171, -3184, 2016, 7280
1589758802575, 105182, -3152, 2000, 7248
1589758802588, 105193, -3152, 2016, 7232
1589758802597, 105204, -3120, 2080, 7136
1589758802609, 105215, -3152, 2096, 7088
1589758802621, 105226, -3152, 2224, 7152
1589758802630, 105237, -3200, 2192, 7136
1589758802642, 105248, -3088, 2256, 7072
1589758802656, 105259, -2992, 2304, 7264
1589758802663, 105270, -2992, 2336, 7136
1589758802675, 105281, -2976, 2544, 7088
1589758802688, 105292, -2848, 2880, 7088
1589758802695, 105303, -2864, 3216, 7344
1589758802709, 105314, -2848, 3600, 7408
1589758802719, 105325, -3088, 4384, 7456
1589758802728, 105336, -3152, 4880, 7520
1589758802739, 105347, -2880, 5056, 7296
1589758802751, 105358, -2416, 5200, 7104
1589758802763, 105369, -2368, 5360, 6800
1589758802774, 105380, -2432, 5952, 6624
1589758802784, 105391, -3136, 6816, 6528
1589758802796, 105402, -2992, 7008, 6400
1589758802806, 105413, -2528, 7168, 5984
1589758802817, 105424, -2176, 7264, 5632
1589758802829, 105435, -2208, 7664, 5648
1589758802839, 105446, -2416, 7920, 5632
1589758802850, 105457, -2432, 7872, 5648
1589758802863, 105468, -1888, 7728, 5872
1589758802872, 105479, -1552, 7552, 6032
1589758802883, 105490, -1376, 7552, 6320
1589758802896, 105501, -1568, 7568, 6480
1589758802905, 105512, -1600, 7568, 6928
1589758802916, 105523, -1584, 7424, 7488
1589758802927, 105534, -1072, 7328, 7952
1589758802938, 105545, -768, 7184, 8608
1589758802950, 105556, -640, 6832, 9152
1589758802960, 105567, -512, 6912, 9776
