Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589758986977, 289586, -7056, 864, 3440
1589758986988, 289597, -7040, 848, 3536
1589758987002, 289608, -7040, 848, 3536
1589758987010, 289619, -7104, 992, 3472
1589758987021, 289630, -7104, 992, 3536
1589758987036, 289641, -7104, 1056, 3552
1589758987043, 289652, -7168, 992, 3504
1589758987054, 289663, -7136, 992, 3488
1589758987067, 289674, -7104, 992, 3488
1589758987077, 289685, -7152, 1040, 3424
1589758987087, 289696, -7184, 1136, 3504
1589758987101, 289707, -7232, 1248, 3488
1589758987110, 289718, -7328, 1296, 3552
1589758987119, 289729, -7232, 1296, 3632
1589758987134, 289740, -7232, 1280, 3680
1589758987143, 289751, -7168, 1248, 3632
1589758987154, 289762, -7200, 1312, 3744
1589758987165, 289773, -7248, 1344, 3712
1589758987176, 289784, -7264, 1424, 3632
1589758987187, 289795, -7280, 1392, 3648
1589758987199, 289806, -7344, 1408, 3680
1589758987209, 289817, -7360, 1504, 3568
1589758987220, 289828, -7344, 1616, 3728
1589758987232, 289839, -7424, 1648, 3792
1589758987242, 289850, -7456, 1840, 3872
1589758987253, 289861, -7424, 1936, 4016
1589758987267, 289872, -7520, 1968, 3984
1589758987275, 289883, -7536, 2320, 4016
1589758987286, 289894, -7776, 2448, 4096
1589758987299, 289905, -7904, 2832, 4000
1589758987306, 289916, -7968, 3408, 3888
1589758987319, 289927, -8336, 3920, 3744
1589758987332, 289938, -8544, 4352, 3632
1589758987340, 289949, -8624, 4992, 3504
1589758987352, 289960, -8816, 5296, 3280
1589758987362, 289971, -8624, 5504, 2864
1589758987373, 289982, -8560, 5648, 2848
1589758987385, 289993, -8336, 5728, 2736
1589758987395, 290004, -8144, 5840, 2528
1589758987406, 290015, -8016, 5616, 2320
1589758987418, 290026, -7200, 5488, 1984
1589758987429, 290037, -6704, 5024, 1280
1589758987439, 290048, -6592, 4608, 1136
1589758987451, 290059, -5456, 4304, 768
1589758987463, 290070, -5008, 3968, 304
1589758987472, 290081, -4752, 3712, -112
1589758987483, 290092, -4704, 3312, -544
1589758987496, 290103, -4560, 3056, -960
1589758987505, 290114, -4256, 2688, -1120
1589758987516, 290125, -3984, 2304, -1056
1589758987531, 290136, -3280, 1904, -848
1589758987538, 290147, -2752, 1504, -640
1589758987549, 290158, -2272, 992, -496
1589758987561, 290169, -1664, 544, -336
1589758987570, 290180, -1424, 48, -192
1589758987582, 290191, -1136, -192, -224
1589758987595, 290202, -704, -560, -320
1589758987604, 290213, -336, -720, -144
1589758987615, 290224, -64, -960, -80
1589758987628, 290235, -16, -1408, 256
1589758987637, 290246, 704, -1648, 800
1589758987648, 290257, 896, -2096, 1152
1589758987663, 290268, 880, -2496, 2256
1589758987670, 290279, 1248, -2720, 3136
1589758987681, 290290, 1248, -2864, 3840
1589758987694, 290301, 1152, -2720, 4400
1589758987703, 290312, 784, -2496, 4656
1589758987713, 290323, 432, -2192, 5200
1589758987728, 290334, 272, -1872, 5824
1589758987736, 290345, -304, -1808, 6976
1589758987746, 290356, -224, -1664, 8304
1589758987758, 290367, -256, -1792, 9456
1589758987768, 290378, 224, -1792, 10512
1589758987779, 290389, 320, -1728, 11808
1589758987791, 290400, 368, -1616, 12224
1589758987801, 290411, 352, -1664, 12656
1589758987813, 290422, 288, -1552, 12992
1589758987825, 290433, 224, -1456, 13184
1589758987834, 290444, -64, -1296, 13328
1589758987846, 290455, 0, -1376, 13536
1589758987858, 290466, 48, -1072, 13680
1589758987868, 290477, 0, -464, 14400
1589758987878, 290488, -192, 384, 15056
1589758987889, 290499, -400, 1152, 15456
1589758987901, 290510, -640, 1392, 15328
1589758987911, 290521, -912, 1776, 15168
1589758987923, 290532, -928, 1968, 15120
1589758987934, 290543, -848, 2480, 15312
1589758987945, 290554, -480, 3344, 15504
1589758987955, 290565, -16, 3760, 15568
1589758987967, 290576, 336, 4416, 15648
1589758987979, 290587, 608, 5088, 16112
1589758987988, 290598, 912, 5984, 16208
1589758987999, 290609, 448, 6816, 16272
1589758988012, 290620, 208, 7888, 16208
1589758988022, 290631, -496, 8416, 16512
1589758988032, 290642, -288, 8688, 17056
1589758988045, 290653, -144, 9056, 17744
1589758988055, 290664, 1280, 9616, 18000
1589758988066, 290675, 1328, 10240, 17584
1589758988078, 290686, 1216, 10544, 16304
1589758988088, 290697, 640, 10640, 15584
1589758988099, 290708, 976, 10464, 14816
1589758988111, 290719, 1120, 10112, 14512
1589758988121, 290730, 2720, 10560, 14592
1589758988133, 290741, 2896, 11424, 13840
1589758988144, 290752, 2784, 12032, 12656
1589758988154, 290763, 1376, 12080, 11664
1589758988166, 290774, 1296, 11952, 11024
1589758988177, 290785, 1392, 11456, 10544
1589758988188, 290796, 2160, 11312, 10736
1589758988198, 290807, 2384, 11856, 10976
1589758988210, 290818, 2480, 12464, 10608
1589758988220, 290829, 1008, 13104, 10304
1589758988231, 290840, 704, 13488, 9600
1589758988241, 290851, 784, 13328, 9248
1589758988253, 290862, 1168, 13296, 9280
1589758988265, 290873, 1584, 13360, 9152
1589758988276, 290884, 1696, 13344, 8944
1589758988287, 290895, 1472, 13456, 8752
1589758988299, 290906, 1488, 13120, 8128
1589758988308, 290917, 1744, 12448, 7424
1589758988319, 290928, 2128, 11728, 6608
1589758988331, 290939, 2464, 10880, 5616
1589758988341, 290950, 2544, 10416, 5264
1589758988352, 290961, 2576, 10096, 4848
1589758988364, 290972, 2128, 9680, 4432
1589758988373, 290983, 1760, 9360, 4240
1589758988386, 290994, 1568, 9024, 4064
1589758988396, 291005, 1040, 8304, 3376
1589758988406, 291016, 992, 7808, 2896
1589758988417, 291027, 944, 7168, 2336
1589758988428, 291038, 944, 6528, 1600
1589758988440, 291049, 816, 5856, 912
1589758988452, 291060, 688, 5408, 288
1589758988461, 291071, 624, 4800, -432
1589758988474, 291082, 256, 4320, -1120
1589758988485, 291093, 112, 3808, -1392
1589758988495, 291104, 80, 3184, -1456
1589758988507, 291115, 112, 2416, -1392
1589758988516, 291126, -64, 1472, -1712
1589758988528, 291137, -144, 160, -1408
1589758988543, 291148, -160, -848, -1312
1589758988550, 291159, 32, -1808, -1088
1589758988561, 291170, 32, -2816, -1024
1589758988574, 291181, -640, -3216, -720
1589758988584, 291192, -1328, -3584, -16
1589758988594, 291203, -1584, -3632, 768
1589758988606, 291214, -3040, -3600, 1696
1589758988617, 291225, -3568, -3488, 2864
1589758988627, 291236, -3952, -3360, 3808
1589758988639, 291247, -4336, -3424, 4384
1589758988649, 291258, -4944, -3408, 5024
1589758988660, 291269, -5456, -3648, 5120
1589758988673, 291280, -5568, -3936, 5024
1589758988682, 291291, -5696, -4480, 4944
1589758988693, 291302, -5632, -4768, 4912
1589758988705, 291313, -5600, -4672, 4944
1589758988714, 291324, -6048, -4160, 5200
1589758988726, 291335, -6560, -3664, 5488
1589758988740, 291346, -6784, -3104, 5584
1589758988748, 291357, -6976, -2608, 5568
1589758988759, 291368, -7184, -1840, 5808
1589758988772, 291379, -7424, -1088, 5920
1589758988781, 291390, -8064, 0, 5888
1589758988792, 291401, -8192, 464, 5568
1589758988806, 291412, -8208, 848, 5280
1589758988814, 291423, -8176, 1072, 4848
1589758988825, 291434, -8112, 1136, 4752
1589758988840, 291445, -7952, 1152, 4704
1589758988847, 291456, -7872, 1360, 4928
1589758988857, 291467, -7600, 1376, 4992
1589758988869, 291478, -7344, 1264, 4640
1589758988880, 291489, -7200, 1040, 4256
1589758988891, 291500, -7296, 912, 3920
1589758988905, 291511, -7344, 992, 3904
1589758988913, 291522, -7328, 1120, 3712
1589758988923, 291533, -7136, 1168, 3760
1589758988940, 291544, -6896, 1056, 3696
1589758988946, 291555, -6944, 576, 3744
1589758988957, 291566, -6592, 640, 3680
1589758988968, 291577, -6576, 608, 3456
