Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589759094061, 396671, -7328, 192, 2992
1589759094073, 396682, -7328, 240, 2928
1589759094082, 396693, -7328, 256, 3072
1589759094096, 396704, -7296, 208, 3120
1589759094106, 396715, -7232, 144, 3232
1589759094116, 396726, -7248, 192, 3280
1589759094127, 396737, -7264, 176, 3264
1589759094141, 396748, -7168, 160, 3328
1589759094149, 396759, -7248, 144, 3168
1589759094162, 396770, -7312, 144, 3072
1589759094172, 396781, -7360, 224, 3056
1589759094181, 396792, -7392, 208, 2944
1589759094195, 396803, -7440, 304, 2992
1589759094205, 396814, -7472, 240, 3024
1589759094215, 396825, -7488, 336, 3072
1589759094227, 396836, -7360, 256, 2976
1589759094236, 396847, -7408, 240, 2992
1589759094247, 396858, -7392, 176, 3072
1589759094260, 396869, -7392, 192, 3072
1589759094270, 396880, -7376, 192, 3168
1589759094281, 396891, -7248, 128, 3232
1589759094293, 396902, -7248, 112, 3184
1589759094302, 396913, -7280, 48, 3168
1589759094313, 396924, -7184, 32, 3136
1589759094327, 396935, -7200, 96, 3168
1589759094336, 396946, -7136, 64, 3168
1589759094346, 396957, -7296, 160, 3200
1589759094361, 396968, -7424, 240, 2992
1589759094369, 396979, -7504, 320, 3104
1589759094379, 396990, -7504, 304, 3088
1589759094390, 397001, -7504, 368, 3168
1589759094403, 397012, -7488, 352, 3120
1589759094413, 397023, -7408, 288, 3152
1589759094424, 397034, -7392, 256, 3088
1589759094437, 397045, -7456, 176, 3072
1589759094445, 397056, -7360, 80, 3024
1589759094456, 397067, -7264, 80, 3088
1589759094470, 397078, -7248, 64, 3008
1589759094479, 397089, -7296, 112, 3056
1589759094490, 397100, -7408, 144, 3168
1589759094502, 397111, -7488, 144, 3136
1589759094513, 397122, -7488, 48, 3184
1589759094524, 397133, -7488, -32, 3216
1589759094535, 397144, -7552, -112, 3296
1589759094544, 397155, -7504, -224, 3296
1589759094558, 397166, -7600, -432, 3248
1589759094566, 397177, -7520, -576, 3296
1589759094578, 397188, -7504, -864, 3280
1589759094589, 397199, -7360, -1088, 3248
1589759094600, 397210, -7232, -1344, 3056
1589759094611, 397221, -7072, -1776, 2960
1589759094622, 397232, -6928, -2096, 2944
1589759094633, 397243, -6432, -2464, 2848
1589759094648, 397254, -6112, -2720, 2816
1589759094654, 397265, -6016, -3216, 2688
1589759094665, 397276, -5040, -3600, 2512
1589759094677, 397287, -4672, -3856, 2304
1589759094688, 397298, -4480, -3952, 2064
1589759094699, 397309, -4160, -3984, 2032
1589759094710, 397320, -4048, -3872, 2128
1589759094721, 397331, -3984, -3648, 1968
1589759094733, 397342, -3904, -3296, 1968
1589759094744, 397353, -3792, -2992, 1904
1589759094755, 397364, -3760, -2592, 1872
1589759094765, 397375, -3536, -2160, 1920
1589759094776, 397386, -3408, -1600, 2016
1589759094787, 397397, -3344, -1088, 1968
1589759094798, 397408, -3232, -768, 1872
1589759094809, 397419, -3088, -560, 1728
1589759094820, 397430, -3024, -592, 1424
1589759094831, 397441, -2512, -592, 1232
1589759094842, 397452, -1840, -448, 1264
1589759094852, 397463, -1664, -208, 1216
1589759094865, 397474, -1600, 256, 1264
1589759094875, 397485, -1648, 1184, 1744
1589759094886, 397496, -1888, 2128, 2160
1589759094897, 397507, -2320, 2704, 2256
1589759094909, 397518, -2464, 3360, 2640
1589759094919, 397529, -2592, 3696, 2544
1589759094930, 397540, -2480, 3936, 2624
1589759094941, 397551, -2160, 4272, 3040
1589759094952, 397562, -2128, 4640, 3344
1589759094962, 397573, -2224, 5040, 3904
1589759094973, 397584, -2224, 6096, 4448
1589759094986, 397595, -2496, 6592, 5024
1589759094996, 397606, -2448, 7552, 5728
1589759095007, 397617, -2528, 8112, 6512
1589759095019, 397628, -2544, 8176, 6944
1589759095029, 397639, -2272, 7968, 7440
1589759095040, 397650, -2160, 7472, 7744
1589759095053, 397661, -1520, 7024, 7824
1589759095062, 397672, -1024, 6672, 8032
1589759095073, 397683, -960, 6896, 8816
1589759095087, 397694, -1024, 7216, 9616
1589759095096, 397705, -992, 7568, 10720
1589759095108, 397716, -1008, 7904, 11360
1589759095119, 397727, -1232, 7680, 11952
1589759095127, 397738, -1536, 7392, 12384
1589759095141, 397749, -1520, 7104, 12720
1589759095150, 397760, -1440, 6848, 13024
1589759095161, 397771, -1232, 6528, 13536
1589759095173, 397782, -1168, 6304, 13904
1589759095183, 397793, -848, 5888, 14656
1589759095193, 397804, -960, 5520, 15744
1589759095206, 397815, -1072, 5376, 16496
1589759095216, 397826, -1168, 5392, 17152
1589759095227, 397837, -1280, 5216, 17760
1589759095239, 397848, -928, 4864, 17744
1589759095249, 397859, -480, 4176, 17888
1589759095260, 397870, 0, 3168, 17760
1589759095271, 397881, 64, 2496, 17648
1589759095282, 397892, 48, 2128, 17664
1589759095293, 397903, -304, 1680, 17600
1589759095303, 397914, -192, 1136, 17792
1589759095315, 397925, 144, 416, 17920
1589759095326, 397936, 1088, -480, 18144
1589759095338, 397947, 1600, -992, 18000
1589759095348, 397958, 1712, -1584, 17536
1589759095360, 397969, 1632, -1552, 17008
1589759095369, 397980, 1136, -1536, 16768
1589759095381, 397991, 1008, -1744, 16704
1589759095393, 398002, 1024, -2352, 16416
1589759095402, 398013, 2000, -2992, 15952
1589759095413, 398024, 2448, -3456, 15584
1589759095427, 398035, 2480, -3888, 15056
1589759095436, 398046, 2432, -4016, 14816
1589759095447, 398057, 2544, -4000, 14320
1589759095459, 398068, 2560, -4336, 14064
1589759095469, 398079, 2448, -4848, 13472
1589759095480, 398090, 2368, -5344, 12624
1589759095494, 398101, 2208, -5808, 12208
1589759095501, 398112, 2128, -6112, 11856
1589759095513, 398123, 2288, -6160, 11488
1589759095525, 398134, 2320, -6176, 11184
1589759095535, 398145, 2224, -6176, 10800
1589759095546, 398156, 2064, -5936, 10496
1589759095557, 398167, 1792, -5712, 10368
1589759095568, 398178, 1584, -5392, 10016
1589759095579, 398189, 1312, -5168, 9280
1589759095589, 398200, 1072, -4976, 8656
1589759095601, 398211, 928, -4976, 8240
1589759095612, 398222, 832, -4880, 7936
1589759095624, 398233, 752, -4912, 7632
1589759095634, 398244, 768, -5024, 7184
1589759095645, 398255, 1008, -4928, 6832
1589759095660, 398266, 1120, -4864, 6288
1589759095666, 398277, 1040, -4688, 5792
1589759095678, 398288, 1440, -4272, 4880
1589759095691, 398299, 1616, -3904, 4352
1589759095700, 398310, 1696, -3200, 3792
1589759095711, 398321, 1616, -2096, 2832
1589759095724, 398332, 1408, -1536, 1728
1589759095733, 398343, 1072, -736, 864
1589759095743, 398354, 960, 416, 80
1589759095755, 398365, 80, 1296, -576
1589759095768, 398376, -368, 2048, -1552
1589759095777, 398387, -480, 2784, -2976
1589759095787, 398398, -1888, 3280, -3856
1589759095802, 398409, -2384, 4160, -3984
1589759095810, 398420, -2496, 5472, -3840
1589759095821, 398431, -4080, 6368, -3424
1589759095835, 398442, -4960, 7104, -2720
1589759095843, 398453, -5120, 7600, -2112
1589759095853, 398464, -6368, 7456, -1440
1589759095868, 398475, -6288, 6752, -368
1589759095875, 398486, -6240, 5952, 80
1589759095886, 398497, -6352, 5120, 512
1589759095901, 398508, -6576, 4192, 944
1589759095909, 398519, -6752, 3408, 1200
1589759095920, 398530, -6736, 2672, 1520
1589759095932, 398541, -6528, 2096, 2016
1589759095941, 398552, -6432, 1968, 2336
1589759095953, 398563, -6752, 1696, 2336
1589759095965, 398574, -7056, 1424, 2624
1589759095975, 398585, -7040, 1184, 3008
1589759095986, 398596, -6976, 1008, 3296
1589759095998, 398607, -7168, 928, 3328
1589759096008, 398618, -7376, 848, 3360
1589759096019, 398629, -7632, 896, 3424
1589759096034, 398640, -7888, 944, 3312
1589759096041, 398651, -7888, 848, 3120
1589759096052, 398662, -7984, 928, 3040
1589759096065, 398673, -7936, 928, 2880
1589759096074, 398684, -8192, 1040, 2864
1589759096085, 398695, -8176, 1008, 2928
1589759096095, 398706, -8128, 880, 2832
1589759096106, 398717, -7840, 928, 2768
1589759096117, 398728, -7808, 992, 2752
1589759096129, 398739, -7856, 992, 2704
1589759096140, 398750, -7872, 1056, 2576
1589759096150, 398761, -7824, 1104, 2544
1589759096162, 398772, -7840, 1024, 2496
1589759096175, 398783, -7824, 800, 2336
1589759096184, 398794, -7664, 720, 2400
1589759096194, 398805, -7664, 560, 2608
1589759096210, 398816, -7232, 560, 2768
1589759096216, 398827, -7120, 576, 2848
1589759096227, 398838, -7120, 368, 2768
1589759096242, 398849, -7152, 432, 2688
1589759096250, 398860, -7376, 576, 2512
1589759096261, 398871, -7456, 624, 2528
1589759096272, 398882, -7472, 624, 2528
1589759096284, 398893, -7440, 528, 2688
1589759096294, 398904, -7120, 432, 2640
1589759096304, 398915, -7040, 400, 2832
1589759096317, 398926, -7232, 368, 2784
1589759096327, 398937, -7280, 576, 2704
1589759096339, 398948, -7408, 768, 2432
