Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589759140965, 443575, -7504, -1120, 2224
1589759140975, 443586, -7520, -1152, 2144
1589759140987, 443597, -7424, -1328, 2144
1589759140998, 443608, -7504, -1296, 2112
1589759141009, 443619, -7520, -1376, 2320
1589759141019, 443630, -7536, -1456, 2064
1589759141032, 443641, -7520, -1600, 2064
1589759141042, 443652, -7344, -1632, 2128
1589759141051, 443663, -7328, -1744, 2176
1589759141067, 443674, -7360, -1824, 2256
1589759141075, 443685, -7280, -2016, 2496
1589759141085, 443696, -7296, -2048, 2432
1589759141100, 443707, -7120, -2160, 2608
1589759141107, 443718, -7152, -2224, 2736
1589759141118, 443729, -7120, -2240, 2768
1589759141129, 443740, -7088, -2224, 2864
1589759141140, 443751, -7120, -2256, 2832
1589759141151, 443762, -7136, -2240, 2944
1589759141163, 443773, -7136, -2336, 2928
1589759141174, 443784, -7168, -2208, 2880
1589759141187, 443795, -7136, -2192, 2784
1589759141196, 443806, -7184, -2080, 2864
1589759141210, 443817, -7296, -1904, 2848
1589759141219, 443828, -7424, -1776, 2640
1589759141230, 443839, -7584, -1648, 2528
1589759141241, 443850, -7648, -1376, 2464
1589759141250, 443861, -7712, -1376, 2448
1589759141263, 443872, -7728, -1376, 2384
1589759141272, 443883, -7776, -1296, 2448
1589759141283, 443894, -7920, -1200, 2528
1589759141297, 443905, -7904, -1200, 2416
1589759141306, 443916, -7856, -1488, 2096
1589759141316, 443927, -7968, -1552, 1984
1589759141327, 443938, -8096, -1472, 1968
1589759141338, 443949, -8064, -1568, 1872
1589759141350, 443960, -8224, -1744, 1920
1589759141360, 443971, -8272, -1872, 2096
1589759141371, 443982, -8192, -2304, 1920
1589759141383, 443993, -8064, -2528, 1952
1589759141393, 444004, -7616, -2816, 1952
1589759141405, 444015, -7536, -3504, 1984
1589759141419, 444026, -5584, -3968, 2016
1589759141426, 444037, -4240, -4720, 2224
1589759141437, 444048, -3856, -6528, 2768
1589759141453, 444059, -64, -8160, 3616
1589759141458, 444070, 2528, -9248, 5120
1589759141470, 444081, 3264, -10624, 5680
1589759141482, 444092, 8432, -11904, 6272
1589759141492, 444103, 10528, -13232, 7200
1589759141504, 444114, 12832, -14128, 7696
1589759141514, 444125, 13920, -15328, 7904
1589759141526, 444136, 15648, -16784, 7712
1589759141537, 444147, 16992, -17696, 7696
1589759141549, 444158, 17952, -17888, 7616
1589759141559, 444169, 17840, -16496, 8016
1589759141569, 444180, 18064, -13776, 8384
1589759141580, 444191, 17440, -10816, 9120
1589759141592, 444202, 15872, -7344, 8752
1589759141602, 444213, 16192, -3392, 8736
1589759141614, 444224, 17920, -288, 9360
1589759141626, 444235, 22528, 5424, 12208
1589759141636, 444246, 27520, 9952, 14704
1589759141648, 444257, 32032, 17344, 16720
1589759141659, 444268, 32624, 31408, 23120
1589759141670, 444279, 21792, 32576, 25760
1589759141681, 444290, -1216, 32640, 14224
1589759141692, 444301, -4512, 32640, -1104
1589759141702, 444312, -6576, 32640, -1472
1589759141713, 444323, -2544, 32640, 8144
1589759141725, 444334, -2032, 32640, 13072
1589759141734, 444345, -112, 32176, 10656
1589759141746, 444356, 1872, 30640, 5680
1589759141761, 444367, 1952, 28816, 3664
1589759141767, 444378, 2000, 26560, 1824
1589759141779, 444389, 1968, 23824, -1168
1589759141789, 444400, 1936, 20928, -2512
1589759141801, 444411, 2368, 19392, -3200
1589759141812, 444422, 2944, 18592, -2944
1589759141822, 444433, 3008, 18176, -2000
1589759141833, 444444, 2576, 18000, -544
1589759141844, 444455, 2320, 17680, 1664
1589759141855, 444466, 2096, 17056, 3392
1589759141869, 444477, -704, 16576, 5168
1589759141878, 444488, -2944, 17200, 7872
1589759141889, 444499, -4640, 16832, 9344
1589759141900, 444510, -4016, 16656, 10640
1589759141912, 444521, -1472, 16320, 11632
1589759141922, 444532, 1600, 14672, 11680
1589759141934, 444543, 4512, 12768, 12240
1589759141944, 444554, 7584, 11744, 14784
1589759141955, 444565, 9424, 11104, 17552
1589759141966, 444576, 12800, 12128, 22128
1589759141977, 444587, 19392, 12944, 28912
1589759141988, 444598, 23584, 10768, 30016
1589759141998, 444609, 25552, 7184, 25296
1589759142010, 444620, 25568, 32, 19184
1589759142021, 444631, 23248, -6416, 15456
1589759142031, 444642, 19088, -12288, 12368
1589759142043, 444653, 15776, -14960, 9472
1589759142054, 444664, 16928, -14608, 8464
1589759142064, 444675, 16976, -13952, 7952
