Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589759162425, 465036, -7328, -240, 3328
1589759162436, 465047, -7136, -208, 3232
1589759162449, 465058, -7232, -144, 3360
1589759162457, 465069, -7264, -128, 3376
1589759162470, 465080, -7184, -96, 3568
1589759162481, 465091, -7120, -96, 3552
1589759162492, 465102, -7152, -64, 3504
1589759162501, 465113, -7072, -32, 3456
1589759162513, 465124, -7056, -32, 3584
1589759162527, 465135, -7152, -32, 3632
1589759162535, 465146, -7168, 16, 3504
1589759162546, 465157, -7232, -16, 3456
1589759162557, 465168, -7232, -16, 3424
1589759162569, 465179, -7152, -16, 3424
1589759162579, 465190, -7248, 48, 3456
1589759162590, 465201, -7408, 80, 3520
1589759162602, 465212, -7328, 80, 3616
1589759162612, 465223, -7264, 32, 3632
1589759162625, 465234, -7280, 16, 3376
1589759162635, 465245, -7328, 0, 3536
1589759162645, 465256, -7328, 16, 3568
1589759162657, 465267, -7168, 16, 3616
1589759162669, 465278, -7216, -80, 3744
1589759162677, 465289, -7104, -64, 3680
1589759162691, 465300, -7120, -80, 3856
1589759162702, 465311, -7136, -96, 3856
1589759162711, 465322, -7104, -80, 3904
1589759162725, 465333, -7168, -32, 3776
1589759162737, 465344, -7264, 0, 3760
1589759162743, 465355, -7376, 48, 3632
1589759162757, 465366, -7392, 112, 3568
1589759162767, 465377, -7504, 128, 3584
1589759162778, 465388, -7600, 144, 3632
1589759162790, 465399, -7632, 112, 3616
1589759162801, 465410, -7616, 80, 3776
1589759162810, 465421, -7568, -96, 3776
1589759162822, 465432, -7456, -224, 3824
1589759162832, 465443, -7536, -384, 3824
1589759162843, 465454, -7584, -560, 3824
1589759162854, 465465, -7616, -864, 3824
1589759162866, 465476, -7536, -1136, 3888
1589759162876, 465487, -7504, -1552, 3920
1589759162888, 465498, -7456, -2000, 4016
1589759162897, 465509, -7440, -2368, 4160
1589759162909, 465520, -7296, -2864, 4288
1589759162920, 465531, -7184, -3472, 4496
1589759162930, 465542, -6624, -3968, 4544
1589759162943, 465553, -6288, -4448, 4576
1589759162954, 465564, -6192, -5056, 4608
1589759162964, 465575, -5632, -5328, 4624
1589759162977, 465586, -5344, -5600, 4800
1589759162986, 465597, -5456, -5840, 4784
1589759162997, 465608, -4768, -6064, 4512
1589759163011, 465619, -4560, -6272, 4272
1589759163019, 465630, -4496, -6352, 4160
1589759163030, 465641, -4080, -6368, 4144
1589759163044, 465652, -3776, -6288, 4304
1589759163052, 465663, -3680, -6304, 3920
1589759163064, 465674, -2832, -6144, 3696
1589759163078, 465685, -2656, -5728, 3600
1589759163086, 465696, -2624, -5200, 3504
1589759163095, 465707, -2640, -4496, 3424
1589759163111, 465718, -2528, -3760, 3328
1589759163119, 465729, -2480, -2896, 3104
1589759163130, 465740, -2576, -1968, 3216
1589759163144, 465751, -2736, -544, 3520
1589759163151, 465762, -2688, 768, 3920
1589759163162, 465773, -2880, 1984, 3984
1589759163172, 465784, -3296, 2960, 3792
1589759163184, 465795, -3680, 3472, 3344
1589759163195, 465806, -3696, 4272, 3120
1589759163207, 465817, -3744, 5520, 3184
1589759163218, 465828, -3920, 6336, 3264
1589759163228, 465839, -4000, 7136, 3248
1589759163239, 465850, -4528, 7440, 2944
1589759163250, 465861, -4720, 7360, 2608
1589759163261, 465872, -4320, 7520, 2384
1589759163272, 465883, -3568, 7648, 2256
1589759163284, 465894, -3344, 8128, 2384
1589759163295, 465905, -3776, 9008, 2752
1589759163305, 465916, -3904, 10320, 3056
1589759163318, 465927, -4944, 11024, 3008
1589759163326, 465938, -5216, 11248, 2672
1589759163338, 465949, -5184, 11040, 2080
1589759163351, 465960, -5616, 10912, 2064
1589759163361, 465971, -5376, 11008, 2368
1589759163371, 465982, -5312, 11568, 3344
1589759163384, 465993, -5920, 11808, 4048
1589759163393, 466004, -6256, 11744, 4608
1589759163404, 466015, -6352, 11248, 4816
1589759163417, 466026, -5824, 10496, 4928
1589759163427, 466037, -5424, 9824, 5184
1589759163437, 466048, -5232, 9216, 5472
1589759163449, 466059, -4624, 8832, 5840
1589759163459, 466070, -4848, 8384, 5920
1589759163470, 466081, -4976, 8112, 6112
1589759163483, 466092, -6240, 7840, 6016
1589759163493, 466103, -6432, 7360, 6192
1589759163503, 466114, -6048, 7056, 6608
1589759163516, 466125, -5424, 6624, 7056
1589759163526, 466136, -4480, 5632, 7424
1589759163536, 466147, -4048, 4400, 7344
1589759163552, 466158, -3424, 3360, 7600
1589759163560, 466169, -2544, 2160, 7760
1589759163570, 466180, -1984, 1184, 8000
1589759163584, 466191, -1440, 208, 8272
1589759163592, 466202, -976, -864, 8400
1589759163602, 466213, -560, -1792, 8400
1589759163616, 466224, -128, -2720, 8144
1589759163625, 466235, 192, -3392, 7888
1589759163635, 466246, 288, -3936, 7792
1589759163650, 466257, 288, -4176, 7520
1589759163658, 466268, 224, -4768, 7248
1589759163668, 466279, 544, -5344, 7040
1589759163680, 466290, 896, -5968, 6880
1589759163692, 466301, 1024, -6896, 6912
1589759163700, 466312, 2048, -7296, 7280
1589759163715, 466323, 2576, -7456, 7760
1589759163725, 466334, 2784, -7520, 8144
1589759163734, 466345, 3040, -7584, 8288
1589759163751, 466356, 2640, -7536, 8432
1589759163758, 466367, 2480, -6992, 8640
1589759163767, 466378, 1952, -6528, 8784
1589759163782, 466389, 1728, -6192, 9024
1589759163792, 466400, 1600, -5600, 9344
1589759163800, 466411, 1328, -5024, 9584
1589759163810, 466422, 1072, -4560, 10160
1589759163823, 466433, 1088, -4096, 10512
1589759163833, 466444, 864, -3952, 10576
1589759163845, 466455, 848, -3888, 10480
1589759163855, 466466, 896, -3968, 10560
1589759163868, 466477, 1472, -4000, 10768
1589759163878, 466488, 1824, -3968, 11296
1589759163888, 466499, 2032, -3664, 11600
1589759163901, 466510, 2256, -3072, 11664
1589759163910, 466521, 2432, -2720, 11792
1589759163920, 466532, 2464, -2192, 11664
1589759163933, 466543, 2320, -1840, 11184
1589759163944, 466554, 2384, -880, 10784
1589759163956, 466565, 2560, 224, 11024
1589759163967, 466576, 2576, 1728, 11200
1589759163976, 466587, 1632, 3552, 11184
1589759163988, 466598, 560, 5264, 11168
1589759163999, 466609, -560, 6496, 10864
1589759164008, 466620, -1472, 7360, 11168
1589759164020, 466631, -1280, 8464, 10832
1589759164032, 466642, -1440, 8272, 9344
1589759164042, 466653, -2176, 8208, 9408
1589759164053, 466664, -1792, 8176, 9424
1589759164064, 466675, -1760, 8240, 9808
1589759164076, 466686, -1792, 8496, 10304
1589759164087, 466697, -2160, 8544, 10160
1589759164098, 466708, -2128, 8304, 9776
1589759164108, 466719, -1936, 7840, 9200
1589759164120, 466730, -1792, 7296, 8880
1589759164131, 466741, -1600, 6944, 8944
1589759164144, 466752, -1632, 6192, 8848
1589759164155, 466763, -1120, 5568, 8656
1589759164165, 466774, -1056, 5024, 8688
1589759164175, 466785, -1152, 4576, 8816
1589759164189, 466796, -1152, 4272, 8848
1589759164197, 466807, -1232, 4016, 8624
1589759164208, 466818, -1360, 3760, 8528
1589759164221, 466829, -1584, 3504, 8352
1589759164228, 466840, -1584, 3216, 8256
1589759164242, 466851, -1648, 2992, 7984
1589759164253, 466862, -1312, 2560, 8016
1589759164262, 466873, -1168, 1872, 7680
1589759164273, 466884, -912, 1264, 7744
1589759164286, 466895, -672, 832, 7952
1589759164295, 466906, -544, 432, 8208
1589759164308, 466917, -448, 240, 8128
1589759164320, 466928, -144, 64, 8112
1589759164327, 466939, 208, -96, 8272
1589759164338, 466950, 80, -304, 8256
