Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589759212191, 514800, -1488, -384, 8080
1589759212200, 514811, -1536, -368, 8144
1589759212211, 514822, -1472, -320, 8144
1589759212221, 514833, -1520, -320, 8112
1589759212233, 514844, -1504, -368, 8112
1589759212244, 514855, -1552, -304, 8048
1589759212255, 514866, -1440, -240, 8176
1589759212268, 514877, -1696, -288, 8160
1589759212277, 514888, -1696, -208, 8144
1589759212287, 514899, -1616, -240, 8160
1589759212299, 514910, -1680, -208, 8144
1589759212309, 514921, -1696, -304, 8256
1589759212320, 514932, -1712, -336, 8112
1589759212331, 514943, -1568, -336, 8064
1589759212344, 514954, -1600, -400, 8096
1589759212353, 514965, -1456, -384, 8080
1589759212365, 514976, -1456, -416, 8176
1589759212377, 514987, -1440, -320, 8320
1589759212387, 514998, -1520, -352, 8224
1589759212398, 515009, -1584, -336, 8240
1589759212410, 515020, -1600, -336, 8160
1589759212420, 515031, -1664, -336, 8208
1589759212432, 515042, -1696, -320, 8208
1589759212441, 515053, -1760, -304, 8208
1589759212453, 515064, -1728, -480, 8352
1589759212464, 515075, -1728, -592, 8560
1589759212474, 515086, -1632, -800, 9104
1589759212486, 515097, -1824, -752, 10112
1589759212497, 515108, -2000, -960, 11200
1589759212508, 515119, -1920, -736, 12624
1589759212522, 515130, -2112, -912, 14032
1589759212529, 515141, -1808, -992, 15872
1589759212541, 515152, -1728, -1168, 17616
1589759212554, 515163, -1952, -784, 18112
1589759212563, 515174, -2400, -448, 17264
1589759212574, 515185, -2496, 336, 15104
1589759212584, 515196, -3216, 912, 12944
1589759212597, 515207, -2944, 1072, 10032
1589759212608, 515218, -2912, 992, 8192
1589759212618, 515229, -1584, 720, 6416
1589759212629, 515240, -1104, 576, 4240
1589759212640, 515251, -1024, 560, 2224
1589759212650, 515262, -352, 544, -48
1589759212665, 515273, -384, 576, -3136
1589759212673, 515284, -352, 512, -6112
1589759212684, 515295, -704, 464, -8992
1589759212697, 515306, -1056, 800, -11056
1589759212705, 515317, -736, 1040, -12880
1589759212717, 515328, -368, 928, -13952
1589759212728, 515339, -144, 960, -12832
1589759212739, 515350, -48, 1120, -10992
1589759212751, 515361, -32, 1072, -8928
1589759212760, 515372, 240, 1168, -6704
1589759212775, 515383, 736, 1152, -4528
1589759212784, 515394, 1296, 800, -2128
1589759212794, 515405, 3168, 1296, 3264
1589759212805, 515416, 4544, 2272, 10688
1589759212815, 515427, 5088, 3200, 20512
1589759212827, 515438, 3936, 5856, 31808
1589759212838, 515449, 1936, 9600, 32592
1589759212848, 515460, 272, 8912, 32640
