Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589325943727, 483045, 784, 2384, 7632
1589325943738, 483056, 832, 2352, 7776
1589325943749, 483067, 800, 2336, 7808
1589325943760, 483078, 800, 2336, 7792
1589325943773, 483089, 768, 2416, 7696
1589325943782, 483100, 768, 2368, 7744
1589325943793, 483111, 816, 2272, 7984
1589325943804, 483122, 704, 2224, 7808
1589325943815, 483133, 592, 2208, 7616
1589325943826, 483144, 544, 2160, 7760
1589325943837, 483155, 560, 2144, 7776
1589325943849, 483166, 656, 2176, 7744
1589325943859, 483177, 720, 2128, 7888
1589325943870, 483188, 736, 2224, 7824
1589325943881, 483199, 688, 2240, 7792
1589325943892, 483210, 832, 2208, 7792
1589325943903, 483221, 576, 2256, 7792
1589325943914, 483232, 512, 2224, 7680
1589325943925, 483243, 640, 2192, 7584
1589325943936, 483254, 592, 2240, 7440
1589325943947, 483265, 752, 2256, 7520
1589325943958, 483276, 848, 2272, 7536
1589325943969, 483287, 816, 2368, 7696
1589325943980, 483298, 832, 2400, 7680
1589325943991, 483309, 752, 2528, 7744
1589325944002, 483320, 560, 2576, 7664
1589325944013, 483331, 512, 2624, 7680
1589325944024, 483342, 592, 3072, 7488
1589325944035, 483353, 416, 3168, 7616
1589325944046, 483364, 384, 3648, 7344
1589325944057, 483375, 400, 3904, 7520
1589325944068, 483386, 448, 4176, 7408
1589325944079, 483397, 496, 4320, 7456
1589325944090, 483408, 416, 4432, 7408
1589325944101, 483419, 464, 4672, 7504
1589325944112, 483430, 464, 4928, 7568
1589325944123, 483441, 512, 5312, 7456
1589325944134, 483452, 480, 5552, 7488
1589325944145, 483463, 480, 5776, 7584
1589325944156, 483474, 144, 5984, 7616
1589325944168, 483485, 32, 6144, 7600
1589325944178, 483496, -208, 6032, 7392
1589325944189, 483507, -304, 5584, 7152
1589325944200, 483518, -480, 5088, 6960
1589325944211, 483529, -640, 4624, 6848
1589325944222, 483540, -784, 4240, 7152
1589325944233, 483551, -656, 3568, 7680
1589325944244, 483562, -528, 3088, 7888
1589325944255, 483573, -304, 2736, 7856
1589325944266, 483584, -32, 2560, 8000
1589325944276, 483595, 48, 2512, 7888
1589325944288, 483606, 32, 2144, 8064
1589325944298, 483617, 0, 1632, 8000
1589325944310, 483628, 32, 1440, 7920
1589325944321, 483639, -160, 1344, 7856
1589325944332, 483650, -224, 1216, 8128
1589325944343, 483661, -64, 1152, 8080
1589325944353, 483672, 48, 1088, 8064
1589325944365, 483683, -112, 1104, 7856
1589325944378, 483694, -240, 1152, 7504
1589325944387, 483705, -352, 960, 7376
1589325944397, 483716, -384, 704, 6880
1589325944409, 483727, -400, 576, 6576
1589325944419, 483738, -544, 336, 6064
1589325944430, 483749, -512, 80, 6128
1589325944442, 483760, -448, 192, 6064
1589325944453, 483771, -368, 432, 6128
1589325944464, 483782, -1040, 640, 6336
1589325944475, 483793, -1152, 560, 6720
1589325944486, 483804, -2048, 384, 7040
1589325944497, 483815, -2144, 256, 7408
1589325944508, 483826, -2320, 256, 7472
1589325944519, 483837, -2384, 160, 7472
1589325944530, 483848, -2288, 64, 7584
1589325944541, 483859, -2304, -448, 8000
1589325944552, 483870, -2128, -864, 8080
1589325944563, 483881, -2096, -1040, 8304
1589325944574, 483892, -2176, -992, 8448
1589325944585, 483903, -1984, -960, 8832
1589325944596, 483914, -1952, -800, 9040
1589325944607, 483925, -1552, -896, 9312
1589325944618, 483936, -1584, -928, 9680
1589325944629, 483947, -1344, -944, 9728
1589325944640, 483958, -1392, -880, 9936
1589325944651, 483969, -1360, -960, 10192
1589325944662, 483980, -1504, -1072, 10352
1589325944673, 483991, -1888, -1312, 10400
1589325944684, 484002, -2240, -1856, 10272
1589325944695, 484013, -2336, -2320, 9888
1589325944707, 484024, -2384, -2992, 9632
1589325944717, 484035, -2720, -3264, 9504
1589325944728, 484046, -3072, -3296, 9632
1589325944739, 484057, -3360, -3376, 9680
1589325944750, 484068, -3584, -3728, 9888
1589325944761, 484079, -3680, -4032, 10304
1589325944773, 484090, -4352, -4192, 10416
1589325944783, 484101, -4400, -4352, 10192
1589325944794, 484112, -5200, -4576, 10256
1589325944805, 484123, -5296, -4896, 10208
1589325944816, 484134, -5664, -4864, 10288
1589325944827, 484145, -5712, -5088, 10448
1589325944841, 484156, -6032, -5280, 10608
1589325944849, 484167, -6064, -5424, 10672
1589325944860, 484178, -6160, -5968, 10432
1589325944871, 484189, -5840, -6112, 10432
1589325944882, 484200, -5616, -6032, 10448
1589325944893, 484211, -5408, -5984, 10192
1589325944904, 484222, -5504, -5744, 9952
1589325944915, 484233, -5360, -5136, 9456
1589325944926, 484244, -5216, -4800, 8896
1589325944937, 484255, -5152, -4368, 8272
1589325944948, 484266, -5040, -4080, 8112
1589325944959, 484277, -4480, -3744, 8080
1589325944970, 484288, -4128, -3392, 8560
1589325944981, 484299, -4064, -3408, 9024
1589325944992, 484310, -3984, -3632, 9376
1589325945003, 484321, -4240, -3744, 9136
1589325945014, 484332, -4320, -4128, 8832
1589325945025, 484343, -5392, -4544, 8288
1589325945036, 484354, -5600, -5456, 7504
1589325945047, 484365, -6896, -5536, 7328
1589325945058, 484376, -6896, -4256, 7648
1589325945069, 484387, -6928, -2512, 7904
1589325945080, 484398, -8944, -352, 8864
1589325945091, 484409, -12384, 1616, 10224
1589325945102, 484420, -18144, 4832, 12016
1589325945116, 484431, -21168, 6640, 12144
1589325945124, 484442, -22144, 5696, 11456
1589325945135, 484453, -23120, 3920, 11856
1589325945146, 484464, -20448, 4320, 11744
1589325945157, 484475, -17424, 6848, 10288
1589325945168, 484486, -15680, 8128, 8384
1589325945179, 484497, -15408, 8048, 7504
1589325945190, 484508, -13568, 7088, 7648
1589325945201, 484519, -13408, 5376, 7840
1589325945212, 484530, -11184, 4800, 7840
1589325945223, 484541, -10896, 5824, 8320
1589325945234, 484552, -8992, 6832, 9504
1589325945245, 484563, -8736, 5552, 11760
1589325945256, 484574, -8128, 3856, 13168
1589325945267, 484585, -6528, 2384, 12832
1589325945278, 484596, -4752, 1904, 11440
1589325945289, 484607, -2992, 1344, 9584
1589325945300, 484618, -2064, 896, 8768
1589325945311, 484629, -1648, -16, 8368
1589325945322, 484640, -1488, -592, 8480
1589325945333, 484651, -960, -848, 8752
1589325945344, 484662, -736, -256, 8736
1589325945355, 484673, -784, 352, 8016
1589325945367, 484684, -864, 416, 6992
1589325945377, 484695, -1936, 416, 5872
1589325945388, 484706, -2032, 576, 5184
1589325945399, 484717, -1632, 752, 5280
1589325945410, 484728, -1552, 800, 5968
1589325945421, 484739, -416, 720, 6928
1589325945431, 484750, 16, 384, 8208
1589325945442, 484761, 48, 192, 8848
1589325945454, 484772, 176, 112, 9136
1589325945465, 484783, 208, 240, 9056
1589325945475, 484794, 112, 336, 8816
1589325945487, 484805, -32, 352, 8704
1589325945498, 484816, -320, 352, 8336
1589325945509, 484827, -672, 384, 7952
1589325945520, 484838, -928, 496, 7568
1589325945531, 484849, -704, 528, 7488
1589325945542, 484860, -624, 544, 7584
1589325945553, 484871, -736, 640, 7424
1589325945563, 484882, -848, 624, 7488
1589325945577, 484893, -736, 432, 7872
1589325945586, 484904, -576, 176, 8432
1589325945596, 484915, -240, 176, 8640
1589325945608, 484926, -160, 192, 8752
1589325945619, 484937, -224, 112, 8768
1589325945629, 484948, -176, 192, 8400
1589325945642, 484959, -192, 336, 8320
1589325945652, 484970, -240, 336, 8032
1589325945662, 484981, -272, 192, 8144
1589325945673, 484992, -96, 96, 8160
1589325945685, 485003, -64, -112, 8192
1589325945696, 485014, -128, -288, 8048
1589325945706, 485025, -80, -352, 8032
1589325945718, 485036, 112, -272, 8224
1589325945729, 485047, 272, -208, 8400
1589325945739, 485058, 288, -192, 8624
1589325945751, 485069, 336, -128, 8720
1589325945761, 485080, 112, -32, 8528
1589325945773, 485091, -320, -32, 8320
1589325945784, 485102, -576, -80, 8016
1589325945795, 485113, -656, -16, 7552
1589325945806, 485124, -640, -32, 7584
1589325945817, 485135, -416, 192, 7536
1589325945827, 485146, -368, 336, 7728
1589325945839, 485157, -464, 368, 7808
1589325945851, 485168, -480, 304, 8128
1589325945861, 485179, -272, 208, 8368
1589325945871, 485190, -288, 96, 8368
1589325945882, 485201, -32, 32, 8336
1589325945893, 485212, -48, -80, 8256
1589325945904, 485223, -48, -48, 8128
1589325945915, 485234, 16, 80, 8032
1589325945926, 485245, -32, 144, 8064
1589325945938, 485256, -128, 256, 8160
1589325945949, 485267, -352, 416, 8272
1589325945960, 485278, -656, 592, 8288
1589325945971, 485289, -624, 832, 8208
1589325945982, 485300, -768, 688, 8000
1589325945993, 485311, -624, 416, 7888
1589325946004, 485322, -400, 352, 7744
1589325946015, 485333, -304, 352, 7872
1589325946025, 485344, 80, 512, 8080
1589325946037, 485355, 112, 688, 8240
1589325946048, 485366, -160, 816, 8400
1589325946059, 485377, -304, 896, 8336
1589325946070, 485388, -768, 736, 8256
1589325946081, 485399, -896, 560, 7936
1589325946092, 485410, -928, 688, 7584
1589325946103, 485421, -528, 752, 7696
1589325946114, 485432, -352, 720, 7920
1589325946124, 485443, -208, 832, 8032
1589325946136, 485454, -224, 960, 8016
1589325946147, 485465, -48, 864, 8032
1589325946158, 485476, -128, 800, 8096
1589325946169, 485487, -256, 976, 8080
1589325946180, 485498, -224, 1152, 8000
1589325946191, 485509, -176, 1248, 7968
1589325946202, 485520, -304, 1152, 7920
