Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326131297, 670617, 2176, -640, 7856
1589326131308, 670628, 2064, -688, 7824
1589326131319, 670639, 2160, -640, 7776
1589326131330, 670650, 2096, -656, 7632
1589326131341, 670661, 2176, -640, 7712
1589326131352, 670672, 2128, -672, 7760
1589326131363, 670683, 2144, -688, 7808
1589326131374, 670694, 2064, -576, 7744
1589326131385, 670705, 2160, -560, 7808
1589326131396, 670716, 2144, -576, 7744
1589326131407, 670727, 2128, -544, 7776
1589326131418, 670738, 2128, -624, 7840
1589326131429, 670749, 2080, -544, 7808
1589326131440, 670760, 2096, -592, 7824
1589326131451, 670771, 2048, -656, 7840
1589326131462, 670782, 2080, -656, 7760
1589326131473, 670793, 2112, -640, 7856
1589326131484, 670804, 2112, -656, 7792
1589326131495, 670815, 2080, -736, 7760
1589326131506, 670826, 2096, -672, 7840
1589326131517, 670837, 2096, -672, 7808
1589326131528, 670848, 2128, -608, 7792
1589326131539, 670859, 2096, -576, 7744
1589326131550, 670870, 2112, -592, 7712
1589326131561, 670881, 2112, -528, 7792
1589326131572, 670892, 2032, -544, 7808
1589326131583, 670903, 2160, -496, 7840
1589326131594, 670914, 2160, -480, 7808
1589326131605, 670925, 2128, -512, 7968
1589326131616, 670936, 2000, -512, 7920
1589326131628, 670947, 2208, -560, 7824
1589326131639, 670958, 2256, -592, 7936
1589326131649, 670969, 2272, -560, 7952
1589326131661, 670980, 2224, -656, 7968
1589326131672, 670991, 2304, -672, 8000
1589326131682, 671002, 2368, -752, 8048
1589326131694, 671013, 2448, -768, 8000
1589326131705, 671024, 2512, -848, 8000
1589326131715, 671035, 2608, -880, 8000
1589326131727, 671046, 2672, -1040, 7872
1589326131738, 671057, 2768, -1024, 8016
1589326131749, 671068, 2720, -1056, 7952
1589326131760, 671079, 2816, -1040, 8000
1589326131771, 671090, 2880, -960, 8080
1589326131782, 671101, 2848, -1024, 8096
1589326131793, 671112, 3040, -1120, 8096
1589326131804, 671123, 3040, -1248, 8208
1589326131814, 671134, 3280, -1376, 8336
1589326131826, 671145, 3344, -1408, 8768
1589326131837, 671156, 3408, -1552, 9120
1589326131848, 671167, 3664, -1344, 9936
1589326131859, 671178, 3696, -1360, 10288
1589326131870, 671189, 3840, -1360, 10464
1589326131881, 671200, 3904, -1504, 10464
1589326131892, 671211, 3968, -1600, 10272
1589326131903, 671222, 4048, -1600, 10112
1589326131914, 671233, 4128, -1728, 9808
1589326131925, 671244, 3984, -1600, 9216
1589326131936, 671255, 3920, -1680, 8592
1589326131947, 671266, 4032, -1616, 8528
1589326131958, 671277, 4096, -1696, 8352
1589326131969, 671288, 4048, -1648, 8224
1589326131980, 671299, 4064, -1776, 8288
1589326131991, 671310, 4064, -1760, 8144
1589326132002, 671321, 4272, -1760, 7936
1589326132013, 671332, 4432, -1904, 7680
1589326132024, 671343, 4512, -1920, 7440
1589326132035, 671354, 4848, -2112, 7184
1589326132046, 671365, 5008, -1888, 7232
1589326132056, 671376, 4848, -1552, 7136
1589326132068, 671387, 4880, -1152, 6960
1589326132079, 671398, 4592, -976, 6624
1589326132090, 671409, 4624, -1040, 6432
1589326132101, 671420, 4768, -1040, 6160
1589326132112, 671431, 4720, -944, 6080
1589326132123, 671442, 4656, -1056, 6160
1589326132134, 671453, 4528, -1152, 6272
1589326132144, 671464, 4304, -1232, 6240
1589326132155, 671475, 4272, -1168, 6496
1589326132166, 671486, 4016, -1168, 6320
1589326132177, 671497, 4112, -1328, 5984
1589326132188, 671508, 4784, -1408, 5264
1589326132199, 671519, 4816, -1360, 4720
1589326132210, 671530, 5424, -1328, 4112
1589326132221, 671541, 5488, -1968, 3568
1589326132232, 671552, 5520, -2096, 3424
1589326132243, 671563, 5520, -2096, 3168
1589326132254, 671574, 5504, -2160, 2864
1589326132265, 671585, 5424, -2032, 2528
1589326132276, 671596, 5536, -2160, 1840
1589326132287, 671607, 5712, -1968, 1824
1589326132298, 671618, 5536, -1376, 1696
1589326132309, 671629, 5424, -1568, 848
1589326132320, 671640, 5408, -1328, 432
1589326132331, 671651, 5120, -1504, -336
1589326132342, 671662, 5008, -1696, -32
1589326132353, 671673, 4800, -2048, 144
1589326132364, 671684, 4752, -2128, 720
1589326132375, 671695, 4704, -2032, 1200
1589326132386, 671706, 4816, -1808, 1760
1589326132397, 671717, 4656, -1936, 2240
1589326132408, 671728, 5088, -1680, 2384
1589326132419, 671739, 4848, -1824, 2160
1589326132430, 671750, 5440, -1872, 2240
1589326132441, 671761, 5008, -2112, 1616
1589326132452, 671772, 4944, -1920, 1472
1589326132463, 671783, 4816, -1968, 1168
1589326132474, 671794, 4112, -1840, 1104
1589326132485, 671805, 3984, -1552, 1024
1589326132496, 671816, 3664, -1424, 1120
1589326132507, 671827, 3488, -1440, 1504
1589326132518, 671838, 3616, -1680, 1792
1589326132530, 671849, 3936, -1680, 2144
1589326132540, 671860, 4080, -1488, 2176
1589326132551, 671871, 4064, -1104, 2176
1589326132562, 671882, 4096, -848, 2192
1589326132573, 671893, 4160, -1008, 2336
1589326132584, 671904, 3984, -1072, 2528
1589326132595, 671915, 3504, -1248, 2848
1589326132606, 671926, 3056, -1264, 3248
1589326132617, 671937, 2576, -1408, 3376
1589326132629, 671948, 2208, -1376, 3728
1589326132639, 671959, 1744, -1472, 4112
1589326132650, 671970, 1344, -992, 3744
1589326132661, 671981, 768, -400, 3520
1589326132672, 671992, 752, -448, 3584
1589326132683, 672003, 432, -496, 3760
1589326132694, 672014, 448, -560, 4464
1589326132705, 672025, 416, -816, 5328
1589326132716, 672036, 416, -1392, 6576
1589326132727, 672047, 432, -1712, 7344
1589326132738, 672058, 432, -1744, 7888
1589326132749, 672069, 256, -1856, 8096
1589326132762, 672080, 48, -1312, 7856
1589326132771, 672091, -480, -1040, 7616
1589326132782, 672102, -1024, -896, 7632
1589326132793, 672113, -1328, -1024, 8288
1589326132804, 672124, -1520, -1840, 10032
1589326132815, 672135, -1200, -2384, 11488
1589326132826, 672146, -928, -2544, 12640
1589326132837, 672157, -672, -2448, 13136
1589326132848, 672168, -512, -1984, 13104
1589326132859, 672179, -672, -1760, 13056
1589326132870, 672190, -1184, -1744, 12496
1589326132881, 672201, -1376, -1648, 12512
1589326132892, 672212, -1536, -1632, 12480
1589326132904, 672223, -1536, -1888, 12608
1589326132914, 672234, -1472, -2288, 13056
1589326132925, 672245, -1600, -2672, 13488
1589326132936, 672256, -1872, -2944, 14016
1589326132947, 672267, -1760, -3120, 14528
1589326132958, 672278, -1856, -2896, 15168
1589326132969, 672289, -1984, -2800, 15536
1589326132981, 672300, -1872, -2528, 15792
1589326132991, 672311, -1968, -2304, 15504
1589326133002, 672322, -1744, -2016, 15376
1589326133013, 672333, -1664, -1920, 14720
1589326133024, 672344, -1856, -1792, 14240
1589326133035, 672355, -2320, -1216, 13696
1589326133046, 672366, -2800, -720, 13696
1589326133057, 672377, -2480, -704, 13824
1589326133068, 672388, -1952, -672, 14016
1589326133079, 672399, -1888, -944, 14144
1589326133090, 672410, -1904, -1040, 14448
1589326133101, 672421, -2176, -1088, 14704
1589326133112, 672432, -3136, -1120, 14672
1589326133123, 672443, -1936, -1568, 14320
1589326133134, 672454, -192, -1872, 14208
1589326133145, 672465, 0, -1744, 13792
1589326133156, 672476, -384, -1888, 12976
1589326133167, 672487, -768, -1952, 12096
1589326133178, 672498, -976, -1584, 12048
1589326133189, 672509, -1168, -1360, 12752
1589326133200, 672520, -720, -1920, 12864
1589326133211, 672531, -896, -1280, 13600
1589326133222, 672542, -992, -528, 14400
1589326133233, 672553, -1248, -112, 14480
1589326133244, 672564, -1216, 112, 13584
1589326133255, 672575, -544, 304, 12832
1589326133266, 672586, -336, 80, 12256
1589326133277, 672597, 848, -320, 12288
1589326133288, 672608, 928, -768, 12560
