Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326081897, 621216, 1744, -416, 7776
1589326081908, 621227, 1920, -464, 7824
1589326081919, 621238, 1888, -512, 7808
1589326081930, 621249, 1920, -576, 7760
1589326081941, 621260, 1984, -592, 7696
1589326081952, 621271, 2000, -608, 7600
1589326081963, 621282, 2080, -576, 7472
1589326081974, 621293, 2016, -624, 7504
1589326081985, 621304, 2016, -544, 7424
1589326081996, 621315, 2000, -560, 7312
1589326082007, 621326, 1968, -576, 7232
1589326082018, 621337, 1952, -592, 7344
1589326082029, 621348, 1968, -576, 7136
1589326082040, 621359, 1952, -512, 6960
1589326082051, 621370, 1872, -528, 6752
1589326082062, 621381, 1824, -576, 6592
1589326082073, 621392, 1760, -608, 6416
1589326082084, 621403, 1792, -688, 6304
1589326082095, 621414, 1760, -720, 6208
1589326082106, 621425, 1728, -784, 6224
1589326082117, 621436, 1616, -880, 6208
1589326082128, 621447, 1584, -848, 6224
1589326082139, 621458, 1456, -832, 6160
1589326082150, 621469, 1408, -896, 6176
1589326082161, 621480, 1280, -880, 5984
1589326082172, 621491, 1264, -912, 5920
1589326082183, 621502, 1056, -896, 5824
1589326082194, 621513, 944, -864, 5632
1589326082205, 621524, 848, -784, 5600
1589326082216, 621535, 848, -1008, 5936
1589326082227, 621546, 672, -1056, 6048
1589326082238, 621557, 608, -1024, 6272
1589326082249, 621568, 416, -1056, 6448
1589326082260, 621579, 416, -1008, 6752
1589326082271, 621590, -96, -848, 6976
1589326082282, 621601, -176, -800, 7232
1589326082293, 621612, -512, -720, 7120
1589326082304, 621623, -752, -752, 6832
1589326082315, 621634, -1040, -928, 6480
1589326082326, 621645, -1328, -1040, 6048
1589326082337, 621656, -1312, -1264, 6112
1589326082348, 621667, -1008, -1360, 6224
1589326082359, 621678, -1104, -1280, 6544
1589326082370, 621689, -1376, -1536, 7472
1589326082381, 621700, -1552, -1696, 7808
1589326082392, 621711, -1920, -1904, 8240
1589326082403, 621722, -2176, -1904, 8144
1589326082414, 621733, -2656, -1680, 7728
1589326082425, 621744, -2992, -1680, 7280
1589326082436, 621755, -3456, -1712, 6560
1589326082447, 621766, -3872, -1632, 6032
1589326082458, 621777, -4064, -1712, 5792
1589326082469, 621788, -4080, -1856, 6208
1589326082480, 621799, -4064, -2112, 7008
1589326082491, 621810, -4112, -2352, 7424
1589326082502, 621821, -4000, -2176, 7536
1589326082513, 621832, -4112, -2048, 7520
1589326082524, 621843, -5376, -2096, 7280
1589326082535, 621854, -5616, -2016, 7008
1589326082546, 621865, -6768, -1840, 6688
1589326082557, 621876, -6912, -1648, 6336
1589326082568, 621887, -6928, -1696, 6016
1589326082579, 621898, -7120, -1840, 5600
1589326082590, 621909, -7312, -1840, 5184
1589326082601, 621920, -7648, -1680, 5072
1589326082612, 621931, -7952, -1632, 5392
1589326082623, 621942, -8496, -1696, 5808
1589326082634, 621953, -8944, -1808, 6128
1589326082645, 621964, -9664, -1760, 6192
1589326082656, 621975, -9888, -1472, 6240
1589326082667, 621986, -9792, -1280, 6128
1589326082678, 621997, -9744, -1376, 5856
1589326082689, 622008, -9504, -1472, 5632
1589326082700, 622019, -9392, -1712, 5056
