Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589661878319, 421636, 6720, 688, 4320
1589661878351, 421648, 6640, 608, 4448
1589661878353, 421660, 6592, 608, 4400
1589661878357, 421672, 6640, 592, 4384
1589661878368, 421684, 6464, 624, 4576
1589661878379, 421696, 6400, 608, 4560
1589661878396, 421708, 6544, 688, 4576
1589661878403, 421720, 6608, 672, 4448
1589661878416, 421732, 6720, 656, 4480
1589661878432, 421744, 6608, 704, 4480
1589661878439, 421756, 6672, 672, 4496
1589661878468, 421768, 6592, 720, 4512
1589661878471, 421780, 6592, 688, 4464
1589661878475, 421793, 6544, 720, 4576
1589661878492, 421804, 6464, 576, 4432
1589661878499, 421816, 6496, 576, 4592
1589661878518, 421828, 6560, 544, 4608
1589661878524, 421841, 6672, 592, 4608
1589661878536, 421852, 6736, 688, 4640
1589661878552, 421864, 6592, 896, 4624
1589661878559, 421876, 6480, 864, 4656
1589661878588, 421888, 6384, 928, 4864
1589661878591, 421900, 6368, 960, 4848
1589661878596, 421913, 6416, 960, 4912
1589661878612, 421924, 6320, 960, 4912
1589661878622, 421936, 6336, 928, 4800
1589661878633, 421948, 6368, 944, 4864
1589661878660, 421960, 6352, 864, 4896
1589661878663, 421972, 6336, 864, 4864
1589661878668, 421985, 6240, 784, 4992
1589661878679, 421996, 6240, 720, 4912
1589661878706, 422008, 6288, 592, 4896
1589661878721, 422020, 6432, 464, 4848
1589661878727, 422032, 6336, 336, 4864
1589661878742, 422044, 6304, 288, 4688
1589661878744, 422056, 6256, 288, 4576
1589661878759, 422068, 6272, 288, 4688
1589661878767, 422080, 6464, 288, 4768
1589661878775, 422092, 6336, 208, 4800
1589661878792, 422104, 6432, 240, 4912
1589661878799, 422116, 6416, 144, 4992
1589661878849, 422128, 6416, 144, 4816
1589661878852, 422140, 6384, 176, 4720
1589661878854, 422152, 6432, 208, 4624
1589661878857, 422164, 6464, 272, 4624
1589661878861, 422176, 6384, 320, 4640
1589661878872, 422188, 6224, 400, 4816
1589661878883, 422200, 6224, 512, 4912
1589661878899, 422212, 6032, 416, 4832
1589661878908, 422224, 6144, 368, 4816
1589661878919, 422236, 6208, 256, 4624
1589661878946, 422248, 6256, 176, 4656
1589661878948, 422260, 6288, 224, 4800
1589661878955, 422272, 6000, 160, 4960
1589661878968, 422284, 6080, 224, 5008
1589661878979, 422296, 6032, 176, 5264
1589661878996, 422308, 6032, 192, 5280
1589661879003, 422320, 5984, 160, 5280
1589661879020, 422332, 6080, 176, 5344
1589661879032, 422344, 6016, 96, 5280
1589661879061, 422356, 6032, 80, 5280
1589661879063, 422368, 6112, 144, 5312
1589661879078, 422380, 6096, 80, 5360
1589661879093, 422392, 6112, 48, 5424
1589661879096, 422404, 6080, 128, 5472
1589661879112, 422416, 5968, 176, 5536
1589661879114, 422428, 5920, 208, 5504
1589661879123, 422440, 5888, 208, 5568
1589661879137, 422452, 5952, 160, 5600
1589661879152, 422464, 6176, 192, 5552
1589661879177, 422476, 6144, 224, 5488
1589661879179, 422488, 6016, 160, 5664
1589661879185, 422500, 6144, 192, 5680
1589661879196, 422512, 6112, 224, 5632
1589661879212, 422524, 6272, 272, 5696
1589661879219, 422536, 6272, 256, 5568
1589661879236, 422548, 6256, 336, 5440
1589661879243, 422560, 6192, 320, 5488
1589661879259, 422572, 6192, 320, 5408
1589661879268, 422584, 6176, 336, 5392
1589661879301, 422596, 6192, 272, 5296
1589661879324, 422608, 6224, 176, 5296
1589661879327, 422620, 6288, 208, 5344
1589661879329, 422632, 6224, 128, 5264
1589661879332, 422645, 6256, 176, 5216
1589661879339, 422656, 6256, 48, 5232
1589661879357, 422668, 6160, 112, 5248
1589661879363, 422680, 6096, 144, 5136
1589661879379, 422692, 6144, 80, 5104
1589661879388, 422704, 6144, -32, 5136
1589661879416, 422716, 6128, -144, 5104
