Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589661734242, 277537, -832, -608, 8048
1589661734244, 277549, -736, -640, 7936
1589661734246, 277561, -768, -736, 8000
1589661734258, 277573, -640, -992, 7808
1589661734269, 277585, -576, -1024, 7968
1589661734285, 277597, -384, -992, 8016
1589661734293, 277609, -464, -1056, 8224
1589661734309, 277621, -608, -1104, 8208
1589661734317, 277633, -672, -1136, 8032
1589661734329, 277645, -784, -848, 8240
1589661734358, 277657, -848, -848, 8096
1589661734360, 277669, -1024, -1008, 7872
1589661734366, 277682, -1136, -1200, 7904
1589661734380, 277693, -896, -1264, 8000
1589661734396, 277705, -896, -1168, 8064
1589661734413, 277718, -960, -1344, 8480
1589661734415, 277729, -960, -1248, 8704
1589661734430, 277741, -944, -1136, 8608
1589661734442, 277753, -800, -976, 8384
1589661734449, 277765, -528, -720, 8320
1589661734475, 277777, -576, -848, 8032
1589661734478, 277789, -288, -864, 7792
1589661734485, 277801, -304, -992, 7856
1589661734496, 277813, -288, -1008, 8048
1589661734513, 277825, -592, -832, 8304
1589661734521, 277837, -656, -736, 8848
1589661734535, 277849, -896, -1120, 8624
1589661734547, 277861, -640, -1328, 8320
1589661734558, 277873, -432, -1264, 8000
1589661734569, 277885, -544, -1184, 8160
1589661734594, 277897, -624, -1168, 8160
1589661734596, 277909, -592, -1264, 8208
1589661734605, 277921, -464, -1424, 8368
1589661734617, 277933, -688, -1248, 8880
1589661734633, 277945, -1168, -1072, 9584
1589661734663, 277957, -1552, -752, 10352
1589661734666, 277969, -1584, -368, 11280
1589661734668, 277981, -2576, -144, 11280
1589661734676, 277993, -2640, 80, 11472
1589661734709, 278005, -2944, 64, 11664
1589661734713, 278017, -3184, 128, 12496
1589661734715, 278030, -3296, 64, 13184
1589661734726, 278041, -4048, 352, 14656
1589661734740, 278053, -4864, 832, 16480
1589661734749, 278065, -5232, 1232, 18112
1589661734766, 278077, -5216, 1184, 19264
1589661734773, 278089, -5360, 1104, 19520
1589661734788, 278101, -5200, 1568, 18720
1589661734798, 278113, -4416, 1696, 17088
1589661734830, 278125, -4000, 1744, 15952
1589661734832, 278137, -3392, 1776, 14480
1589661734834, 278150, -2432, 1584, 6464
1589661734845, 278161, -2256, 1328, 11552
1589661734856, 278173, -352, 736, 9184
1589661734873, 278185, 800, 272, 6912
1589661734882, 278197, 1984, -128, 4960
1589661734893, 278209, 2272, -768, 3696
1589661734909, 278221, 2384, -1472, 1728
1589661734917, 278233, 5104, -1168, 624
1589661734946, 278245, 6320, -1216, -1824
1589661734953, 278257, 8320, -1536, -4704
1589661734955, 278269, 9488, -2224, -7568
1589661734967, 278281, 9856, -2656, -9072
1589661734978, 278293, 13840, -3104, -12240
1589661734989, 278305, 15696, -3472, -15136
1589661735005, 278317, 17648, -3696, -17152
1589661735013, 278329, 19088, -3872, -19056
1589661735030, 278341, 19504, -3872, -19904
1589661735037, 278353, 22288, -4016, -21120
1589661735065, 278365, 23552, -4016, -21888
1589661735073, 278377, 24976, -3200, -21328
1589661735075, 278389, 26176, -1808, -20896
1589661735087, 278401, 27424, -1152, -20080
1589661735098, 278413, 27824, -1056, -17776
1589661735110, 278425, 32320, -3072, -13584
1589661735125, 278437, 32640, -6624, -7632
1589661735133, 278449, 32640, -10144, 32
1589661735149, 278461, 32640, -13120, 5904
1589661735160, 278473, 32640, -16480, 9024
1589661735184, 278485, 32640, -17136, 10560
1589661735187, 278497, 32640, -13136, 15712
1589661735193, 278510, 32640, -9584, 24608
1589661735209, 278521, 32640, -8064, 31856
1589661735217, 278533, 32640, -6816, 32592
1589661735233, 278545, 32640, -4976, 32640
1589661735242, 278557, 32640, -1760, 32640
1589661735253, 278569, 32640, 2144, 32640
1589661735267, 278581, 32640, 7232, 32640
1589661735300, 278593, 25936, 8784, 32640
1589661735324, 278605, 23776, 9360, 32640
1589661735326, 278617, 13472, 5936, 29520
1589661735329, 278629, 15792, 4016, 24160
1589661735332, 278641, 15888, 3248, 20064
1589661735338, 278654, 15008, 3712, 19328
1589661735349, 278665, 15024, 3504, 18832
1589661735366, 278677, 13728, 2768, 18160
1589661735373, 278689, 12976, 1936, 17840
1589661735389, 278701, 12160, 1200, 16752
1589661735397, 278713, 11760, 880, 15584
1589661735430, 278725, 11680, 480, 15680
1589661735445, 278737, 9488, 592, 15568
1589661735473, 278750, 8352, 672, 14416
1589661735475, 278761, 8144, 448, 12544
1589661735478, 278773, 7792, 320, 10784
1589661735480, 278785, 7568, 128, 9872
1589661735483, 278797, 6128, -240, 8848
1589661735494, 278809, 5264, -736, 8464
1589661735505, 278821, 4464, -640, 8544
1589661735535, 278833, 3488, -544, 8656
1589661735538, 278845, 3440, 112, 8896
1589661735542, 278858, 2928, -976, 8384
1589661735553, 278869, 1872, -1456, 8320
1589661735573, 278881, 1824, -1216, 9008
1589661735578, 278893, 1936, -1056, 10160
1589661735589, 278905, 2672, -688, 9856
1589661735607, 278917, 2896, -416, 9760
1589661735613, 278929, 3712, -624, 9088
1589661735629, 278941, 2944, -1216, 8272
1589661735655, 278953, 2176, -1600, 8128
1589661735658, 278965, 1616, -2176, 7952
1589661735661, 278977, 1504, -2560, 7840
1589661735673, 278989, 912, -2896, 7776
1589661735689, 279001, 928, -2896, 7552
1589661735696, 279013, 1568, -2928, 7392
1589661735723, 279025, 2112, -3232, 6992
1589661735738, 279037, 2224, -2832, 7568
1589661735740, 279049, 2144, -2384, 8288
1589661735748, 279061, 2320, -2288, 8592
1589661735773, 279073, 2240, -2704, 8768
1589661735779, 279085, 2112, -3104, 8464
1589661735782, 279097, 2160, -3264, 8304
1589661735793, 279109, 2112, -3408, 7744
1589661735809, 279121, 2512, -3568, 6832
1589661735817, 279133, 2976, -3648, 6848
1589661735833, 279145, 3392, -3344, 7248
1589661735842, 279157, 3296, -3296, 6864
1589661735853, 279169, 3056, -3776, 7504
1589661735869, 279181, 1424, -4672, 8832
1589661735896, 279193, 624, -6752, 6864
1589661735899, 279205, 1712, -6624, 6688
1589661735902, 279217, 2944, -5568, 8400
