Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589661980315, 523630, 5712, -688, 5920
1589661980326, 523642, 5712, -752, 5936
1589661980337, 523654, 5600, -704, 5840
1589661980353, 523666, 5456, -688, 5936
1589661980361, 523678, 5424, -672, 5856
1589661980377, 523690, 5616, -704, 5936
1589661980385, 523702, 5680, -704, 5904
1589661980421, 523714, 5600, -720, 5792
1589661980440, 523726, 5680, -736, 5936
1589661980442, 523738, 5680, -704, 5968
1589661980445, 523750, 5584, -736, 5792
1589661980448, 523763, 5696, -800, 5808
1589661980457, 523774, 5680, -784, 5808
1589661980473, 523786, 5696, -784, 5696
1589661980481, 523798, 5648, -752, 5792
1589661980498, 523810, 5680, -736, 5808
1589661980506, 523822, 5664, -736, 5888
1589661980531, 523834, 5664, -704, 5936
1589661980533, 523846, 5680, -736, 5824
1589661980541, 523858, 5664, -752, 5840
1589661980558, 523870, 5616, -736, 5840
1589661980566, 523882, 5648, -816, 5776
1589661980578, 523894, 5664, -768, 5952
1589661980594, 523906, 5664, -784, 5872
1589661980601, 523918, 5760, -752, 5872
1589661980615, 523930, 5712, -688, 5856
1589661980646, 523942, 5728, -704, 5792
1589661980649, 523954, 5824, -768, 5840
1589661980651, 523966, 5904, -784, 5872
1589661980662, 523978, 5840, -800, 6144
1589661980674, 523990, 5872, -848, 6384
1589661980690, 524002, 5872, -928, 6464
1589661980697, 524014, 5936, -928, 6544
1589661980711, 524026, 5872, -848, 6544
1589661980722, 524038, 5856, -736, 6848
1589661980733, 524050, 5904, -784, 6784
1589661980765, 524062, 5744, -864, 6944
1589661980767, 524074, 5888, -1024, 7376
1589661980771, 524086, 5936, -1216, 7952
1589661980783, 524098, 6016, -1232, 8288
1589661980794, 524110, 6000, -1424, 8480
1589661980810, 524122, 5984, -1616, 8832
1589661980818, 524134, 6048, -1600, 9360
1589661980834, 524146, 6096, -1376, 9696
1589661980841, 524158, 6016, -1440, 10000
1589661980857, 524170, 6192, -1456, 10544
1589661980885, 524182, 6208, -912, 11504
1589661980887, 524194, 6048, -976, 12192
1589661980891, 524206, 5936, -1520, 12704
1589661980902, 524218, 5872, -1888, 13264
1589661980914, 524230, 5952, -1808, 13552
1589661980927, 524242, 5984, -2304, 13328
1589661980939, 524254, 6240, -2496, 13472
1589661980950, 524266, 5936, -2736, 13904
1589661980961, 524278, 5264, -2544, 15120
1589661980977, 524290, 4432, -2192, 16368
1589661981004, 524302, 4176, -1952, 17296
1589661981006, 524314, 1376, -1280, 18464
1589661981010, 524326, -544, -1776, 18384
1589661981025, 524338, -1792, -3088, 18480
1589661981033, 524350, -2976, -3792, 20000
1589661981061, 524362, -3376, -4128, 21200
1589661981064, 524374, -7344, -4000, 24160
1589661981070, 524386, -9264, -3824, 27152
1589661981081, 524398, -10032, -4336, 26960
1589661981097, 524410, -8512, -6816, 22640
1589661981120, 524422, -4080, -8256, 17104
1589661981122, 524434, -2992, -8976, 11504
1589661981132, 524446, -1200, -7232, 10800
1589661981141, 524458, -2768, -4496, 10624
1589661981158, 524470, -3216, -2848, 8208
1589661981166, 524482, -2656, -2224, 5440
1589661981177, 524494, -2224, -272, 3280
1589661981215, 524506, 1936, 2048, -2992
1589661981242, 524518, 2944, 5408, -12256
1589661981272, 524530, 6496, 8160, -17600
1589661981275, 524542, 10704, 9168, -15904
1589661981277, 524554, 11440, 6368, -11936
1589661981280, 524566, 20400, 3168, -4368
1589661981282, 524578, 24656, 1120, -576
1589661981285, 524590, 25408, 4032, 4416
1589661981287, 524603, 23984, 8720, 11824
1589661981299, 524614, 23440, 7488, 16768
1589661981310, 524626, 14304, 2576, 23136
1589661981321, 524638, 10416, -5936, 21472
1589661981351, 524650, 8640, -12816, 12672
1589661981362, 524662, 7824, -13184, 3488
1589661981365, 524674, 6320, -7952, -432
1589661981370, 524687, 5968, 640, -2752
1589661981381, 524698, -384, 5968, -2880
1589661981397, 524710, -2128, 7312, -2016
1589661981406, 524722, -2608, 5632, -2464
1589661981417, 524734, -2464, 4608, -2256
1589661981433, 524746, -2512, 4256, -976
1589661981444, 524758, -2768, 3952, 336
1589661981479, 524770, -2224, 3232, 1680
1589661981481, 524782, -1440, 2912, 3616
1589661981496, 524794, -1120, 5536, 7072
1589661981511, 524806, -1216, 8192, 8256
1589661981514, 524818, -1152, 10528, 8800
1589661981516, 524830, 320, 13552, 9232
1589661981527, 524842, 880, 16304, 9088
1589661981539, 524854, 816, 18448, 9104
1589661981550, 524867, 736, 19552, 8320
1589661981561, 524878, -2400, 20368, 6544
1589661981592, 524890, -1680, 21744, 3968
1589661981595, 524902, 608, 24496, 3264
1589661981597, 524915, 1472, 26800, 4192
1589661981614, 524926, 2304, 26288, 3248
1589661981621, 524938, 2640, 24160, 3568
1589661981637, 524950, 7376, 20928, 6336
1589661981646, 524962, 10672, 15200, 8192
1589661981657, 524974, 12720, 8880, 10032
1589661981673, 524986, 13472, 3840, 11264
1589661981701, 524998, 13520, -1616, 12608
1589661981725, 525010, 14720, -7072, 11440
1589661981727, 525023, 14752, -12784, 10160
1589661981732, 525034, 12928, -18208, 10240
